SPECTRUM,DATE,TIME,LIVE,REAL
20230523_newGe_newDAQ_Co_Ni-01-00.csv,23-05-23,13:51:55,5756.36,5881.68
RSV1,RSV2,RSV3,RSV4,RSV5,RSV6,RSV7,RSV8,RSV9,RSV10
1,2,3,4,5,6,7,8,9,10
PHA NO.,SEGMENT NO.,SIZE
01,00,4096

                                                               
CH,0,1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0
50,0,37436,47007,44157,41721,40890,39689,39828,38013,35269
60,34490,33386,33284,32910,31586,29592,29313,29713,35569,28471
70,26824,27079,25787,26210,26039,38173,23988,22528,22913,22235
80,21142,20552,19978,19732,20012,20314,20650,19337,20360,21324
90,19669,18392,16742,16327,16641,15807,15240,15262,15058,14322
100,13993,13976,14675,14513,14482,13528,13987,13859,12316,12469
110,11741,11536,11348,12279,11374,10787,10861,10949,10583,10292
120,10332,9835,10043,10522,11742,11793,9595,9507,9646,10284
130,9691,9011,8817,8658,10382,8566,8298,8324,8157,8097
140,8199,8088,8554,8738,7785,7261,7530,7345,7342,7739
150,7145,7037,6699,7143,7001,6861,6692,6717,6743,6631
160,6403,6489,7023,6377,6370,7153,6376,6509,6124,6154
170,6011,5959,6261,9889,5898,5989,5672,6759,5749,5719
180,5941,5770,5771,5341,5011,4808,4983,4732,4742,5001
190,4579,4926,4845,4808,4703,4368,7616,5563,4009,3894
200,3961,3923,3775,4073,3954,3726,3831,3674,3767,3599
210,3630,4110,4238,3573,4363,14008,7723,3163,3145,3141
220,3145,3199,3263,3211,3072,3171,3238,3009,2922,3061
230,2930,2844,2896,2812,3002,3723,3188,2732,2830,2722
240,2682,2834,2713,2513,2625,2691,2649,2688,2652,2455
250,2504,2525,2983,3030,2568,2772,2614,2431,2521,2511
260,3170,2578,2595,2537,2392,2429,2450,2428,2423,2308
270,2281,2294,2446,2372,2315,2291,2286,2322,2324,2299
280,2372,2418,2302,2346,2425,2481,2438,2412,2502,2380
290,2428,2459,2298,2284,2341,2194,2086,2108,2023,1977
300,1961,1780,1805,1884,1825,1759,1781,1683,1636,1741
310,1850,1681,1511,1634,1551,1462,1426,1487,1470,1428
320,1413,1363,1503,1449,1438,1699,1532,2275,12194,2168
330,1331,1325,1212,1250,1263,1176,1230,1215,1187,1183
340,1144,1154,1157,1245,1147,1123,1124,1186,1103,1106
350,1109,1056,1086,1178,1179,1042,1090,1029,1012,1016
360,955,1084,945,985,953,878,928,921,884,906
370,877,910,913,884,863,951,881,903,857,828
380,811,771,877,789,851,1047,2360,846,774,817
390,781,798,735,812,744,708,749,731,748,787
400,749,689,687,683,655,656,683,714,699,731
410,669,698,754,653,698,638,653,631,615,697
420,723,618,626,684,598,623,613,572,596,595
430,599,619,588,545,569,604,585,552,561,550
440,540,580,531,573,567,547,522,599,607,543
450,581,553,533,531,533,508,482,521,521,479
460,551,500,480,496,544,495,524,501,500,500
470,472,541,436,507,464,493,504,517,450,451
480,425,491,482,413,474,466,485,456,422,442
490,428,441,424,428,431,425,452,456,436,443
500,471,413,440,436,352,452,410,390,411,390
510,382,417,381,411,419,406,370,409,386,350
520,377,378,423,384,406,363,420,347,391,374
530,380,357,373,343,375,368,348,371,347,334
540,401,363,374,417,364,314,345,351,349,346
550,329,332,359,313,324,347,362,338,361,370
560,346,355,323,305,342,323,335,370,331,322
570,322,329,326,288,285,316,325,332,339,340
580,341,367,322,315,317,314,317,349,331,304
590,316,327,285,300,326,369,311,307,287,250
600,292,313,293,299,286,270,291,279,299,309
610,288,285,294,287,248,305,269,316,289,283
620,295,265,293,273,300,276,287,288,258,275
630,274,267,308,312,297,254,271,263,294,264
640,268,289,320,272,270,229,265,283,256,259
650,245,272,293,290,274,295,280,278,270,280
660,271,272,266,253,254,258,254,246,252,239
670,285,253,249,266,221,243,258,277,241,257
680,247,266,245,242,239,253,287,237,240,227
690,273,272,268,270,236,240,253,247,285,248
700,259,264,261,261,232,251,232,276,370,331
710,274,291,262,230,234,243,257,282,277,215
720,245,269,284,237,237,240,244,267,267,292
730,266,287,237,223,237,234,233,229,234,252
740,262,258,241,236,226,279,230,258,225,260
750,236,292,254,210,237,253,240,268,256,236
760,244,241,258,239,231,274,253,261,190,212
770,227,212,243,224,241,257,259,224,238,244
780,228,228,271,300,368,303,240,238,214,223
790,227,236,237,238,199,232,221,229,230,225
800,199,267,232,255,250,237,196,243,216,234
810,250,205,258,243,239,254,213,224,237,216
820,232,277,281,234,208,251,304,250,269,244
830,244,240,201,220,250,229,231,228,207,219
840,258,271,258,218,254,241,238,241,190,206
850,214,226,213,226,208,177,224,258,343,654
860,367,249,276,261,218,237,217,250,231,225
870,254,226,257,226,240,223,241,251,208,229
880,218,226,240,235,229,236,229,237,232,231
890,239,227,242,222,240,241,229,273,233,254
900,248,245,308,265,219,240,254,201,264,223
910,204,230,212,218,200,226,212,233,218,221
920,204,186,216,214,212,183,169,174,221,188
930,211,217,238,226,512,579,221,189,227,221
940,213,217,192,212,199,221,190,203,224,195
950,212,172,181,211,191,193,203,204,207,205
960,204,203,314,284,218,218,265,196,214,206
970,194,239,248,274,197,211,204,215,213,217
980,191,220,216,189,211,218,229,226,213,172
990,198,192,206,200,167,200,192,180,175,213
1000,195,179,207,237,431,275,183,200,196,247
1010,557,322,222,208,212,199,188,205,203,199
1020,195,197,190,190,198,190,205,188,203,191
1030,204,202,182,181,223,192,227,257,367,225
1040,210,156,184,172,204,179,198,189,227,287
1050,195,191,245,182,209,182,211,167,177,201
1060,184,228,250,205,184,177,205,181,188,201
1070,192,197,165,215,190,211,172,201,202,356
1080,492,216,232,201,183,180,198,197,204,168
1090,189,187,187,182,227,200,204,198,178,204
1100,199,187,199,192,179,182,196,190,216,375
1110,583,307,226,282,304,183,202,205,200,213
1120,189,208,204,213,320,234,196,213,240,227
1130,237,231,191,214,205,233,217,245,221,192
1140,227,184,219,184,182,178,200,213,204,202
1150,194,230,208,206,237,362,386,218,201,202
1160,240,215,178,193,200,178,169,173,177,217
1170,174,161,156,161,173,177,160,267,817,892
1180,254,233,221,255,309,727,570,225,224,208
1190,227,209,220,225,220,207,237,228,228,265
1200,311,225,209,225,230,214,243,229,192,216
1210,226,216,205,226,230,197,184,249,215,215
1220,220,217,219,240,231,216,234,218,215,201
1230,189,164,169,188,198,167,156,144,139,123
1240,134,118,128,116,127,134,100,115,122,123
1250,114,146,166,428,1275,556,151,147,117,114
1260,221,466,208,115,120,106,93,104,108,75
1270,105,104,97,101,92,121,108,104,95,96
1280,97,93,112,93,92,95,79,95,94,87
1290,93,91,93,72,78,68,83,65,70,74
1300,64,75,75,68,45,63,52,52,40,48
1310,39,45,37,38,37,25,22,22,27,18
1320,22,13,16,22,30,28,24,32,54,402
1330,611,104,11,8,5,2,3,7,4,3
1340,2,3,6,3,5,3,5,6,3,2
1350,3,2,5,2,1,2,4,5,3,3
1360,5,2,0,3,1,2,4,4,2,3
1370,3,2,2,5,2,3,5,1,2,5
1380,0,2,4,2,1,4,1,1,3,2
1390,2,3,0,0,2,1,3,1,2,2
1400,2,1,1,1,1,1,2,2,2,1
1410,0,2,3,0,3,2,1,0,3,2
1420,3,0,1,2,0,1,1,2,0,0
1430,3,1,1,2,0,1,0,1,0,0
1440,0,0,2,1,0,2,1,1,1,1
1450,2,1,0,1,0,0,1,2,1,1
1460,0,0,1,1,1,1,1,0,0,0
1470,1,0,1,0,0,1,1,0,3,0
1480,1,0,2,1,0,0,0,1,0,0
1490,2,1,0,1,2,0,0,0,0,0
