SPECTRUM,DATE,TIME,LIVE,REAL
20230524_8MeV_Co-01-00.csv,23-05-24,14:37:40,400.22,402.04
RSV1,RSV2,RSV3,RSV4,RSV5,RSV6,RSV7,RSV8,RSV9,RSV10
1,2,3,4,5,6,7,8,9,10
PHA NO.,SEGMENT NO.,SIZE
01,00,4096

                                                               
CH,0,1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0
50,0,286,387,300,284,272,242,242,234,218
60,212,239,201,224,216,205,195,205,183,182
70,191,172,192,171,175,236,173,173,174,165
80,176,155,180,155,144,171,181,151,136,175
90,237,129,133,125,137,138,159,121,128,142
100,145,143,139,128,150,122,150,136,127,115
110,129,141,142,156,143,135,127,154,134,159
120,126,169,132,134,151,158,144,180,152,145
130,148,158,143,166,168,212,176,154,155,181
140,178,156,161,166,118,144,123,139,135,140
150,134,124,131,151,133,124,123,123,110,136
160,117,133,144,134,127,137,114,88,87,104
170,114,89,102,1321,389,82,74,67,69,56
180,51,73,50,60,58,41,28,31,41,40
190,43,25,32,34,29,35,191,1206,31,21
200,17,15,15,17,24,15,15,22,19,12
210,16,20,14,13,15,75,456,9,6,8
220,10,11,10,7,8,5,7,8,10,7
230,5,9,4,7,8,10,13,7,7,8
240,3,5,10,2,3,9,1,3,3,3
250,2,6,4,2,1,4,10,4,1,3
260,8,40,6,4,6,5,0,3,4,5
270,2,4,3,11,6,0,7,5,1,2
280,3,3,4,3,6,3,1,5,1,3
290,2,6,3,2,3,3,4,2,2,3
300,2,2,4,1,1,7,2,0,2,4
310,3,9,3,3,3,1,3,0,3,8
320,4,2,1,3,3,5,17,2,4,5
330,4,8,3,2,5,6,1,0,4,5
340,2,1,3,6,9,1,2,4,2,6
350,3,3,4,7,2,4,1,1,2,2
360,1,1,4,4,0,0,2,1,3,3
370,3,4,0,2,1,0,1,0,0,1
380,2,0,1,1,1,0,8,26,1,1
390,1,0,0,0,1,0,0,0,1,0
400,1,0,1,0,1,2,0,0,1,1
410,0,1,0,0,0,1,1,0,1,0
420,2,0,0,0,1,0,0,1,1,0
430,0,0,0,0,1,1,2,1,0,1
440,1,0,1,1,0,0,1,0,0,0
450,0,1,1,0,0,1,1,0,1,0
460,0,0,1,0,0,0,1,0,2,0
470,1,0,2,2,1,1,0,0,0,1
480,0,2,0,1,0,1,0,2,1,0
490,0,0,0,0,0,1,0,0,1,0
500,0,0,0,0,0,0,0,1,0,1
510,2,0,0,0,0,0,1,1,1,1
520,1,1,0,0,0,0,0,0,0,2
530,3,1,1,1,0,0,3,1,1,0
540,1,0,1,1,0,3,1,0,2,0
550,0,0,0,1,0,0,1,1,0,0
560,0,1,0,1,0,1,1,2,2,1
570,2,3,1,0,0,1,1,1,2,1
580,1,0,2,1,0,1,0,1,1,1
590,1,2,2,0,1,1,0,0,0,0
600,0,2,1,2,3,0,1,2,0,0
610,0,1,1,0,2,1,1,0,0,1
620,0,0,1,3,1,1,1,2,2,0
630,1,2,0,0,1,1,1,1,1,0
640,4,1,1,0,1,0,0,0,2,3
650,4,1,0,1,1,1,0,2,0,0
660,1,2,1,2,1,2,3,1,2,0
670,1,0,0,0,1,1,3,1,1,3
680,2,1,2,1,1,3,1,0,1,0
690,4,0,0,1,2,0,1,0,1,1
700,3,1,0,0,2,1,5,1,1,0
710,1,1,2,1,3,0,1,4,2,2
720,0,4,1,1,1,2,1,0,5,1
730,2,0,3,0,1,1,1,4,0,2
740,4,1,2,1,2,1,1,4,2,2
750,4,1,0,2,1,5,3,2,5,1
760,3,2,1,2,4,3,7,2,2,3
770,2,2,1,1,2,2,0,0,1,1
780,1,2,4,0,1,3,2,4,0,0
790,2,4,3,5,1,2,1,2,1,2
800,1,1,2,1,2,3,6,5,3,4
810,5,3,4,0,2,2,3,2,2,2
820,2,2,2,3,4,3,1,6,1,0
830,3,6,2,3,2,4,1,2,5,0
840,3,4,0,2,2,2,2,1,3,6
850,1,2,3,2,3,4,1,1,1,4
860,1,6,4,1,2,1,1,2,2,1
870,3,5,3,4,4,1,4,2,2,5
880,2,2,5,6,2,7,6,2,4,5
890,2,2,1,4,3,3,4,3,1,1
900,3,6,4,1,2,4,6,1,2,4
910,6,3,2,7,0,1,5,2,1,3
920,9,3,1,8,10,3,2,1,4,1
930,1,2,1,3,7,3,1,7,4,1
940,3,3,6,3,6,1,7,10,8,8
950,6,3,4,4,4,1,6,5,3,2
960,7,5,3,6,7,4,6,5,4,4
970,4,3,7,9,8,5,3,5,2,5
980,2,2,4,8,5,6,4,6,1,6
990,3,5,3,8,3,0,4,4,9,3
1000,5,6,7,4,3,5,10,6,1,7
1010,1,4,8,8,8,4,2,11,4,9
1020,8,5,6,4,5,10,6,6,4,1
1030,2,8,4,7,9,9,10,14,4,12
1040,9,10,8,11,2,4,9,7,3,8
1050,4,5,11,11,5,9,8,13,10,10
1060,8,7,8,13,7,9,9,6,10,8
1070,8,8,6,7,11,9,7,10,11,4
1080,6,9,8,5,11,8,7,13,5,9
1090,14,11,14,9,2,13,5,14,3,15
1100,10,12,10,11,12,13,16,14,9,10
1110,18,8,2,2,11,10,14,17,11,16
1120,12,12,12,17,9,17,10,14,14,20
1130,18,8,12,17,11,15,14,12,15,11
1140,14,16,20,9,8,22,14,17,11,20
1150,19,13,17,19,17,18,27,14,17,20
1160,18,17,16,27,17,22,20,24,20,18
1170,16,25,18,21,18,20,21,28,29,27
1180,30,27,23,32,36,22,29,25,24,32
1190,27,17,31,20,22,36,21,25,24,32
1200,26,22,37,29,23,40,48,52,50,75
1210,97,121,141,153,184,212,154,113,57,30
1220,8,4,2,1,0,2,1,0,1,0
1230,0,1,1,0,2,0,0,1,0,1
1240,0,0,0,0,0,1,0,0,0,0
1250,0,0,0,1,0,0,1,1,0,0
1260,0,0,1,0,0,0,0,0,0,1
1270,1,2,0,0,0,0,0,0,0,0
1280,0,0,0,0,1,0,1,0,0,0
1290,0,0,0,0,2,0,0,0,0,0
1300,0,0,0,0,0,1,0,0,0,1
1310,0,0,0,0,0,0,0,0,0,0
1320,2,0,1,0,0,0,0,0,0,0
1330,0,0,0,0,0,0,0,0,0,0
1340,0,1,0,0,0,0,1,2,1,0
1350,1,0,0,1,0,0,1,1,0,0
1360,0,0,0,0,0,1,0,1,0,0
1370,0,0,1,1,1,0,0,0,0,0
1380,0,1,0,0,0,1,0,0,0,0
1390,0,1,0,0,0,1,0,0,0,1
1400,0,0,0,1,0,1,1,1,0,0
1410,0,1,0,0,0,0,0,0,1,0
1420,0,0,0,0,0,0,0,0,0,0
1430,0,1,1,0,0,1,0,0,0,0
1440,1,1,0,1,0,1,0,0,0,0
1450,0,0,1,0,0,0,0,0,0,0
1460,1,0,0,1,1,0,1,1,0,0
1470,0,0,0,0,0,1,0,2,0,0
1480,0,1,0,0,0,0,1,0,1,1
1490,0,0,0,0,0,0,0,0,0,1
1500,0,0,0,0,0,0,0,1,1,0
1510,1,0,0,0,1,0,0,0,0,0
1520,1,0,0,0,0,0,1,0,3,1
1530,0,0,0,0,0,2,0,0,1,0
1540,3,0,0,0,0,1,0,0,0,1
1550,1,2,0,0,2,0,0,0,0,0
1560,2,0,0,0,1,1,1,0,0,0
1570,1,0,1,1,2,2,0,1,1,0
1580,0,0,2,0,0,0,0,2,0,1
1590,1,1,1,2,3,0,0,0,1,1
1600,0,0,0,0,0,0,0,2,0,0
1610,0,2,0,1,0,0,0,1,0,0
1620,1,0,1,0,0,0,0,0,1,1
1630,1,0,1,0,1,0,0,0,2,0
