Channel,Count,3387 sec
150,5014,
151,5016,
152,5165,
153,5336,
154,5864,
155,5848,
156,5296,
157,4898,
158,4909,
159,4835,
160,5024,
161,5184,
162,4961,
163,4636,
164,4486,
165,4374,
166,4582,
167,4765,
168,4748,
169,4160,
170,4241,
171,4179,
172,4043,
173,4128,
174,4156,
175,4053,
176,4080,
177,4266,
178,4439,
179,4213,
180,3980,
181,3717,
182,3736,
183,3797,
184,3747,
185,3749,
186,3739,
187,3739,
188,3627,
189,3557,
190,3528,
191,3470,
192,3474,
193,3505,
194,3520,
195,3407,
196,3311,
197,3354,
198,3316,
199,3370,
200,3237,
201,3236,
202,3253,
203,3443,
204,3363,
205,3208,
206,3259,
207,3489,
208,3224,
209,3173,
210,3149,
211,3054,
212,3283,
213,3142,
214,3066,
215,3034,
216,3508,
217,4468,
218,4047,
219,3133,
220,3005,
221,2991,
222,3065,
223,3185,
224,3033,
225,2970,
226,2955,
227,3060,
228,2859,
229,2869,
230,2817,
231,2594,
232,2630,
233,2598,
234,2445,
235,2390,
236,2315,
237,2543,
238,2531,
239,2381,
240,2344,
241,2432,
242,2511,
243,2372,
244,2482,
245,2476,
246,2590,
247,3220,
248,3542,
249,2469,
250,2201,
251,1988,
252,1964,
253,1949,
254,1913,
255,1885,
256,2008,
257,1939,
258,1918,
259,1840,
260,1802,
261,1942,
262,1900,
263,1858,
264,1869,
265,1866,
266,1897,
267,2190,
268,2184,
269,2014,
270,2461,
271,3885,
272,6534,
273,4509,
274,2377,
275,1772,
276,1630,
277,1577,
278,1580,
279,1655,
280,1608,
281,1580,
282,1654,
283,1588,
284,1576,
285,1551,
286,1631,
287,1516,
288,1498,
289,1476,
290,1422,
291,1419,
292,1442,
293,1480,
294,1427,
295,1554,
296,1535,
297,1654,
298,1782,
299,1600,
300,1469,
301,1438,
302,1390,
303,1352,
304,1389,
305,1423,
306,1395,
307,1322,
308,1310,
309,1390,
310,1298,
311,1334,
312,1232,
313,1307,
314,1367,
315,1340,
316,1300,
317,1325,
318,1294,
319,1490,
320,1551,
321,1521,
322,1359,
323,1301,
324,1389,
325,1268,
326,1360,
327,1217,
328,1292,
329,1355,
330,1495,
331,1525,
332,1304,
333,1378,
334,1341,
335,1194,
336,1209,
337,1178,
338,1162,
339,1238,
340,1252,
341,1211,
342,1147,
343,1178,
344,1228,
345,1186,
346,1144,
347,1165,
348,1174,
349,1128,
350,1195,
351,1206,
352,1153,
353,1190,
354,1146,
355,1143,
356,1149,
357,1187,
358,1152,
359,1141,
360,1177,
361,1154,
362,1230,
363,1194,
364,1161,
365,1233,
