Channel ,Count,~2640 sec 
150,813,
151,832,
152,789,
153,837,
154,790,
155,799,
156,819,
157,805,
158,895,
159,823,
160,848,
161,846,
162,925,
163,828,
164,949,
165,916,
166,923,
167,1085,
168,1038,
169,910,
170,945,
171,1003,
172,1057,
173,1001,
174,982,
175,1025,
176,1075,
177,976,
178,987,
179,906,
180,865,
181,757,
182,796,
183,778,
184,767,
185,759,
186,770,
187,758,
188,717,
189,724,
190,772,
191,729,
192,747,
193,705,
194,759,
195,702,
196,742,
197,700,
198,700,
199,709,
200,637,
201,713,
202,676,
203,742,
204,719,
205,777,
206,745,
207,785,
208,681,
209,569,
210,598,
211,523,
212,529,
213,517,
214,530,
215,667,
216,1759,
217,6170,
218,4588,
219,1005,
220,423,
221,414,
222,402,
223,364,
224,347,
225,379,
226,391,
227,355,
228,358,
229,368,
230,368,
231,268,
232,225,
233,266,
234,232,
235,238,
236,216,
237,219,
238,213,
239,191,
240,202,
241,205,
242,176,
243,194,
244,214,
245,228,
246,617,
247,3609,
248,5476,
249,1483,
250,238,
251,125,
252,103,
253,94,
254,103,
255,92,
256,115,
257,119,
258,87,
259,81,
260,104,
261,98,
262,138,
263,79,
264,77,
265,68,
266,75,
267,77,
268,83,
269,65,
270,137,
271,595,
272,2308,
273,1570,
274,232,
275,53,
276,37,
277,60,
278,52,
279,63,
280,59,
281,50,
282,54,
283,43,
284,34,
285,34,
286,34,
287,38,
288,38,
289,34,
290,35,
291,33,
292,34,
293,32,
294,25,
295,47,
296,58,
297,63,
298,63,
299,39,
300,30,
301,36,
302,28,
303,50,
304,45,
305,43,
306,36,
307,36,
308,24,
309,22,
310,36,
311,32,
312,23,
313,22,
314,24,
315,34,
316,24,
317,31,
318,23,
319,20,
320,25,
321,18,
322,19,
323,32,
324,48,
325,24,
326,20,
327,24,
328,22,
329,35,
330,145,
331,109,
332,25,
333,21,
334,26,
335,15,
336,22,
337,24,
338,36,
339,19,
340,20,
341,19,
342,18,
343,20,
344,26,
345,33,
346,36,
347,25,
348,20,
349,20,
350,21,
351,19,
352,23,
353,25,
354,15,
355,23,
356,19,
357,13,
358,15,
359,25,
360,20,
361,28,
362,18,
363,26,
364,24,
365,21,
366,31,
367,18,
368,33,
369,21,
370,24,
371,17,
372,18,
373,20,
374,18,
375,19,
376,21,
377,15,
378,15,
379,19,
380,28,
381,13,
382,22,
383,17,
384,22,
385,21,
386,13,
387,15,
388,18,
389,12,
390,15,
391,16,
392,11,
393,10,
394,24,
395,42,
396,24,
397,22,
398,26,
399,19,
400,13,
2850,64,
2851,71,
2852,62,
2853,63,
2854,39,
2855,65,
2856,53,
2857,59,
2858,69,
2859,58,
2860,50,
2861,60,
2862,71,
2863,70,
2864,77,
2865,70,
2866,72,
2867,61,
2868,49,
2869,59,
2870,69,
2871,64,
2872,47,
2873,45,
2874,64,
2875,63,
2876,59,
2877,62,
2878,58,
2879,62,
2880,58,
2881,58,
2882,57,
2883,57,
2884,50,
2885,65,
2886,68,
2887,76,
2888,79,
2889,58,
2890,81,
2891,61,
2892,61,
2893,70,
2894,67,
2895,64,
2896,64,
2897,75,
2898,57,
2899,66,
2900,64,
2901,65,
2902,57,
2903,84,
2904,65,
2905,72,
2906,66,
2907,77,
2908,62,
2909,50,
2910,70,
2911,69,
2912,59,
2913,75,
2914,70,
2915,73,
2916,80,
2917,74,
2918,79,
2919,74,
2920,69,
2921,75,
2922,69,
2923,65,
2924,73,
2925,73,
2926,65,
2927,52,
2928,78,
2929,61,
2930,63,
2931,77,
2932,63,
2933,59,
2934,82,
2935,72,
2936,60,
2937,84,
2938,69,
2939,83,
2940,77,
2941,98,
2942,76,
2943,75,
2944,71,
2945,73,
2946,85,
2947,79,
2948,70,
2949,68,
2950,66,
2951,80,
2952,82,
2953,62,
2954,62,
2955,68,
2956,63,
2957,58,
2958,57,
2959,61,
2960,48,
2961,43,
2962,48,
2963,58,
2964,55,
2965,45,
2966,46,
2967,55,
2968,55,
2969,37,
2970,61,
2971,52,
2972,46,
2973,46,
2974,59,
2975,75,
2976,80,
2977,91,
2978,110,
2979,125,
2980,133,
2981,165,
2982,200,
2983,249,
2984,267,
2985,312,
2986,321,
2987,344,
2988,240,
2989,176,
2990,148,
2991,57,
2992,28,
2993,18,
2994,12,
2995,8,
2996,8,
2997,4,
2998,2,
2999,2,
3000,2,
3001,5,
3002,3,
3003,1,
3004,0,
3005,1,
3006,1,
3007,1,
3008,0,
3009,1,
3010,1,
3011,0,
3012,0,
3013,1,
3014,0,
3015,0,
3016,0,
3017,3,
3018,1,
3019,0,
3020,1,
3021,1,
3022,0,
3023,1,
3024,0,
3025,0,
3026,0,
3027,0,
3028,0,
3029,1,
3030,2,
3031,1,
3032,0,
3033,0,
3034,0,
3035,0,
3036,1,
3037,2,
3038,1,
3039,2,
3040,0,
3041,1,
3042,1,
3043,1,
3044,0,
3045,3,
3046,1,
3047,1,
3048,1,
3049,1,
3050,0,
