SPECTRUM,DATE,TIME,LIVE,REAL
202305231608_newGe_newDAQ_8MeV_Co-01-00.csv,23-05-23,15:54:20,777.38,780.7
RSV1,RSV2,RSV3,RSV4,RSV5,RSV6,RSV7,RSV8,RSV9,RSV10
1,2,3,4,5,6,7,8,9,10
PHA NO.,SEGMENT NO.,SIZE
01,00,4096

                                                               
CH,0,1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0
50,0,600,672,513,508,523,474,513,449,444
60,456,498,415,417,394,385,444,349,381,363
70,357,334,322,350,324,440,326,308,300,315
80,310,321,316,313,322,320,367,292,272,354
90,463,290,255,265,254,258,232,284,269,268
100,232,256,253,269,275,256,234,284,244,264
110,238,236,218,290,243,258,284,259,240,265
120,265,259,265,241,267,242,250,294,251,286
130,252,286,260,294,324,312,293,319,329,297
140,315,293,327,310,252,242,219,255,235,218
150,227,219,244,210,234,248,201,204,239,216
160,208,223,248,241,206,238,197,195,167,174
170,166,160,177,2338,605,146,145,108,113,104
180,102,80,120,115,82,62,72,92,77,68
190,67,117,56,54,57,61,333,2048,50,31
200,39,34,31,31,40,21,21,28,24,31
210,33,27,31,33,41,133,965,27,14,14
220,16,10,17,24,19,16,14,19,17,11
230,8,6,15,15,19,19,15,14,14,20
240,18,21,17,10,8,8,11,13,7,15
250,7,13,9,11,6,11,14,6,11,9
260,20,75,6,9,7,3,13,7,4,10
270,7,9,12,13,9,2,7,14,6,6
280,8,6,6,11,10,2,10,9,4,7
290,10,7,9,5,11,7,6,3,6,11
300,7,3,6,8,6,3,4,6,5,8
310,4,17,8,12,3,6,11,7,6,9
320,5,10,5,5,4,4,17,9,6,9
330,8,6,6,3,6,3,3,4,3,10
340,9,13,5,11,8,5,11,5,6,5
350,8,5,9,7,10,5,5,3,7,2
360,1,1,9,3,1,8,4,4,2,2
370,4,12,2,4,2,2,1,1,2,3
380,2,4,0,3,1,4,11,74,6,1
390,0,0,1,4,4,1,1,1,2,0
400,0,1,2,1,1,1,2,1,2,0
410,0,0,0,0,3,2,1,1,3,0
420,0,2,0,2,2,0,1,0,1,3
430,3,1,0,1,3,2,2,2,0,0
440,1,1,0,0,2,3,2,2,4,0
450,0,3,4,0,1,1,2,4,1,1
460,0,2,0,1,0,0,2,2,2,0
470,0,1,1,1,3,2,1,2,0,2
480,3,2,1,3,1,1,4,1,0,3
490,1,2,1,1,2,4,0,1,1,2
500,0,3,2,1,1,1,1,3,0,1
510,3,5,3,2,2,1,2,3,2,1
520,2,0,1,3,1,2,7,2,0,3
530,0,0,3,2,1,1,1,1,1,3
540,3,3,3,4,3,1,3,1,1,1
550,5,1,1,2,0,2,3,0,1,4
560,3,0,5,5,3,3,7,2,3,1
570,4,3,2,1,1,0,2,3,2,2
580,5,2,2,2,1,3,3,0,4,4
590,0,3,3,1,2,1,1,3,2,3
600,2,1,3,1,1,2,5,6,3,2
610,6,2,3,3,5,1,4,1,6,6
620,4,4,3,4,8,3,6,5,3,4
630,4,4,3,5,6,3,5,3,2,7
640,4,3,4,3,2,3,4,6,5,3
650,5,5,5,2,5,3,5,5,3,6
660,5,6,4,5,4,5,7,5,5,1
670,5,4,4,4,4,3,4,4,5,6
680,5,5,2,4,5,5,6,8,2,3
690,4,2,5,5,8,8,2,4,6,4
700,6,3,3,5,5,4,7,6,8,14
710,6,7,4,7,6,6,3,4,5,5
720,7,7,7,3,9,6,7,3,9,4
730,7,6,6,7,3,11,14,10,3,7
740,5,6,7,9,5,4,9,6,10,7
750,7,6,6,6,5,3,3,8,5,6
760,1,9,6,7,7,5,10,8,8,5
770,8,2,6,11,8,8,7,5,7,5
780,7,6,9,5,7,7,7,7,6,8
790,7,13,12,8,8,8,8,11,10,7
800,7,12,8,7,2,11,10,5,4,10
810,11,3,11,5,6,10,12,9,9,13
820,7,14,6,6,10,8,15,12,6,9
830,6,7,9,7,8,8,12,15,8,3
840,9,9,16,9,10,11,10,17,11,8
850,13,10,7,11,7,8,9,13,9,6
860,12,13,11,7,14,10,4,8,10,10
870,9,8,13,16,16,9,9,11,9,11
880,8,9,9,7,8,4,6,8,7,13
890,13,9,8,16,8,9,11,9,8,12
900,10,13,10,11,21,15,13,8,12,17
910,14,16,9,8,9,10,5,13,12,8
920,10,10,16,16,16,10,14,8,20,12
930,9,9,9,8,15,16,16,11,15,13
940,13,9,15,12,9,7,15,13,10,5
950,17,10,12,19,13,4,11,13,11,16
960,18,10,12,10,14,8,18,17,11,13
970,10,9,19,15,8,16,14,9,10,21
980,9,19,6,12,16,14,18,13,11,11
990,16,14,5,16,15,10,16,20,14,11
1000,13,14,24,26,20,13,15,24,19,14
1010,18,18,16,17,19,15,11,13,18,23
1020,21,15,19,10,16,15,11,19,20,11
1030,16,22,11,13,19,18,19,12,21,19
1040,24,24,16,20,20,22,33,26,15,24
1050,17,22,12,9,27,18,22,29,30,18
1060,29,27,19,25,23,20,25,23,21,28
1070,27,21,24,23,22,26,22,21,26,23
1080,30,24,30,20,34,31,31,26,24,26
1090,20,29,29,26,17,32,42,30,29,19
1100,23,29,32,28,32,26,38,26,46,32
1110,29,33,23,26,34,24,45,41,26,34
1120,33,32,36,47,44,36,44,26,35,40
1130,30,29,39,44,37,29,49,31,36,58
1140,39,27,35,31,45,55,43,37,53,52
1150,39,36,41,36,33,50,37,66,57,40
1160,47,51,52,49,56,59,62,58,53,56
1170,45,52,57,61,66,63,78,51,77,59
1180,84,68,64,62,72,80,67,73,71,61
1190,63,75,74,66,63,74,72,63,82,74
1200,74,51,77,77,90,88,96,87,96,150
1210,164,212,263,313,412,440,460,408,309,158
1220,66,26,7,1,6,2,1,4,3,3
1230,1,2,3,0,1,4,1,0,1,1
1240,0,1,2,0,1,0,1,0,0,2
1250,1,0,0,0,2,2,1,0,0,1
1260,0,1,0,0,1,0,1,1,2,1
1270,1,0,0,0,0,0,0,2,0,1
1280,0,0,0,0,0,1,2,1,0,0
1290,0,0,1,1,0,0,0,1,0,1
1300,0,0,0,1,1,0,2,1,1,0
1310,0,0,0,1,0,1,1,1,0,0
1320,0,0,1,0,0,1,0,0,2,0
1330,0,1,0,1,0,1,0,0,0,1
1340,0,0,0,0,0,1,1,2,0,1
1350,1,0,0,1,0,1,0,0,1,0
1360,0,1,0,0,0,0,0,0,0,0
1370,1,0,1,1,2,0,0,1,1,1
1380,2,0,1,2,1,1,1,2,0,0
1390,0,0,1,0,1,0,0,3,1,0
1400,1,2,1,1,0,1,1,0,0,2
1410,0,2,2,0,0,0,0,2,1,1
1420,1,0,1,2,0,0,1,0,0,1
1430,1,1,0,0,0,1,0,1,1,1
1440,3,2,0,2,1,0,0,0,2,1
1450,3,0,2,0,0,2,0,1,2,3
1460,3,1,2,4,1,2,0,1,1,0
1470,0,0,0,1,2,1,1,0,1,1
1480,0,0,0,1,1,1,2,2,0,3
1490,4,1,1,0,1,2,1,1,1,1
1500,0,1,0,0,1,3,1,1,2,1
1510,0,2,0,1,1,0,0,1,2,2
1520,1,1,3,1,3,0,0,2,1,1
1530,2,2,2,1,1,2,0,2,0,3
1540,1,0,1,1,0,3,2,2,0,3
1550,0,2,1,1,1,2,2,0,3,2
1560,1,2,2,1,0,2,2,0,1,3
1570,2,1,1,2,0,2,1,0,1,2
1580,0,0,2,1,1,1,2,3,1,0
1590,0,2,0,1,0,0,1,1,2,1
1600,1,1,3,1,2,2,2,0,1,1
1610,1,0,1,3,1,6,4,1,4,1
1620,2,1,0,3,2,4,1,2,1,0
