SPECTRUM,DATE,TIME,LIVE,REAL
202305231723_newGe_newMCA_8MeV_2el_Co-01-00.csv,23-05-23,16:16:40,3989.68,4006.78
RSV1,RSV2,RSV3,RSV4,RSV5,RSV6,RSV7,RSV8,RSV9,RSV10
1,2,3,4,5,6,7,8,9,10
PHA NO.,SEGMENT NO.,SIZE
01,00,4096

                                                               
CH,0,1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0
50,0,2957,3828,2849,2690,2642,2519,2552,2426,2345
60,2395,2320,2249,2262,2094,2090,2010,1963,2029,1901
70,1849,1901,1742,1740,1866,2028,1714,1612,1600,1700
80,1534,1539,1537,1559,1533,1527,1925,1480,1472,1737
90,2556,1394,1381,1429,1340,1311,1334,1332,1367,1290
100,1292,1297,1303,1319,1337,1347,1321,1359,1315,1291
110,1259,1295,1347,1418,1367,1300,1370,1387,1225,1317
120,1185,1377,1322,1376,1379,1357,1356,1451,1335,1409
130,1491,1456,1485,1500,1698,1692,1537,1561,1633,1643
140,1696,1643,1645,1651,1349,1305,1269,1243,1266,1231
150,1257,1155,1203,1183,1174,1159,1164,1136,1211,1186
160,1137,1173,1186,1197,1174,1285,1191,882,890,824
170,803,875,932,11254,4389,669,674,620,671,606
180,594,591,565,662,471,369,373,352,350,343
190,339,440,365,280,319,315,1215,11754,514,140
200,179,194,155,176,211,150,141,177,164,147
210,138,144,153,142,159,508,5115,245,82,79
220,84,91,68,133,82,63,69,77,62,54
230,52,53,50,61,95,131,89,63,52,59
240,68,67,60,41,48,53,56,52,54,53
250,40,50,33,43,44,50,83,56,35,50
260,61,325,44,47,40,32,33,44,50,33
270,32,31,51,74,54,44,45,40,45,35
280,52,30,29,33,42,39,41,35,32,47
290,33,42,28,30,34,39,38,35,29,34
300,31,41,44,26,26,30,37,34,21,29
310,40,82,66,58,33,28,35,29,27,32
320,28,28,39,29,34,37,102,38,31,26
330,32,35,33,33,35,34,32,26,32,48
340,30,41,26,36,33,28,28,28,32,33
350,26,28,34,29,40,21,21,20,26,17
360,16,23,47,25,10,18,20,17,12,16
370,25,70,20,8,17,11,11,4,11,6
380,15,10,8,14,11,9,39,418,31,6
390,4,5,7,4,7,4,6,7,6,7
400,1,7,5,7,7,7,8,2,4,6
410,3,6,2,10,4,3,6,6,6,4
420,5,7,4,16,9,2,7,9,9,8
430,5,7,10,4,4,8,7,5,4,7
440,8,5,5,9,5,10,5,4,4,6
450,9,5,8,2,5,7,5,11,10,7
460,6,5,7,7,7,6,7,9,6,6
470,8,10,9,14,14,6,6,9,11,8
480,8,5,6,4,5,11,12,7,7,9
490,7,8,9,4,8,5,8,8,9,10
500,7,6,9,11,10,14,7,7,4,8
510,11,5,12,12,9,7,10,9,5,16
520,9,7,9,9,14,13,6,6,9,12
530,6,11,12,9,10,9,9,9,9,12
540,5,11,7,9,15,13,9,7,5,13
550,8,9,6,12,11,6,8,6,12,5
560,7,12,9,9,10,5,6,11,10,11
570,15,10,14,17,18,9,19,12,11,12
580,11,12,6,12,11,15,13,8,10,10
590,9,9,11,18,14,16,8,18,11,19
600,8,16,13,10,15,6,15,16,18,12
610,14,12,13,11,11,11,13,14,16,13
620,14,13,15,16,16,11,18,17,16,10
630,10,22,17,12,11,16,7,15,21,17
640,23,15,19,17,19,11,24,15,16,17
650,21,11,18,17,20,18,15,23,17,19
660,24,17,16,14,18,21,17,14,14,23
670,18,19,18,19,28,22,20,18,37,21
680,16,21,17,22,12,23,20,14,24,19
690,14,15,20,22,14,20,26,17,13,25
700,20,21,9,19,16,19,17,28,21,28
710,19,25,22,27,19,27,20,17,18,27
720,25,33,21,23,23,20,19,20,21,22
730,22,26,29,32,22,24,16,23,32,22
740,20,30,23,29,24,29,18,28,25,27
750,22,35,34,24,28,23,31,21,22,26
760,32,23,17,29,33,30,31,30,34,41
770,31,26,29,31,30,21,30,30,34,29
780,33,26,39,35,33,33,40,30,35,37
790,22,28,28,29,27,36,31,29,30,24
800,36,36,26,34,39,32,37,32,28,36
810,28,27,42,33,26,33,24,35,32,47
820,45,35,30,47,49,43,41,52,35,34
830,32,39,38,30,32,35,37,22,38,35
840,39,34,49,41,32,39,51,36,34,44
850,36,27,46,36,40,38,42,35,51,46
860,36,56,47,61,43,39,54,43,55,34
870,58,52,45,39,44,44,29,43,44,41
880,41,47,53,52,42,41,39,47,47,50
890,48,46,53,48,51,52,47,50,51,55
900,51,43,47,59,58,45,44,59,40,59
910,49,44,59,52,54,43,47,65,49,47
920,46,55,55,51,51,51,58,46,59,43
930,50,46,57,45,57,58,52,44,40,51
940,50,65,62,50,55,75,58,69,68,59
950,59,61,47,67,53,58,76,56,71,64
960,56,53,58,63,66,61,57,71,65,69
970,68,54,69,64,68,62,74,79,70,85
980,62,66,85,67,64,51,72,74,78,77
990,68,55,87,62,75,70,76,81,82,77
1000,92,79,71,79,66,81,96,74,71,71
1010,70,86,82,74,74,77,74,101,90,90
1020,74,82,98,73,70,98,101,96,73,93
1030,91,76,89,79,87,87,92,117,88,90
1040,90,99,86,116,110,98,81,83,97,97
1050,110,106,92,95,101,108,100,99,97,108
1060,118,132,118,107,126,122,127,104,126,131
1070,125,118,140,122,105,112,142,141,131,118
1080,125,126,117,135,125,113,135,137,125,143
1090,125,122,138,144,148,125,141,149,148,167
1100,141,147,157,131,151,152,152,164,181,178
1110,137,175,150,164,148,162,186,172,171,183
1120,175,184,167,173,188,170,205,205,184,218
1130,179,195,183,198,203,207,208,201,219,216
1140,213,236,236,204,219,214,255,264,210,223
1150,244,266,215,240,267,274,255,283,262,268
1160,287,274,269,295,287,309,335,309,279,306
1170,304,318,335,314,336,369,363,382,374,364
1180,379,414,372,374,412,379,419,400,421,422
1190,398,382,435,408,406,395,410,389,398,385
1200,377,390,436,382,431,475,559,625,747,822
1210,1008,1222,1491,1871,2260,2726,2872,2629,1875,1116
1220,476,138,48,18,13,10,7,8,13,14
1230,11,12,11,18,7,8,11,5,10,10
1240,13,5,8,7,4,4,5,4,4,2
1250,5,5,2,3,0,4,1,3,6,0
1260,1,6,4,5,1,2,3,1,6,3
1270,2,2,5,1,2,2,4,2,6,2
1280,0,1,0,0,0,1,2,2,4,1
1290,3,1,5,3,2,4,2,4,2,3
1300,3,2,2,0,2,2,1,2,1,3
1310,1,0,1,4,3,0,4,3,0,5
1320,4,3,0,0,3,1,3,3,4,2
1330,2,7,3,4,2,2,2,3,2,5
1340,4,4,3,4,5,3,2,1,2,3
1350,0,1,3,2,5,0,3,3,4,0
1360,1,4,2,1,0,2,0,4,5,3
1370,3,1,3,2,4,6,1,3,3,4
1380,1,5,2,4,3,2,2,6,3,2
1390,5,6,2,2,1,1,1,2,1,1
1400,5,6,2,2,3,3,2,7,0,1
1410,3,2,5,2,3,1,1,1,4,3
1420,3,1,4,4,4,2,3,3,0,3
1430,4,10,6,2,3,1,4,1,5,5
1440,6,5,7,1,2,10,3,7,2,4
1450,1,5,2,1,3,4,2,1,7,3
1460,6,0,3,0,2,2,2,4,6,3
1470,2,1,8,3,4,10,4,3,4,7
1480,5,3,1,3,9,4,2,2,5,3
1490,3,2,1,4,5,2,4,3,2,5
1500,5,5,4,5,9,6,4,5,6,3
1510,5,6,8,5,9,7,6,1,2,6
1520,4,7,4,2,6,2,3,5,4,5
1530,6,3,5,4,3,4,6,8,6,3
1540,7,7,6,7,7,1,2,3,5,3
1550,3,2,7,4,7,8,9,7,2,8
1560,8,7,5,2,6,4,4,6,5,3
