SPECTRUM,DATE,TIME,LIVE,REAL
202306061830_newGe_newMCA_12MeV_woC2_Co-01-00.csv,23-06-06,18:01:51,1675.42,1681.42
RSV1,RSV2,RSV3,RSV4,RSV5,RSV6,RSV7,RSV8,RSV9,RSV10
1,2,3,4,5,6,7,8,9,10
PHA NO.,SEGMENT NO.,SIZE
01,00,4096

                                                               
CH,0,1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0
50,0,1098,1185,893,843,845,856,841,770,789
60,803,726,699,670,655,651,689,659,623,629
70,626,592,533,548,611,726,531,539,539,501
80,510,513,495,473,497,601,613,473,442,804
90,659,424,464,428,394,411,410,399,445,399
100,391,418,421,427,424,400,374,458,379,408
110,371,418,392,432,415,394,354,423,361,398
120,379,398,392,404,363,369,369,421,370,366
130,413,385,366,432,577,416,409,454,406,461
140,402,466,444,421,347,339,345,359,347,335
150,340,341,309,344,319,317,312,316,321,332
160,298,326,338,342,347,442,298,266,274,247
170,277,268,737,2747,232,233,206,207,209,190
180,218,199,246,198,165,171,131,119,129,147
190,118,101,124,98,98,138,2118,741,69,64
200,61,58,60,104,76,57,57,80,52,45
210,58,57,43,51,72,1736,523,25,36,25
220,25,21,39,25,28,21,29,32,19,15
230,20,19,19,20,35,48,19,24,21,33
240,24,20,22,16,12,22,14,8,15,16
250,23,13,13,15,14,32,13,16,10,8
260,109,27,11,17,14,9,9,16,10,15
270,9,6,18,20,16,9,11,6,21,8
280,11,16,11,9,12,15,14,11,12,11
290,9,15,14,10,13,11,9,12,7,5
300,10,8,9,13,11,14,11,11,11,8
310,24,14,22,13,12,10,11,12,9,9
320,12,3,3,8,9,46,13,9,11,7
330,12,12,14,11,7,18,11,14,10,12
340,7,8,9,11,7,17,12,10,13,11
350,10,12,9,5,13,5,8,4,10,11
360,4,18,13,11,3,3,3,7,7,9
370,11,1,6,4,3,1,3,2,1,1
380,3,1,2,3,7,33,146,3,1,1
390,1,1,1,0,1,0,0,0,2,1
400,1,1,0,1,0,2,1,2,0,4
410,0,1,2,0,1,1,0,0,2,1
420,0,0,0,1,3,0,0,2,0,2
430,2,3,0,2,1,1,2,0,1,0
440,0,1,1,2,0,1,2,0,1,0
450,0,2,0,2,0,2,0,1,2,0
460,3,0,1,1,0,1,1,1,3,1
470,0,2,0,1,2,2,3,1,1,1
480,1,0,1,1,2,0,1,0,0,1
490,0,1,0,1,1,0,3,1,1,0
500,4,1,3,0,2,4,2,1,0,1
510,0,2,1,1,2,0,1,2,0,1
520,2,2,3,1,1,1,1,1,2,2
530,2,2,1,2,6,1,3,2,3,2
540,5,0,0,0,3,0,0,1,3,3
550,0,1,2,3,1,2,2,2,1,0
560,2,0,3,4,1,3,5,1,7,4
570,7,1,4,1,3,5,4,3,1,4
580,1,5,4,0,6,5,5,4,3,5
590,2,5,6,3,3,5,5,4,5,5
600,1,6,3,2,4,7,6,3,5,3
610,2,9,4,6,4,6,10,5,4,1
620,7,6,5,8,7,8,7,7,7,7
630,4,6,5,8,8,6,5,4,7,10
640,9,8,3,7,6,9,6,9,9,5
650,7,6,4,11,8,11,10,4,6,8
660,8,10,9,13,11,14,4,7,11,10
670,11,10,15,9,16,9,9,8,6,9
680,11,12,13,17,5,10,10,13,11,11
690,19,8,15,8,6,18,15,12,11,14
700,11,15,11,14,7,13,15,16,10,13
710,13,12,9,8,18,19,13,17,18,18
720,16,16,12,6,13,12,10,13,13,16
730,13,16,13,9,9,10,16,17,13,14
740,21,14,10,19,12,10,17,15,10,11
750,13,13,17,17,14,16,14,12,16,15
760,10,18,16,21,10,20,22,11,11,10
770,18,15,18,23,17,25,16,12,13,19
780,13,11,16,15,16,10,16,16,18,14
790,15,18,20,23,13,23,14,14,19,15
800,18,16,14,12,21,19,25,21,15,16
810,20,16,13,23,15,15,20,20,17,24
820,25,14,16,15,14,17,21,18,15,12
830,17,12,16,13,17,14,15,16,22,21
840,19,20,16,17,23,23,20,14,21,15
850,17,19,19,15,11,22,21,19,18,25
860,21,18,21,15,17,14,14,18,21,15
870,15,15,10,16,17,16,23,32,13,23
880,8,9,22,18,17,19,15,18,26,22
890,20,20,18,26,20,12,26,13,21,18
900,17,18,14,22,22,23,17,22,17,19
910,13,22,23,19,18,17,26,19,21,17
920,20,23,17,15,26,16,20,26,22,22
930,12,21,18,13,28,20,18,13,16,21
940,22,16,30,14,16,16,20,21,11,17
950,24,10,22,16,22,12,14,10,13,12
960,23,15,18,22,26,17,14,24,18,24
970,29,16,26,16,14,32,17,14,18,17
980,23,14,12,23,21,17,17,8,25,27
990,24,17,25,17,15,16,25,20,11,28
1000,10,15,18,19,22,15,22,17,19,20
1010,23,18,18,19,19,19,17,20,15,20
1020,19,25,26,18,20,19,21,15,25,20
1030,17,16,15,20,15,28,11,8,27,15
1040,21,23,11,17,25,29,25,22,16,21
1050,21,25,16,18,23,18,20,18,19,19
1060,29,22,22,21,14,13,16,19,24,22
1070,18,22,17,18,10,16,28,16,20,21
1080,16,19,26,22,20,20,18,17,12,17
1090,20,25,20,18,14,27,22,9,15,17
1100,16,16,16,20,17,16,20,19,17,22
1110,21,27,27,17,20,17,23,24,23,14
1120,13,22,23,18,22,25,21,27,16,25
1130,22,19,12,16,24,21,18,15,16,17
1140,22,22,26,14,23,25,27,17,12,15
1150,15,21,20,15,17,20,18,19,16,19
1160,10,19,17,21,16,26,24,30,18,14
1170,17,25,25,18,16,18,18,27,13,31
1180,16,12,16,12,14,16,22,26,20,13
1190,25,20,17,25,22,22,23,16,23,19
1200,22,21,18,28,30,17,13,24,18,16
1210,19,19,19,30,23,13,19,27,21,24
1220,22,28,29,15,25,14,18,16,20,17
1230,30,21,19,24,16,26,18,19,18,18
1240,24,22,23,21,20,13,20,21,21,22
1250,22,19,25,16,16,28,27,19,24,20
1260,19,19,22,25,25,24,20,21,13,18
1270,18,15,25,23,18,22,22,16,22,24
1280,22,27,22,19,23,23,16,20,16,26
1290,17,19,21,23,13,27,25,23,21,19
1300,28,19,21,14,19,16,22,21,21,18
1310,18,27,16,19,20,21,27,23,27,22
1320,11,18,20,18,20,19,26,16,21,18
1330,24,24,17,23,21,18,37,22,23,19
1340,25,23,18,27,32,22,17,14,18,19
1350,16,17,17,20,23,22,19,21,19,27
1360,13,30,17,22,23,27,27,29,28,19
1370,27,28,21,13,24,24,19,12,18,17
1380,20,27,24,24,13,18,23,27,27,21
1390,21,21,18,22,25,26,21,22,19,19
1400,14,16,17,19,18,18,22,21,21,27
1410,21,20,26,21,20,23,24,16,16,26
1420,29,20,21,17,18,33,29,16,23,20
1430,24,27,24,31,23,15,22,17,23,25
1440,23,25,26,15,22,21,23,27,20,23
1450,22,25,22,24,21,18,23,25,21,29
1460,22,21,21,21,27,24,19,19,26,29
1470,32,29,24,20,24,19,19,20,23,20
1480,30,13,15,22,25,28,32,22,27,28
1490,29,25,20,21,18,28,27,23,20,33
1500,26,17,19,25,14,16,34,24,29,24
1510,20,21,21,22,27,20,22,25,25,25
1520,28,21,23,20,38,22,24,27,21,21
1530,20,22,29,22,28,22,24,19,29,26
1540,27,25,23,24,27,26,25,25,27,14
1550,36,19,25,33,23,24,31,25,27,23
1560,30,24,30,37,27,26,22,25,37,31
1570,23,26,32,18,23,19,27,27,28,30
1580,23,31,22,28,26,23,25,24,22,19
1590,27,27,29,21,31,17,23,19,32,35
1600,32,23,29,24,29,29,30,26,29,16
1610,32,29,27,32,32,36,37,29,38,26
1620,20,39,30,38,25,26,31,29,25,33
