SPECTRUM,DATE,TIME,LIVE,REAL
202306071102_newGe_newMCA_6MeV_Co-01-00.csv,23-06-07,10:50:53,633.4,634.82
RSV1,RSV2,RSV3,RSV4,RSV5,RSV6,RSV7,RSV8,RSV9,RSV10
1,2,3,4,5,6,7,8,9,10
PHA NO.,SEGMENT NO.,SIZE
01,00,4096

                                                               
CH,0,1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0
50,0,369,473,396,326,297,303,277,306,262
60,302,287,252,295,240,272,237,239,241,244
70,224,216,198,204,211,260,215,189,206,192
80,200,201,193,171,163,181,255,173,159,223
90,348,173,170,167,165,183,131,160,184,131
100,154,137,162,140,145,148,138,144,144,140
110,146,135,169,168,155,164,142,164,125,151
120,156,147,155,143,143,145,146,141,144,159
130,147,142,127,149,168,189,149,171,180,166
140,172,174,152,189,143,148,141,143,122,123
150,109,135,144,120,149,127,114,117,110,121
160,125,123,130,118,124,136,148,88,106,102
170,100,104,101,865,505,96,73,83,90,58
180,83,74,79,99,59,60,53,51,56,48
190,37,43,43,46,46,39,91,1006,70,27
200,26,14,24,23,31,18,27,17,29,24
210,21,23,18,27,29,46,772,52,13,12
220,4,9,10,11,12,7,11,8,8,9
230,6,10,10,7,10,12,16,6,7,3
240,8,8,6,6,9,4,12,7,5,7
250,10,6,2,9,3,5,19,8,7,4
260,6,44,9,4,7,5,8,1,5,2
270,1,3,4,11,13,5,8,5,4,5
280,4,7,6,4,4,3,7,6,6,3
290,6,6,5,4,1,1,6,3,5,4
300,7,3,4,5,5,4,3,5,5,2
310,5,8,7,8,7,9,4,3,6,3
320,7,5,1,3,3,3,12,4,10,2
330,5,7,4,2,4,1,3,3,3,5
340,3,5,4,2,7,4,3,6,4,5
350,4,4,4,3,3,2,4,4,1,4
360,2,5,4,4,1,6,3,0,4,2
370,1,2,2,1,1,2,0,0,0,2
380,1,1,1,3,3,5,3,86,9,1
390,1,2,1,2,0,0,5,0,1,3
400,2,0,0,3,3,1,2,1,5,2
410,0,1,1,0,1,0,0,2,1,0
420,0,2,1,3,1,0,0,0,0,1
430,0,0,0,1,1,2,1,1,0,1
440,0,2,2,1,2,1,0,2,0,0
450,2,3,1,0,4,0,0,4,2,1
460,2,2,2,0,2,1,4,1,0,4
470,0,1,0,0,3,0,1,1,0,1
480,0,1,1,1,1,2,2,2,1,2
490,1,2,2,3,3,2,2,2,1,1
500,3,2,2,1,3,3,0,0,2,2
510,1,2,0,2,2,2,0,2,0,2
520,2,1,0,0,0,2,3,2,0,1
530,1,3,1,1,0,5,1,1,2,3
540,3,2,3,2,1,0,2,2,2,0
550,0,3,0,3,3,3,3,1,0,3
560,0,1,6,1,2,1,2,1,4,2
570,0,2,1,0,1,1,1,2,2,1
580,2,1,2,2,4,2,2,2,2,3
590,2,3,2,4,4,2,5,3,3,3
600,3,3,1,2,1,2,0,3,5,1
610,2,4,3,1,3,1,4,0,2,2
620,1,1,4,3,1,4,2,1,2,0
630,3,0,0,3,1,3,6,1,0,2
640,3,3,2,6,2,2,0,4,5,2
650,5,2,2,1,2,1,4,2,1,4
660,2,2,6,3,4,2,2,1,2,4
670,6,2,2,4,5,6,2,8,0,4
680,5,1,7,3,2,5,4,2,3,1
690,5,3,5,3,5,3,0,4,4,6
700,3,6,3,1,4,2,6,3,4,4
710,5,2,3,3,5,4,2,6,2,3
720,4,7,4,5,6,4,3,6,8,5
730,5,2,6,5,2,6,4,3,3,6
740,7,6,7,4,7,2,2,4,1,6
750,5,6,8,5,4,4,5,4,4,3
760,5,4,6,4,7,5,3,6,6,3
770,6,7,6,7,4,4,4,5,5,0
780,7,6,8,5,6,2,12,7,8,7
790,3,7,5,10,9,5,2,6,10,11
800,6,3,7,5,6,10,9,6,4,5
810,5,8,4,5,2,5,11,8,5,5
820,7,8,8,11,9,8,10,4,12,7
830,11,7,14,7,11,7,9,14,10,10
840,10,7,12,11,13,15,14,9,17,14
850,15,21,9,16,13,11,19,13,16,17
860,20,7,13,18,14,17,20,19,15,12
870,13,20,22,17,17,27,20,19,20,21
880,24,11,25,20,22,18,22,27,14,24
890,25,36,26,25,23,30,28,35,35,41
900,24,35,33,36,28,24,25,35,34,34
910,27,33,28,34,34,25,28,36,36,34
920,50,35,45,44,48,77,78,98,122,130
930,186,219,231,248,245,224,173,108,67,31
940,6,0,0,0,0,0,1,1,0,0
950,1,1,1,0,0,1,0,0,0,0
960,1,0,0,0,0,0,0,0,0,0
970,0,0,0,0,1,0,0,0,0,0
980,0,1,0,1,0,0,0,0,0,0
990,0,0,0,0,0,0,0,0,0,0
1000,0,0,0,0,0,0,0,0,0,1
1010,0,0,0,0,0,0,0,0,0,0
1020,0,0,0,0,0,0,0,0,0,0
1030,0,0,0,0,0,0,0,0,0,0
1040,0,0,0,0,0,0,0,0,0,0
1050,0,0,0,0,0,0,0,0,0,0
1060,0,0,0,0,0,0,0,0,0,0
1070,0,0,0,0,0,0,0,0,0,0
1080,0,0,0,0,0,0,0,0,0,0
1090,0,0,0,0,0,0,0,0,0,0
1100,0,0,0,0,0,0,0,0,0,0
1110,0,0,0,0,0,0,0,0,0,0
1120,0,0,0,0,0,0,0,0,0,0
1130,0,0,0,0,0,0,0,0,0,0
1140,0,0,0,0,0,0,0,0,0,0
1150,0,0,0,0,0,0,0,0,0,0
1160,0,0,0,1,0,0,0,0,0,0
1170,0,0,0,0,0,0,0,0,0,0
1180,0,0,0,0,0,0,0,0,0,0
1190,0,0,0,0,0,0,0,0,0,0
1200,0,0,0,0,0,0,0,0,0,0
1210,0,0,0,0,0,0,0,0,0,0
1220,0,0,0,0,1,0,0,0,0,0
1230,0,0,0,0,0,0,0,0,0,0
1240,0,0,0,0,0,0,0,0,0,0
1250,0,0,0,1,0,0,0,0,0,0
1260,0,0,0,1,0,0,0,0,0,0
1270,0,0,0,0,0,0,1,0,0,0
1280,0,0,0,0,0,0,0,0,0,0
1290,0,0,0,0,0,0,0,0,0,0
1300,0,0,0,0,1,0,0,0,0,0
1310,0,0,0,0,0,0,0,0,0,0
1320,0,0,0,0,0,0,0,0,0,0
1330,0,0,0,0,0,0,0,0,0,0
1340,0,0,0,0,0,0,0,0,0,0
1350,0,0,0,0,0,0,0,0,0,0
1360,0,0,0,0,0,0,0,0,0,1
1370,0,0,0,0,1,0,0,0,0,0
1380,0,0,0,0,0,0,0,0,0,0
1390,0,0,0,0,0,0,0,0,0,1
1400,0,0,0,0,0,0,0,0,0,0
1410,0,0,0,0,0,0,0,0,0,0
1420,0,0,0,0,0,0,0,0,0,1
1430,0,0,0,0,0,0,0,0,0,0
1440,0,0,0,1,0,0,0,0,0,0
1450,0,0,0,0,0,0,0,0,0,0
1460,1,0,0,1,0,0,0,0,0,0
1470,1,0,0,0,0,0,0,0,0,0
1480,0,0,0,0,0,0,0,0,0,0
1490,0,0,0,0,1,0,1,0,0,0
1500,0,0,0,1,0,0,0,0,0,0
1510,0,0,0,0,0,0,0,0,0,0
1520,0,0,0,0,0,0,1,0,0,0
1530,0,0,0,0,0,1,1,1,0,0
1540,1,0,0,0,1,0,0,0,0,0
1550,0,0,0,0,0,1,0,0,0,0
1560,0,1,0,0,0,0,0,0,0,1
1570,0,0,1,0,0,1,0,0,0,0
1580,0,0,0,0,1,0,1,0,1,2
1590,0,0,0,0,0,0,0,0,0,0
1600,0,1,0,0,0,0,1,1,0,0
1610,0,0,0,0,2,0,0,1,0,0
1620,0,0,0,0,0,0,1,1,0,0
