SPECTRUM,DATE,TIME,LIVE,REAL
202306081303_Co_12MeV_x=-12_z=0-01-00.csv,23-06-08,12:42:58,1214.98,1218.66
RSV1,RSV2,RSV3,RSV4,RSV5,RSV6,RSV7,RSV8,RSV9,RSV10
1,2,3,4,5,6,7,8,9,10
PHA NO.,SEGMENT NO.,SIZE
01,00,4096

                                                               
CH,0,1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0
50,0,708,943,622,677,622,629,625,638,625
60,560,568,529,561,523,529,495,485,511,445
70,436,436,444,396,441,526,431,437,380,406
80,395,387,383,379,377,384,471,342,354,398
90,631,324,343,306,332,309,295,320,331,309
100,327,297,324,293,285,310,314,320,305,310
110,313,308,299,338,315,297,330,310,283,304
120,280,295,298,306,315,332,293,337,269,351
130,321,293,321,315,378,364,332,347,343,348
140,314,349,380,390,274,287,259,279,254,272
150,297,274,257,278,267,274,291,229,252,265
160,254,273,291,244,270,286,259,216,212,200
170,235,197,229,1954,924,183,159,165,186,162
180,173,157,157,186,127,115,95,115,101,86
190,91,77,92,96,86,85,206,2121,118,48
200,52,51,51,50,59,36,40,44,46,35
210,40,41,41,44,38,127,1500,79,17,12
220,18,20,21,21,23,25,21,13,14,14
230,8,24,19,22,20,34,24,10,18,18
240,15,10,11,7,10,11,16,13,10,12
250,16,7,7,11,16,17,28,11,8,11
260,19,67,8,14,9,5,4,5,5,11
270,7,11,10,15,10,14,11,19,13,7
280,11,10,3,4,8,14,7,8,10,9
290,6,7,3,6,9,4,10,10,7,6
300,6,11,9,3,11,11,6,7,6,7
310,11,17,11,10,8,5,12,5,3,4
320,5,7,11,10,10,6,21,15,4,4
330,6,9,4,6,11,6,7,5,9,7
340,9,10,10,8,13,5,6,7,12,14
350,2,7,12,10,7,6,6,5,3,3
360,2,6,5,6,4,3,1,4,3,1
370,4,7,2,2,2,2,1,3,4,1
380,0,2,5,2,1,0,7,93,9,1
390,0,1,0,0,0,0,0,0,1,1
400,0,0,2,1,1,0,1,2,0,0
410,1,0,0,0,2,2,2,0,1,2
420,0,0,0,0,1,1,1,1,0,1
430,0,0,1,0,0,2,1,0,0,0
440,0,0,0,0,0,1,0,3,0,2
450,1,1,0,0,1,2,0,0,3,0
460,2,0,2,0,0,1,1,3,1,1
470,1,1,0,2,0,0,1,0,0,0
480,0,0,0,0,1,1,0,3,0,0
490,0,1,1,2,0,1,2,0,2,0
500,1,1,0,2,0,0,0,0,2,1
510,0,1,1,0,0,2,2,0,4,1
520,0,1,0,2,0,0,1,2,0,0
530,1,2,0,2,1,3,0,0,2,1
540,1,2,1,0,0,2,0,0,1,0
550,3,0,2,1,1,2,1,1,2,0
560,1,1,0,1,0,1,1,0,6,3
570,0,2,1,1,0,0,2,0,0,0
580,2,1,0,2,0,2,1,0,0,1
590,0,1,2,0,0,0,0,1,1,0
600,1,1,1,0,2,1,2,2,0,1
610,1,0,1,0,1,0,0,1,0,1
620,3,1,1,1,3,0,2,1,1,2
630,1,2,0,1,3,1,2,2,0,3
640,1,3,1,0,3,2,3,0,1,2
650,1,2,1,1,1,4,1,4,0,1
660,3,1,2,1,2,3,4,1,2,1
670,2,3,0,4,4,2,2,0,2,2
680,2,2,2,2,3,5,3,3,2,2
690,0,2,1,5,1,5,5,3,1,1
700,1,1,5,3,1,1,1,2,0,1
710,3,4,4,5,3,3,1,4,3,3
720,3,2,1,0,2,2,2,3,2,0
730,2,2,4,1,0,8,5,3,4,2
740,2,3,5,2,1,3,2,3,3,4
750,5,2,4,2,1,4,2,8,0,5
760,5,6,3,6,3,4,3,6,6,2
770,6,5,3,5,5,6,5,5,5,3
780,4,6,7,5,5,8,7,5,4,3
790,5,6,7,4,2,5,5,3,2,9
800,5,8,5,7,8,6,9,7,1,3
810,11,4,3,5,8,8,1,5,6,8
820,10,5,6,8,4,10,3,10,7,4
830,5,7,7,3,6,4,3,6,8,4
840,5,9,9,8,4,4,5,3,4,5
850,6,2,8,7,7,5,4,5,5,4
860,8,5,7,3,6,8,10,8,5,5
870,9,5,12,9,4,10,6,5,6,10
880,6,12,7,6,4,6,8,7,6,10
890,3,7,9,6,6,11,2,13,12,6
900,16,6,9,10,5,10,3,16,10,10
910,6,10,7,9,6,12,7,9,12,7
920,9,7,10,4,11,11,13,3,5,11
930,8,13,8,11,8,10,14,10,10,11
940,9,8,9,9,9,7,7,5,12,8
950,7,5,15,6,10,7,6,8,8,10
960,10,16,12,14,6,14,8,11,8,11
970,10,10,11,6,13,14,9,14,11,12
980,10,4,11,12,12,5,7,9,11,15
990,8,17,10,13,11,15,14,12,9,9
1000,3,8,10,10,7,12,8,9,7,7
1010,11,7,11,11,16,9,6,11,15,10
1020,12,10,9,10,9,7,16,11,4,10
1030,13,13,12,7,18,13,8,12,13,10
1040,13,9,13,9,17,8,11,11,12,6
1050,13,10,16,7,9,4,7,5,9,6
1060,10,10,8,8,11,12,16,14,13,11
1070,9,10,10,12,13,10,12,11,8,12
1080,10,12,12,19,7,14,9,13,11,14
1090,10,10,13,9,9,15,10,17,8,6
1100,13,10,14,12,8,9,20,12,12,12
1110,10,12,11,16,15,9,14,7,10,10
1120,17,11,9,15,8,9,9,11,18,6
1130,10,7,13,14,12,13,9,10,13,12
1140,9,14,14,18,20,15,11,12,15,10
1150,16,11,10,19,8,9,11,10,12,13
1160,15,4,9,10,9,9,11,12,9,15
1170,8,9,11,6,12,15,11,13,13,14
1180,18,20,11,13,13,8,13,8,11,16
1190,7,15,19,10,16,10,10,16,11,13
1200,10,13,11,11,15,14,14,14,12,12
1210,18,11,9,13,14,15,10,6,14,6
1220,16,19,15,14,14,13,9,10,9,14
1230,15,18,12,10,13,14,14,13,15,18
1240,19,14,19,9,11,8,10,12,10,12
1250,15,17,19,19,12,9,15,12,13,16
1260,14,12,9,12,12,15,15,16,18,14
1270,14,13,20,9,10,13,12,12,10,12
1280,16,19,16,10,14,15,14,12,12,14
1290,16,10,17,10,17,15,14,11,16,13
1300,15,12,16,9,12,8,16,16,14,13
1310,15,13,14,13,11,10,17,14,18,9
1320,13,10,11,17,17,11,13,14,11,13
1330,14,13,18,17,10,9,11,11,14,20
1340,17,16,11,13,13,12,9,7,12,13
1350,10,19,12,14,16,16,14,11,9,18
1360,12,11,10,9,14,13,14,14,8,13
1370,20,14,12,15,18,13,20,16,10,13
1380,14,10,18,19,17,16,13,16,11,19
1390,10,18,16,16,13,9,23,14,12,7
1400,14,25,12,24,12,15,14,20,18,20
1410,18,13,17,21,18,15,19,15,16,16
1420,18,12,14,12,20,27,19,24,23,15
1430,25,11,10,20,12,13,15,14,17,11
1440,12,17,18,9,11,12,12,10,18,9
1450,12,12,15,17,17,11,18,19,20,15
1460,10,15,19,11,12,25,16,18,14,16
1470,15,16,13,22,14,21,14,25,17,23
1480,20,14,25,15,18,19,23,19,14,18
1490,19,21,20,13,10,15,12,11,16,23
1500,15,23,28,12,19,22,16,16,17,17
1510,20,18,19,17,22,20,17,20,20,16
1520,14,13,18,12,16,18,18,16,14,22
1530,17,21,14,14,18,14,33,13,13,14
1540,20,11,20,16,18,16,16,18,22,14
1550,24,14,28,19,24,17,18,28,15,24
1560,22,26,19,18,19,16,6,22,26,26
1570,17,16,24,16,20,22,22,27,26,22
1580,14,18,18,22,13,18,19,22,24,17
1590,17,17,20,22,27,27,22,24,21,22
1600,19,25,30,17,16,26,16,24,15,16
1610,21,17,26,22,18,17,28,15,21,26
1620,17,17,17,25,22,19,12,23,24,23
