SPECTRUM,DATE,TIME,LIVE,REAL
202306081519_newGe_Co_6MeV_x=-12_z=0-01-00.csv,23-06-08,15:13:47,303.04,303.82
RSV1,RSV2,RSV3,RSV4,RSV5,RSV6,RSV7,RSV8,RSV9,RSV10
1,2,3,4,5,6,7,8,9,10
PHA NO.,SEGMENT NO.,SIZE
01,00,4096

                                                               
CH,0,1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0
50,0,183,230,165,178,164,205,161,157,149
60,122,150,144,151,139,118,140,113,140,106
70,103,117,93,126,80,146,96,102,101,101
80,106,94,110,90,101,91,119,93,90,94
90,156,85,90,71,101,76,76,84,75,81
100,100,61,76,76,88,84,90,83,76,73
110,85,73,71,90,86,75,79,78,78,84
120,64,91,72,80,79,81,84,71,64,74
130,71,81,71,63,78,90,91,74,89,89
140,101,94,97,97,74,69,66,72,77,62
150,74,64,57,70,52,63,64,69,61,66
160,72,61,79,67,78,85,68,53,38,52
170,57,65,58,502,262,35,42,31,42,35
180,27,36,38,34,22,28,22,21,27,37
190,24,28,23,30,15,18,43,523,39,10
200,18,12,11,15,17,6,12,10,22,13
210,16,14,12,8,12,24,371,28,4,4
220,11,5,7,7,6,4,2,2,7,2
230,3,5,1,1,5,12,6,4,3,1
240,5,2,3,3,0,1,6,8,1,4
250,2,5,4,1,1,3,5,4,2,2
260,2,25,3,4,3,3,1,4,1,1
270,1,1,1,5,3,2,2,5,2,2
280,4,0,1,4,0,0,3,4,2,0
290,3,2,1,4,4,0,4,3,4,4
300,4,5,3,2,2,3,2,0,2,5
310,0,6,2,3,1,1,2,0,1,2
320,2,3,3,1,3,2,6,5,3,1
330,1,0,1,0,0,1,0,6,3,5
340,9,1,1,5,5,2,7,5,3,0
350,0,1,1,0,8,2,3,1,2,6
360,2,0,6,4,1,4,3,2,1,1
370,0,1,1,1,2,1,1,0,0,0
380,0,0,1,2,0,0,5,17,5,0
390,0,1,1,0,0,1,2,2,0,1
400,0,1,1,1,1,1,0,2,0,0
410,0,0,2,0,1,1,1,1,0,0
420,1,0,0,0,0,1,0,1,1,3
430,1,3,0,2,1,0,0,0,2,0
440,1,0,1,2,1,1,0,0,2,1
450,2,0,0,1,1,1,0,2,2,2
460,1,1,1,0,0,0,2,1,0,0
470,2,0,1,0,0,0,0,0,1,2
480,1,1,1,1,1,2,2,0,4,0
490,1,1,0,4,1,0,1,0,0,1
500,1,2,1,2,0,1,1,0,0,1
510,0,2,0,0,2,3,1,0,2,2
520,2,1,1,2,1,0,0,0,0,0
530,0,1,0,2,0,2,2,0,2,0
540,0,0,1,0,2,0,3,0,1,0
550,2,0,0,0,1,1,0,1,0,0
560,3,0,1,0,5,0,0,1,1,1
570,1,1,3,1,1,1,0,3,0,1
580,1,1,0,2,0,4,0,2,2,1
590,1,1,1,1,2,1,1,2,0,2
600,2,2,2,3,1,2,0,0,0,3
610,1,3,0,0,2,2,3,2,1,2
620,2,1,1,2,3,1,4,2,4,1
630,1,1,1,3,0,2,4,0,1,0
640,4,1,3,4,2,1,2,3,1,2
650,2,3,1,0,2,1,0,7,3,2
660,3,1,1,2,2,3,3,1,1,2
670,0,2,3,3,2,1,2,2,2,2
680,4,1,3,1,1,4,2,3,0,5
690,3,0,0,2,2,2,0,3,3,1
700,3,3,1,1,2,2,2,5,3,1
710,5,2,5,2,3,2,2,5,1,2
720,1,4,5,2,3,1,1,0,1,5
730,8,3,4,4,1,5,5,4,6,4
740,5,3,4,2,2,1,4,5,3,2
750,7,3,2,6,4,0,3,4,5,5
760,5,2,2,2,4,2,4,3,5,3
770,2,4,0,3,2,1,1,1,3,3
780,8,3,4,3,4,4,4,6,7,2
790,8,2,8,3,5,7,5,8,1,3
800,7,4,4,4,1,11,7,3,3,2
810,4,4,9,5,5,8,2,10,6,10
820,6,5,4,4,6,5,6,7,1,3
830,8,4,6,3,5,3,4,0,8,1
840,8,3,7,6,8,6,12,5,8,11
850,9,13,12,10,10,11,13,8,6,6
860,15,9,10,6,9,13,8,8,16,7
870,7,8,6,7,8,13,9,7,21,16
880,9,11,20,22,16,10,16,12,12,15
890,22,16,7,13,23,14,22,21,13,22
900,24,17,27,23,12,15,18,25,18,18
910,19,25,22,21,17,25,22,12,21,24
920,28,21,30,26,39,29,53,56,46,71
930,93,113,144,159,208,202,177,135,62,21
940,6,1,0,0,1,0,0,0,0,1
950,2,0,1,2,0,0,0,0,0,0
960,0,0,0,1,0,0,0,1,0,0
970,0,0,1,1,0,1,0,0,0,1
980,0,0,1,0,0,0,0,0,0,0
990,1,0,0,0,0,0,0,0,0,0
1000,1,0,0,0,0,0,0,0,0,0
1010,0,0,0,0,0,0,0,0,0,0
1020,0,0,0,0,0,0,0,0,0,0
1030,0,0,0,0,0,0,0,0,0,0
1040,0,0,0,0,0,0,0,0,0,0
1050,0,0,0,0,0,0,0,0,0,0
1060,0,0,0,0,0,0,0,0,0,0
1070,1,0,0,0,0,0,0,0,0,0
1080,0,0,0,0,0,0,0,0,0,0
1090,0,0,0,0,0,0,0,0,0,0
1100,0,0,0,0,0,0,0,0,0,0
1110,0,0,0,0,0,0,0,0,0,0
1120,0,0,0,0,0,0,0,0,0,0
1130,0,0,0,0,0,0,0,0,0,0
1140,0,0,0,0,0,0,0,0,0,1
1150,0,0,0,0,0,0,0,0,0,0
1160,0,0,0,0,0,0,0,0,0,0
1170,0,0,0,0,0,0,0,0,0,0
1180,0,0,0,0,0,0,0,2,0,0
1190,0,0,0,0,0,0,0,0,0,0
1200,0,0,0,0,0,0,0,1,0,0
1210,0,0,0,0,0,0,0,0,1,0
1220,0,0,0,0,0,0,0,0,0,0
1230,0,0,0,0,0,0,0,0,0,0
1240,0,0,0,0,0,0,0,0,0,0
1250,0,0,0,0,0,0,0,0,0,0
1260,0,0,0,0,0,0,0,0,0,0
1270,0,0,0,0,0,0,0,0,0,0
1280,0,0,0,0,0,2,0,0,0,0
1290,0,0,0,0,0,1,0,0,0,0
1300,0,0,0,0,0,0,0,0,0,0
1310,0,0,0,0,0,0,0,0,0,1
1320,0,0,0,0,0,0,1,0,0,0
1330,0,0,0,0,0,0,0,0,0,0
1340,0,1,0,0,0,0,0,0,0,0
1350,0,0,0,0,0,1,0,0,0,0
1360,0,0,0,0,0,0,0,1,0,0
1370,0,0,0,0,0,0,0,0,0,0
1380,0,0,0,0,0,0,0,0,0,0
1390,0,0,1,0,0,0,0,0,0,0
1400,0,0,0,0,0,0,0,0,0,0
1410,0,1,1,0,0,0,0,0,2,0
1420,0,0,0,0,0,0,0,0,0,0
1430,0,0,0,0,0,0,0,0,1,0
1440,0,0,0,0,0,0,0,0,0,0
1450,0,1,1,0,0,0,0,1,0,0
1460,0,0,0,0,0,0,0,0,0,0
1470,0,0,1,0,0,0,0,0,0,0
1480,0,0,0,0,1,0,1,0,0,0
1490,1,0,0,0,0,0,0,0,0,0
1500,0,0,0,1,0,0,0,0,0,0
1510,0,1,2,1,0,0,0,0,0,0
1520,0,0,0,0,0,1,2,0,1,0
1530,0,1,0,1,0,1,0,0,0,0
1540,0,0,0,1,1,0,1,0,0,0
1550,1,0,0,0,0,0,0,0,0,0
1560,0,0,0,0,0,0,0,0,0,0
1570,0,1,0,0,0,0,0,0,0,1
1580,0,0,0,0,0,0,0,0,0,0
1590,0,0,0,0,0,0,0,0,0,0
1600,0,1,1,0,0,0,0,0,0,0
1610,0,1,0,0,0,0,0,0,0,0
1620,0,2,1,0,0,0,0,0,0,0
