SPECTRUM,DATE,TIME,LIVE,REAL
202306081801_newGe_8MeV_Co_x=-12_z=0-01-00.csv,23-06-08,17:54:28,244.14,244.9
RSV1,RSV2,RSV3,RSV4,RSV5,RSV6,RSV7,RSV8,RSV9,RSV10
1,2,3,4,5,6,7,8,9,10
PHA NO.,SEGMENT NO.,SIZE
01,00,4096

                                                               
CH,0,1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0
50,0,141,194,136,145,119,119,136,112,101
60,101,109,124,102,114,111,92,107,98,84
70,99,101,82,89,80,122,75,74,76,76
80,94,84,80,75,77,87,101,85,68,81
90,172,56,68,77,59,63,56,69,71,56
100,63,69,64,66,61,67,60,62,51,65
110,60,61,72,70,40,45,63,70,61,51
120,68,53,62,74,55,60,60,61,59,70
130,58,58,77,75,78,83,63,72,74,64
140,70,55,58,77,70,51,51,68,56,52
150,50,46,64,63,39,53,52,51,66,54
160,66,54,48,48,50,69,54,48,47,37
170,46,39,46,401,230,23,41,45,29,30
180,32,28,25,32,29,28,23,23,13,26
190,18,17,12,18,15,27,32,420,28,6
200,8,13,10,12,12,19,13,9,18,9
210,14,12,8,8,12,22,308,26,3,0
220,3,8,2,5,3,4,2,1,6,4
230,1,2,3,1,3,6,6,0,2,4
240,3,2,3,5,6,3,3,0,0,4
250,1,0,3,2,3,1,4,4,5,1
260,0,15,3,2,2,3,4,1,1,1
270,3,2,2,6,5,0,3,1,3,1
280,1,1,1,3,3,0,2,4,0,0
290,2,3,1,1,5,2,3,1,2,3
300,0,2,1,2,3,4,2,3,1,0
310,2,4,2,5,1,1,1,1,2,2
320,1,2,6,2,2,1,6,2,0,1
330,1,2,5,1,0,1,4,1,4,2
340,1,1,1,2,1,0,2,2,0,2
350,1,1,1,1,0,0,1,0,1,0
360,0,0,0,3,2,3,1,2,1,1
370,2,0,0,0,0,1,2,0,1,0
380,0,0,0,0,3,0,0,25,3,2
390,1,3,0,0,0,1,2,0,1,0
400,1,0,0,1,0,1,1,0,0,0
410,1,0,0,0,0,0,0,1,1,0
420,0,1,2,0,1,1,0,0,0,0
430,0,0,0,0,1,0,0,0,1,0
440,0,0,1,0,1,1,0,0,0,0
450,1,0,2,0,0,1,0,1,0,0
460,1,0,1,1,1,0,0,0,0,0
470,1,1,0,0,1,0,2,0,0,1
480,0,0,0,0,0,2,0,0,0,0
490,0,0,0,0,2,0,2,0,0,0
500,0,0,1,0,0,1,0,0,0,0
510,1,0,0,2,1,1,1,0,0,0
520,1,0,0,0,1,0,1,0,0,1
530,0,2,0,0,0,0,0,0,1,1
540,0,0,0,0,1,1,0,0,0,0
550,0,0,0,1,2,0,0,2,1,1
560,0,2,1,1,1,0,1,1,1,1
570,1,0,0,1,3,2,0,1,1,1
580,1,0,1,0,0,1,1,0,1,0
590,1,1,0,1,0,0,0,0,2,2
600,0,2,2,0,0,0,3,0,1,1
610,2,1,2,0,2,1,2,0,0,1
620,2,2,1,0,1,1,0,1,0,1
630,0,1,2,2,1,0,1,3,0,0
640,0,0,0,0,2,0,1,0,1,1
650,1,3,0,0,2,2,1,0,1,2
660,0,4,0,1,2,1,2,1,0,1
670,0,0,0,2,1,0,1,1,0,2
680,0,0,2,0,1,3,1,1,0,0
690,1,0,2,3,2,1,3,1,2,1
700,0,0,1,1,1,1,0,0,0,2
710,3,0,0,2,0,2,0,0,0,0
720,1,1,3,0,2,1,1,2,2,1
730,0,1,2,0,2,1,2,1,1,1
740,1,2,0,1,2,3,0,0,1,1
750,1,3,0,1,3,1,1,2,3,4
760,1,0,2,2,2,1,1,3,3,1
770,1,0,0,0,0,3,3,4,0,0
780,2,1,1,1,0,2,3,0,1,2
790,2,1,3,2,1,4,3,4,0,4
800,6,2,0,2,3,2,2,2,1,2
810,2,2,2,1,2,1,2,2,1,1
820,3,1,2,0,1,2,4,2,2,1
830,1,1,4,3,2,1,4,0,1,1
840,2,2,1,3,1,3,2,1,2,0
850,3,1,4,5,4,2,2,0,3,3
860,3,5,3,2,2,5,3,0,3,1
870,3,2,1,0,1,2,4,1,3,1
880,7,2,2,1,3,5,1,3,1,2
890,0,4,2,3,4,4,4,3,2,3
900,1,3,3,2,3,3,4,4,4,2
910,5,1,3,5,0,3,3,3,7,5
920,4,3,2,5,9,4,2,4,2,3
930,4,1,2,2,4,3,6,1,4,0
940,6,2,1,5,1,2,2,5,4,4
950,3,6,2,3,2,5,4,3,4,5
960,4,4,2,4,3,4,6,6,5,4
970,4,3,4,3,7,6,4,3,6,4
980,3,2,2,3,3,7,5,7,4,1
990,6,6,5,2,5,4,3,3,2,9
1000,2,7,4,4,6,5,5,2,6,6
1010,3,7,9,5,6,6,3,6,5,7
1020,5,6,4,4,5,2,4,3,2,10
1030,5,7,7,2,2,5,3,6,9,1
1040,8,7,3,9,7,7,3,4,6,4
1050,11,7,7,3,12,4,6,6,5,9
1060,7,13,6,7,10,9,4,7,7,7
1070,7,4,13,2,4,8,7,10,5,6
1080,5,10,9,5,5,6,12,6,5,9
1090,8,9,10,11,12,12,7,4,7,10
1100,7,8,11,9,9,11,13,3,6,9
1110,14,13,6,7,13,13,13,8,12,10
1120,9,8,13,23,11,13,10,15,6,9
1130,8,9,15,13,11,11,20,16,16,26
1140,10,19,10,11,7,17,25,17,12,17
1150,15,21,16,18,13,19,9,24,21,19
1160,20,24,21,15,20,17,24,23,19,20
1170,24,25,21,18,18,22,18,23,22,30
1180,31,17,24,31,26,35,26,25,20,31
1190,23,28,20,28,29,30,30,24,28,38
1200,24,23,24,26,23,19,36,41,46,36
1210,59,61,68,80,120,111,169,160,230,215
1220,116,82,36,11,1,1,0,0,0,0
1230,0,0,0,0,0,1,0,0,0,0
1240,0,0,0,0,0,0,0,0,0,1
1250,0,0,0,0,0,0,0,0,0,0
1260,0,0,0,0,0,0,0,0,0,2
1270,0,0,0,0,0,0,0,0,0,0
1280,0,0,0,0,0,0,0,0,0,0
1290,0,0,0,0,1,0,0,0,0,0
1300,0,0,0,0,0,0,0,0,0,0
1310,0,0,0,0,0,0,0,0,0,0
1320,0,0,0,0,0,0,0,0,0,0
1330,0,0,0,0,0,0,0,0,0,0
1340,0,0,0,0,0,0,0,0,1,0
1350,0,1,0,0,0,0,0,0,0,0
1360,0,0,0,0,0,0,1,0,0,0
1370,0,0,0,0,0,0,0,0,0,0
1380,0,0,0,0,0,0,0,0,0,0
1390,0,0,0,0,0,0,0,0,0,0
1400,0,0,0,0,0,0,0,0,0,0
1410,0,0,0,0,0,0,0,0,0,0
1420,0,0,0,0,0,0,0,0,0,0
1430,0,0,0,1,0,0,0,0,0,0
1440,0,1,0,0,0,0,0,1,0,1
1450,0,0,0,0,0,0,0,0,0,0
1460,0,0,1,0,0,0,1,0,0,0
1470,0,0,1,0,0,0,0,0,1,0
1480,0,0,1,0,0,0,0,0,0,0
1490,0,0,0,0,0,0,0,0,0,0
1500,0,0,0,0,0,0,0,1,0,0
1510,0,1,0,0,0,0,0,0,0,0
1520,0,0,0,0,0,0,0,0,0,0
1530,0,0,0,1,0,0,0,0,0,0
1540,1,0,1,0,0,0,1,0,0,0
1550,0,0,0,0,0,0,0,0,0,0
1560,0,0,0,0,0,0,1,1,1,0
1570,1,0,0,0,0,0,0,0,0,0
1580,0,0,0,0,0,0,0,0,0,0
1590,0,0,0,0,0,0,1,0,1,0
1600,0,0,0,0,0,0,1,0,0,0
1610,1,0,0,0,0,0,0,0,0,0
1620,1,0,1,0,0,1,0,1,1,1
