SPECTRUM,DATE,TIME,LIVE,REAL
202306090138_newGe_newMCA_15MeV_Co-01-00.csv,23-06-09,00:45:59,3121.76,3129.96
RSV1,RSV2,RSV3,RSV4,RSV5,RSV6,RSV7,RSV8,RSV9,RSV10
1,2,3,4,5,6,7,8,9,10
PHA NO.,SEGMENT NO.,SIZE
01,00,4096

                                                               
CH,0,1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0
50,0,1774,2565,1760,1774,1632,1560,1680,1551,1517
60,1530,1438,1383,1319,1370,1356,1305,1235,1307,1166
70,1211,1120,1191,1084,1106,1304,1079,1068,1029,1029
80,992,998,919,1017,967,1017,1313,990,929,1084
90,1729,850,846,826,826,853,805,804,866,832
100,812,804,748,764,841,712,804,839,825,761
110,791,739,756,832,844,713,835,848,768,834
120,731,773,753,789,774,756,763,830,748,801
130,814,817,832,812,954,1071,834,877,943,904
140,967,906,873,956,782,717,668,710,731,677
150,677,726,670,706,687,695,650,688,713,661
160,678,622,695,713,678,729,745,594,542,595
170,520,566,582,4500,3031,442,432,429,409,432
180,393,399,392,464,313,272,313,254,271,282
190,244,269,244,210,219,223,411,5633,392,127
200,138,108,114,121,173,93,118,126,136,101
210,108,113,113,97,116,262,3775,291,40,50
220,50,56,55,71,58,48,33,48,49,30
230,30,30,38,26,56,100,64,31,26,29
240,38,45,32,31,29,22,43,23,26,27
250,34,23,34,23,23,26,56,17,29,25
260,35,227,42,21,30,34,26,12,28,20
270,19,26,28,37,31,23,20,21,18,29
280,24,25,29,25,17,27,16,27,25,18
290,20,21,18,21,16,19,27,23,23,26
300,8,17,15,15,18,13,19,17,27,16
310,22,50,30,21,33,13,24,25,14,16
320,15,25,20,15,19,13,66,42,19,21
330,17,15,18,19,16,25,23,20,19,19
340,29,25,18,15,20,22,19,20,21,25
350,23,17,26,18,19,12,4,12,9,14
360,13,9,21,20,8,11,12,8,11,8
370,10,24,8,3,2,4,2,5,5,2
380,3,4,5,4,5,5,9,271,49,0
390,1,1,0,1,1,2,2,0,1,1
400,0,0,1,0,1,1,0,2,0,1
410,0,0,1,2,1,1,1,0,0,0
420,2,0,1,3,0,0,0,0,1,0
430,1,0,1,1,0,1,1,2,0,0
440,0,3,0,0,0,2,2,1,1,0
450,1,0,1,0,1,3,1,2,2,1
460,0,0,1,2,1,1,2,1,1,1
470,4,0,2,1,1,2,1,1,1,3
480,2,1,0,1,2,0,0,0,0,0
490,1,1,2,0,0,0,1,2,3,0
500,2,0,1,1,1,2,3,1,0,0
510,1,2,0,3,0,2,3,1,2,1
520,2,2,0,0,1,0,1,1,2,2
530,1,1,0,1,1,0,3,0,1,1
540,0,0,1,2,2,1,3,1,0,0
550,1,1,3,2,1,1,2,2,0,2
560,0,2,2,0,0,1,0,0,1,2
570,2,0,1,1,1,1,1,1,0,0
580,1,0,1,0,3,0,1,1,1,3
590,0,1,0,0,0,0,1,0,0,1
600,2,1,0,2,2,0,1,2,0,0
610,1,1,2,0,3,0,0,3,0,1
620,2,2,1,3,1,0,4,0,1,3
630,1,2,0,1,1,3,2,0,2,1
640,1,0,1,3,1,2,2,3,2,3
650,0,3,1,1,2,3,1,1,1,3
660,1,3,3,2,0,2,0,2,0,1
670,1,1,4,1,0,2,1,1,3,1
680,2,2,5,3,1,2,4,2,2,3
690,3,2,7,3,3,1,3,0,1,2
700,2,2,1,0,3,1,5,8,2,4
710,4,2,4,4,5,3,5,2,4,6
720,4,7,3,2,4,3,5,7,4,3
730,0,4,3,1,6,5,1,6,6,6
740,2,6,3,3,4,4,5,6,6,2
750,4,6,4,1,5,4,7,5,4,3
760,4,3,3,1,6,8,8,8,6,11
770,6,8,5,3,10,8,4,5,4,4
780,10,5,8,6,4,10,4,6,3,11
790,3,16,8,8,4,9,6,6,5,3
800,9,9,5,1,6,10,4,9,12,6
810,2,8,6,6,14,5,9,9,7,7
820,10,9,10,8,14,9,8,9,10,12
830,9,7,12,7,12,12,13,7,3,8
840,6,6,12,8,12,4,5,14,8,6
850,12,10,8,4,11,13,11,15,8,13
860,6,7,10,11,7,4,8,17,12,10
870,13,8,16,15,12,12,13,9,11,14
880,7,15,13,8,11,16,17,14,6,9
890,13,12,12,10,8,7,11,15,10,11
900,12,9,8,10,11,9,13,10,8,13
910,11,10,17,11,15,8,12,9,6,13
920,9,13,7,11,11,10,11,13,17,14
930,7,15,13,9,13,17,9,11,10,10
940,10,10,12,12,14,14,15,15,13,16
950,16,14,15,13,17,13,13,8,10,17
960,19,16,14,12,13,16,16,13,16,11
970,8,15,10,18,15,6,5,13,11,9
980,22,17,19,16,12,12,13,13,11,14
990,14,20,26,16,12,13,15,15,14,6
1000,16,14,16,18,14,12,11,14,11,15
1010,16,14,15,21,13,15,16,17,22,16
1020,10,20,12,8,14,14,16,13,12,22
1030,16,17,17,19,11,14,12,15,14,12
1040,11,18,22,21,10,16,14,12,14,14
1050,14,11,14,3,11,8,14,9,17,15
1060,22,18,15,22,17,10,13,20,16,15
1070,14,16,12,18,21,11,15,16,12,16
1080,16,9,9,14,10,9,22,19,10,21
1090,16,12,14,15,18,10,12,12,16,11
1100,14,11,7,17,16,16,13,14,13,20
1110,18,12,17,13,20,14,12,12,16,15
1120,24,11,17,17,11,12,15,8,22,23
1130,15,14,10,17,10,15,15,20,15,17
1140,16,12,19,17,13,12,18,18,13,12
1150,10,18,13,16,17,8,9,11,11,17
1160,10,16,10,9,17,14,19,13,22,11
1170,10,14,17,15,10,17,17,16,13,12
1180,16,12,19,20,10,22,18,12,14,7
1190,19,14,22,9,18,19,13,10,15,12
1200,20,19,27,18,20,20,16,14,18,13
1210,19,23,13,14,18,18,16,19,18,13
1220,11,21,10,15,19,11,14,19,19,15
1230,21,18,14,19,18,12,15,19,21,18
1240,11,19,21,24,11,17,17,14,16,10
1250,17,16,15,13,16,14,18,17,21,17
1260,18,21,18,14,15,13,13,17,17,19
1270,20,13,14,14,17,16,11,15,17,21
1280,17,19,18,19,17,10,15,16,12,11
1290,13,12,19,14,19,14,16,19,11,20
1300,22,11,19,20,20,15,17,19,14,19
1310,20,16,17,15,13,14,18,19,22,16
1320,19,19,19,16,18,14,12,23,9,17
1330,15,15,20,25,18,23,19,18,20,20
1340,20,14,22,19,17,11,15,20,17,13
1350,15,14,14,25,15,23,12,13,15,14
1360,7,18,24,20,20,18,18,20,13,15
1370,22,15,15,22,19,32,18,12,22,10
1380,17,13,18,13,13,17,16,21,19,30
1390,13,16,16,26,18,15,18,16,15,13
1400,13,18,13,18,21,16,17,19,14,12
1410,15,22,13,15,20,16,15,28,13,18
1420,11,24,19,23,17,13,18,22,15,18
1430,21,19,23,22,12,29,21,17,20,15
1440,21,16,25,20,15,15,28,18,20,13
1450,17,16,15,19,22,19,27,17,18,18
1460,19,18,12,17,21,23,20,23,16,22
1470,14,21,26,19,17,12,13,20,18,22
1480,22,22,19,26,15,22,21,20,23,26
1490,15,20,29,24,15,12,23,20,17,19
1500,15,14,19,29,8,18,15,20,23,17
1510,18,16,23,16,20,26,18,22,21,18
1520,18,12,16,17,16,18,24,17,21,15
1530,21,19,16,22,21,14,12,12,15,24
1540,25,14,22,26,18,15,19,22,18,20
1550,20,19,15,30,20,15,26,20,19,11
1560,16,20,19,18,28,18,20,15,13,24
1570,19,22,16,10,25,33,23,19,12,17
1580,31,24,21,21,16,26,22,27,28,22
1590,12,19,25,28,17,24,19,23,27,19
1600,25,18,18,15,32,20,19,29,24,29
