SPECTRUM,DATE,TIME,LIVE,REAL
202306101148_newGe_Co_x-12_z-12_12MeV-01-00.csv,23-06-10,11:39:53,483.52,485.08
RSV1,RSV2,RSV3,RSV4,RSV5,RSV6,RSV7,RSV8,RSV9,RSV10
1,2,3,4,5,6,7,8,9,10
PHA NO.,SEGMENT NO.,SIZE
01,00,4096

                                                               
CH,0,1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0
50,0,290,393,279,259,246,244,234,243,247
60,233,231,212,230,212,219,175,179,207,191
70,143,182,166,172,167,209,192,150,178,170
80,143,140,164,146,151,161,179,142,163,165
90,268,143,134,142,113,135,103,140,115,136
100,132,119,123,130,114,116,114,124,100,113
110,121,119,114,130,125,108,122,106,105,128
120,125,131,108,110,110,122,92,127,124,116
130,135,132,124,129,141,157,132,122,126,144
140,125,144,117,131,99,103,117,109,112,114
150,129,106,112,122,108,93,97,93,91,102
160,119,80,97,105,110,114,108,84,73,84
170,69,78,69,764,335,62,77,73,62,86
180,58,77,70,69,54,49,38,29,41,37
190,32,42,40,30,39,30,93,838,42,22
200,17,18,15,20,27,23,22,16,19,13
210,14,16,13,19,22,59,623,23,10,11
220,5,7,7,12,7,5,10,6,3,6
230,11,3,5,5,7,11,6,8,7,5
240,6,10,8,2,1,7,7,4,5,4
250,4,3,3,3,5,2,8,1,2,4
260,6,34,6,0,4,2,5,3,5,1
270,2,1,6,6,4,3,5,4,2,5
280,3,5,4,4,2,5,7,1,4,3
290,6,6,1,0,3,7,5,3,4,2
300,1,0,2,3,2,4,1,4,2,2
310,3,9,4,0,3,6,1,2,2,1
320,5,3,2,2,7,2,5,6,2,6
330,4,4,1,3,3,2,0,4,4,4
340,2,1,2,3,3,6,2,5,4,3
350,4,3,4,4,2,0,2,3,2,3
360,2,2,6,0,3,2,1,1,3,1
370,2,3,1,2,1,1,0,0,0,0
380,1,1,1,1,0,1,3,40,4,0
390,0,0,0,0,0,0,0,0,0,0
400,0,1,0,0,0,0,0,0,0,1
410,0,0,2,0,1,0,0,1,0,0
420,0,0,0,2,0,0,0,0,1,0
430,0,0,0,0,1,0,0,0,0,0
440,1,1,0,0,0,0,0,0,0,0
450,0,0,0,1,0,0,0,0,0,0
460,0,0,0,0,1,1,0,0,0,1
470,0,2,0,0,0,0,0,0,1,2
480,0,0,1,0,1,0,1,1,0,1
490,0,0,0,0,0,0,0,0,0,0
500,0,1,1,0,1,0,0,0,0,1
510,0,1,0,0,3,0,1,0,0,2
520,1,0,1,0,0,0,0,0,0,0
530,0,0,1,0,0,0,0,1,0,0
540,0,0,3,0,0,0,0,0,0,0
550,0,1,0,1,0,1,1,0,0,1
560,1,0,0,0,1,0,0,1,0,1
570,1,0,0,0,0,2,0,0,0,0
580,0,1,1,0,0,0,1,0,0,0
590,0,0,0,0,0,0,0,1,1,1
600,1,0,1,0,0,1,0,0,0,0
610,0,0,0,0,0,0,0,0,1,0
620,0,0,0,0,0,0,1,0,2,0
630,0,0,0,0,2,0,2,0,1,0
640,1,0,1,0,0,1,0,0,2,0
650,0,2,0,0,0,0,2,0,0,1
660,2,0,0,0,3,0,2,0,1,0
670,0,0,1,0,0,0,0,0,0,0
680,0,2,1,0,1,0,0,0,1,0
690,0,4,1,0,0,1,1,1,0,0
700,0,1,0,0,0,1,0,0,1,2
710,1,1,0,1,0,0,2,0,2,1
720,1,0,1,0,1,1,0,2,1,0
730,0,1,3,0,1,0,0,1,0,0
740,1,0,0,1,0,1,1,0,3,0
750,0,1,0,2,0,0,1,0,0,0
760,1,1,0,2,0,0,1,1,3,0
770,0,1,1,4,1,1,0,0,1,1
780,1,0,0,0,1,1,1,2,1,1
790,0,0,1,1,0,1,0,0,0,3
800,1,0,1,1,0,1,2,4,1,1
810,0,1,2,0,2,3,0,0,0,0
820,2,0,1,2,4,1,1,1,0,1
830,1,2,2,2,1,0,0,3,0,2
840,0,0,0,2,2,1,1,0,0,2
850,3,2,1,1,1,1,1,0,1,1
860,0,2,1,0,1,2,1,2,1,0
870,1,1,0,2,3,2,0,3,2,1
880,0,2,1,2,3,0,2,2,1,1
890,1,2,0,3,1,0,0,0,0,0
900,1,2,2,1,0,1,2,2,1,1
910,2,0,1,3,1,1,0,2,0,2
920,0,3,3,2,1,2,4,2,0,4
930,2,0,0,0,1,4,3,0,1,1
940,1,1,0,2,0,0,0,2,1,2
950,2,2,1,1,2,3,1,1,2,0
960,1,1,1,2,1,1,3,3,1,0
970,2,1,1,3,4,1,2,3,2,3
980,4,2,4,1,0,4,4,2,3,2
990,4,1,2,0,3,0,2,2,5,1
1000,1,0,1,3,3,3,4,1,1,5
1010,2,1,2,1,1,0,2,1,0,0
1020,2,2,1,0,2,1,1,2,1,3
1030,1,5,3,2,0,2,8,3,1,4
1040,1,3,2,4,2,1,4,1,0,2
1050,3,7,0,3,2,1,1,5,4,5
1060,1,1,3,2,1,2,2,1,5,2
1070,3,5,5,3,7,3,7,1,3,2
1080,3,1,3,2,1,0,0,2,1,1
1090,0,2,2,3,1,2,1,3,1,1
1100,5,1,3,6,4,1,2,2,3,3
1110,0,4,2,4,1,7,5,2,1,2
1120,4,4,2,3,1,5,5,4,4,3
1130,1,1,2,3,4,6,2,6,2,3
1140,2,3,2,4,2,1,1,3,6,6
1150,5,3,8,2,3,3,5,1,5,5
1160,0,3,2,2,2,1,4,3,1,3
1170,6,1,4,3,1,3,5,3,7,4
1180,2,1,7,1,3,0,2,3,1,4
1190,3,3,5,2,2,2,5,1,7,4
1200,4,0,6,0,2,4,2,1,3,2
1210,5,1,5,3,3,3,1,2,2,1
1220,2,8,3,5,4,3,5,4,6,4
1230,5,2,4,3,3,4,4,6,3,6
1240,4,2,5,5,2,7,5,1,2,5
1250,3,4,9,5,4,4,6,8,3,2
1260,3,4,5,2,5,3,4,1,5,4
1270,7,7,3,7,6,6,4,2,8,4
1280,2,4,5,4,4,8,5,8,4,2
1290,5,6,8,4,4,7,4,3,1,1
1300,7,4,2,6,3,3,5,2,5,7
1310,3,5,2,5,3,3,4,3,4,4
1320,4,1,4,3,3,5,7,1,5,8
1330,8,6,9,2,4,4,2,6,6,2
1340,2,3,7,5,5,3,3,4,5,4
1350,3,4,7,8,4,6,4,4,2,3
1360,10,5,2,6,10,6,2,5,7,5
1370,5,3,7,7,5,5,7,6,6,6
1380,3,9,3,6,7,8,8,8,2,5
1390,1,4,3,8,4,9,5,5,5,8
1400,3,5,4,6,6,6,5,7,7,7
1410,7,5,4,2,3,6,8,9,2,9
1420,7,7,5,8,2,9,6,3,7,5
1430,5,9,7,12,4,3,8,3,13,10
1440,6,5,8,7,4,1,9,10,3,5
1450,6,8,3,5,9,7,7,0,4,4
1460,10,9,4,8,8,4,4,6,9,10
1470,9,2,13,9,4,11,8,11,9,7
1480,6,7,8,4,5,4,3,9,11,9
1490,12,6,8,3,8,8,7,7,7,6
1500,12,8,6,9,6,11,3,6,8,8
1510,6,2,8,8,7,9,6,6,5,6
1520,14,9,4,6,4,6,9,12,14,5
1530,12,5,5,4,10,5,8,3,7,3
1540,6,8,8,13,5,3,13,6,11,10
1550,7,8,3,7,13,13,12,8,9,12
1560,4,8,4,10,8,10,7,6,7,5
1570,6,6,10,10,9,6,10,14,10,6
1580,7,13,10,3,5,6,4,10,9,10
1590,9,6,7,9,8,11,10,7,11,11
1600,12,8,12,3,13,6,6,12,11,11
1610,6,11,12,19,7,10,11,6,13,4
1620,15,5,14,19,20,9,11,8,12,8
