SPECTRUM,DATE,TIME,LIVE,REAL
202306101505_newGe_Co_x=-12_z=-12_6MeV-01-00.csv,23-06-10,15:01:10,239.78,240.46
RSV1,RSV2,RSV3,RSV4,RSV5,RSV6,RSV7,RSV8,RSV9,RSV10
1,2,3,4,5,6,7,8,9,10
PHA NO.,SEGMENT NO.,SIZE
01,00,4096

                                                               
CH,0,1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0
50,0,139,209,136,143,127,130,136,109,127
60,126,109,100,89,107,108,111,114,87,86
70,93,91,93,77,80,77,77,74,81,83
80,64,86,49,90,73,75,101,81,60,85
90,117,54,61,56,73,50,58,65,67,74
100,52,50,66,59,60,72,54,61,59,57
110,64,52,59,43,47,65,66,58,53,58
120,64,63,61,71,66,68,53,73,61,67
130,68,52,55,65,77,86,64,69,76,60
140,60,64,61,102,60,44,56,46,54,49
150,54,46,50,53,45,72,45,43,43,56
160,34,47,54,49,57,39,73,33,38,47
170,37,48,47,399,208,22,40,27,34,35
180,26,23,36,38,37,21,18,16,15,20
190,19,17,20,22,21,22,42,435,36,9
200,10,14,16,4,13,11,10,8,11,8
210,13,6,6,16,5,24,283,19,1,3
220,2,4,4,2,1,2,1,3,1,4
230,6,2,1,4,7,8,5,6,9,2
240,4,7,1,1,2,5,2,3,1,2
250,5,1,2,2,1,0,4,0,1,2
260,5,24,7,3,3,4,2,2,1,1
270,2,5,1,5,1,2,6,3,1,2
280,5,2,3,2,1,4,3,2,0,3
290,0,2,1,1,4,2,3,3,1,0
300,1,3,5,1,3,2,0,3,2,1
310,2,4,6,4,3,2,3,1,1,1
320,2,2,1,2,2,0,4,2,2,0
330,1,3,2,3,2,1,1,1,2,1
340,2,2,1,6,0,1,3,1,2,1
350,3,0,1,3,2,4,1,0,1,1
360,3,2,3,1,0,0,2,0,0,1
370,2,0,1,1,1,5,3,1,3,0
380,0,0,0,0,1,1,5,21,2,0
390,1,0,3,2,0,2,0,1,0,0
400,2,0,0,2,0,1,0,1,0,1
410,0,0,1,1,0,0,1,2,1,0
420,1,2,0,1,1,1,1,0,1,0
430,2,0,0,1,0,1,2,1,0,0
440,1,2,3,1,1,1,1,0,1,0
450,1,1,0,1,1,1,2,0,0,1
460,1,2,0,0,1,2,1,1,0,0
470,4,1,1,0,2,0,1,1,0,0
480,3,2,0,2,1,0,2,0,0,0
490,0,0,1,2,1,2,0,1,1,2
500,0,1,0,0,2,2,0,0,1,0
510,1,0,0,0,0,3,1,2,0,1
520,3,1,1,0,1,2,1,1,0,2
530,1,2,0,2,0,2,3,1,2,2
540,0,3,2,1,0,1,1,1,2,2
550,0,3,0,1,1,4,0,2,1,3
560,3,2,0,1,0,1,1,0,0,2
570,1,4,1,1,2,0,3,1,1,0
580,0,1,3,2,0,0,3,1,2,0
590,1,1,1,1,1,2,1,3,0,1
600,0,1,3,2,1,3,2,2,1,1
610,2,2,1,0,2,1,0,1,2,2
620,2,1,3,1,1,0,3,1,1,2
630,1,1,2,0,2,0,2,0,1,0
640,1,4,2,5,1,4,1,1,2,2
650,4,1,1,2,2,1,1,1,3,0
660,1,1,0,1,1,3,1,2,2,1
670,1,0,3,5,2,3,1,2,0,3
680,3,1,2,0,0,2,3,2,1,1
690,3,3,5,3,4,2,3,6,7,1
700,4,2,2,2,0,6,3,4,2,1
710,0,4,4,2,2,1,1,4,3,4
720,3,1,1,2,1,1,1,6,3,4
730,2,5,2,2,3,3,5,2,7,3
740,3,6,5,1,1,5,2,7,3,4
750,2,5,5,2,4,2,1,2,3,2
760,3,1,2,6,1,4,6,4,3,3
770,3,1,2,1,3,4,6,4,3,4
780,5,5,7,4,1,5,6,5,2,4
790,2,6,6,5,0,2,4,6,8,7
800,11,6,2,7,10,7,6,10,5,9
810,8,4,6,8,7,4,9,8,6,9
820,6,8,8,6,5,11,7,5,7,7
830,6,6,5,7,7,3,7,5,8,6
840,10,14,5,9,5,11,10,10,8,11
850,9,4,11,4,13,8,11,8,7,3
860,16,8,7,10,11,14,10,7,13,9
870,3,11,10,13,10,11,13,9,14,13
880,23,20,18,13,22,15,16,12,18,19
890,17,15,15,23,20,15,21,15,20,18
900,15,16,27,20,15,23,23,22,16,22
910,32,23,33,22,19,17,29,21,26,19
920,29,26,33,15,26,27,39,34,43,56
930,68,88,94,121,121,162,193,203,216,166
940,90,56,19,8,1,0,1,0,0,0
950,0,2,0,0,1,0,0,0,1,1
960,0,0,0,0,0,0,0,0,0,0
970,0,0,2,0,0,0,0,0,0,0
980,0,0,0,0,0,1,0,0,0,0
990,0,0,1,0,0,0,0,0,0,0
1000,0,0,0,0,0,0,0,0,0,0
1010,0,0,0,0,0,0,0,0,0,0
1020,1,0,0,0,0,0,0,0,1,0
1030,0,0,0,0,0,0,0,0,0,0
1040,0,0,0,0,0,0,0,0,0,0
1050,0,0,0,0,0,0,0,0,0,0
1060,0,0,0,0,0,1,0,0,0,0
1070,1,0,0,0,0,0,1,0,0,0
1080,0,0,0,0,0,0,0,1,0,0
1090,1,0,0,0,0,0,0,0,0,0
1100,0,0,0,0,0,0,0,0,0,0
1110,2,0,0,0,0,0,0,0,0,0
1120,0,0,0,0,0,0,0,0,0,0
1130,1,0,0,0,0,0,0,0,0,0
1140,0,0,0,1,0,0,0,0,0,0
1150,0,0,0,0,0,0,1,0,0,0
1160,0,0,0,0,0,0,0,0,0,0
1170,0,0,1,0,0,0,0,0,0,0
1180,0,0,0,0,0,0,0,1,0,0
1190,0,0,0,0,0,0,0,0,0,0
1200,0,0,0,0,0,0,0,0,1,0
1210,0,0,1,0,0,0,0,0,0,0
1220,0,0,0,0,0,0,0,0,0,0
1230,0,0,0,0,0,0,0,0,0,0
1240,0,0,0,1,1,0,0,0,0,0
1250,0,0,0,0,0,0,0,0,0,0
1260,0,0,0,0,0,1,1,0,0,0
1270,0,0,0,0,0,0,0,0,0,0
1280,0,0,1,0,0,0,0,0,0,0
1290,0,0,0,0,1,0,0,0,0,0
1300,0,0,0,0,0,1,0,0,0,0
1310,0,1,0,0,0,0,1,0,0,0
1320,0,0,0,0,1,1,0,0,0,0
1330,1,0,0,0,0,0,0,0,1,0
1340,0,1,0,0,0,0,0,0,0,0
1350,0,0,0,0,0,0,0,0,0,1
1360,1,0,0,0,0,0,0,0,0,0
1370,0,1,0,0,0,0,1,2,0,0
1380,0,1,0,0,1,0,2,0,0,0
1390,0,0,0,1,0,0,0,0,0,0
1400,0,0,0,0,0,0,0,0,0,0
1410,0,0,1,0,0,0,1,0,0,0
1420,0,1,0,0,1,0,0,1,1,0
1430,0,0,0,0,0,1,0,0,0,0
1440,0,0,0,0,0,0,0,0,0,0
1450,0,0,0,0,0,0,0,0,0,0
1460,1,0,0,0,1,0,0,0,0,0
1470,0,0,0,0,1,0,1,0,0,0
1480,0,0,0,1,0,0,0,0,1,1
1490,0,0,1,0,0,1,0,0,0,1
1500,0,0,0,0,1,0,0,0,0,0
1510,0,0,0,0,0,0,0,0,0,1
1520,0,0,0,0,1,0,1,0,0,0
1530,0,0,0,0,0,0,0,0,0,0
1540,0,1,0,0,0,0,0,0,0,0
1550,0,2,0,0,0,0,1,0,2,1
1560,0,1,0,0,0,0,2,1,0,1
1570,0,0,0,0,0,0,0,0,0,1
1580,0,0,0,1,1,0,0,0,0,0
1590,0,1,1,0,0,0,0,2,1,0
1600,0,0,2,0,0,1,0,0,0,0
1610,0,0,0,0,1,0,1,1,0,0
1620,1,0,0,0,2,1,1,0,0,0
