SPECTRUM,DATE,TIME,LIVE,REAL
20230610_newGe_X-12_Z-12_15MeV_Co-01-00.csv,23-06-11,00:08:35,2078.1,2083.52
RSV1,RSV2,RSV3,RSV4,RSV5,RSV6,RSV7,RSV8,RSV9,RSV10
1,2,3,4,5,6,7,8,9,10
PHA NO.,SEGMENT NO.,SIZE
01,00,4096

                                                               
CH,0,1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0
50,0,1211,1679,1135,1097,1159,1029,1096,1087,1065
60,1069,934,925,921,941,845,872,844,847,772
70,800,752,808,797,756,878,740,696,703,692
80,688,630,699,670,685,637,859,636,572,748
90,1120,519,572,542,566,552,556,552,587,518
100,481,536,560,520,519,523,509,597,552,502
110,493,520,522,543,513,505,563,522,514,482
120,476,514,492,528,506,477,498,576,508,507
130,533,571,522,525,687,678,571,578,595,566
140,573,575,629,666,458,490,452,451,480,461
150,476,412,404,450,433,449,449,431,390,406
160,445,463,444,454,447,490,485,329,339,360
170,335,360,369,3002,1841,309,295,300,283,275
180,249,260,241,310,233,180,192,169,174,161
190,188,161,179,156,164,144,301,3690,242,70
200,75,66,65,84,116,72,74,100,110,68
210,76,65,55,73,81,170,2542,170,26,31
220,23,37,28,44,39,26,25,31,31,21
230,20,28,24,32,38,63,37,28,22,25
240,40,28,22,20,24,25,36,26,23,13
250,21,19,12,15,17,18,35,17,14,16
260,17,166,29,11,15,12,13,17,14,16
270,18,21,25,26,22,10,22,15,8,16
280,24,23,20,15,13,15,14,12,14,9
290,10,19,9,12,15,7,10,8,14,10
300,6,15,13,13,12,17,12,10,10,10
310,18,31,19,19,17,11,10,10,15,11
320,15,11,16,14,11,21,50,18,11,11
330,14,16,13,12,9,14,14,13,11,18
340,22,21,10,12,19,20,16,13,17,10
350,13,19,8,9,23,17,13,9,11,8
360,9,12,15,14,4,6,6,4,3,2
370,5,14,6,5,4,4,1,5,2,3
380,5,3,1,1,7,6,14,182,23,0
390,0,0,1,0,1,0,1,1,2,0
400,1,0,0,2,1,2,0,3,1,1
410,1,1,0,0,1,0,1,1,5,0
420,1,0,2,1,3,0,0,0,2,2
430,1,1,0,2,0,0,0,0,0,1
440,0,1,0,1,1,1,0,0,0,0
450,0,2,0,3,2,0,1,1,0,1
460,1,0,2,1,1,2,3,0,0,0
470,0,0,0,1,1,0,0,1,0,0
480,0,0,0,0,1,1,0,0,1,0
490,1,0,1,1,2,1,1,1,0,1
500,2,2,0,0,2,2,4,2,1,0
510,3,1,0,1,0,1,1,1,0,1
520,0,0,0,1,2,0,0,0,0,0
530,0,1,1,0,0,0,0,1,2,1
540,0,0,2,2,0,2,0,0,0,0
550,0,0,1,1,0,2,1,2,2,2
560,0,2,0,0,3,0,1,0,1,2
570,0,0,2,2,1,0,0,0,2,0
580,3,0,1,1,1,4,0,0,1,2
590,1,1,1,1,1,1,0,2,0,1
600,0,0,2,0,0,1,2,1,1,0
610,1,1,1,2,2,2,1,1,1,1
620,3,2,2,2,2,2,1,1,2,1
630,2,0,2,0,1,1,0,1,0,1
640,2,0,1,2,1,1,2,0,0,1
650,0,4,1,1,1,1,3,2,0,0
660,1,2,2,3,1,0,1,2,0,1
670,2,1,2,2,1,2,1,1,0,0
680,1,1,4,0,1,1,0,1,0,2
690,0,3,0,2,1,0,0,3,1,0
700,1,1,0,0,1,2,2,4,2,0
710,3,2,1,3,0,5,2,1,2,0
720,0,1,3,2,2,2,2,1,1,0
730,1,2,1,2,2,0,1,2,1,1
740,1,2,2,1,3,1,0,4,2,1
750,3,1,2,0,2,1,1,2,3,1
760,3,4,1,1,2,3,2,2,1,3
770,4,2,1,2,1,1,1,3,2,3
780,1,3,4,1,3,0,0,1,0,1
790,1,6,2,1,0,2,1,1,2,1
800,0,2,0,1,2,1,4,1,4,2
810,0,1,7,0,1,3,2,2,3,1
820,2,0,0,2,2,1,2,3,3,3
830,1,2,4,6,1,0,1,2,1,2
840,0,3,1,2,3,5,1,1,3,4
850,1,1,1,4,2,5,0,1,6,2
860,3,4,3,2,1,8,2,4,4,0
870,3,2,2,3,5,5,5,3,1,2
880,2,2,2,5,2,5,3,5,7,4
890,1,1,6,4,7,3,4,3,3,6
900,0,3,3,2,2,4,3,3,4,4
910,5,4,3,2,2,3,3,4,2,3
920,5,3,8,2,6,2,5,9,3,0
930,3,5,3,6,4,5,6,2,3,4
940,4,6,2,2,8,3,8,2,3,8
950,4,2,2,2,4,5,5,5,3,4
960,5,5,4,4,4,5,6,8,3,5
970,7,1,6,1,4,4,8,2,6,0
980,4,3,4,6,5,4,5,7,8,6
990,11,8,8,8,3,8,3,3,6,5
1000,4,8,6,7,11,9,2,11,9,6
1010,6,5,9,4,7,9,6,4,6,7
1020,4,4,7,5,8,6,8,5,7,8
1030,10,6,7,2,10,7,10,2,6,11
1040,4,9,3,10,6,4,5,7,7,4
1050,12,2,2,10,6,9,7,9,8,6
1060,4,8,8,9,6,14,3,12,11,4
1070,8,9,6,8,7,6,10,7,8,8
1080,9,6,3,7,13,6,13,9,7,5
1090,7,6,9,5,8,6,7,9,7,10
1100,5,5,5,7,11,7,9,11,8,9
1110,5,14,6,9,9,6,7,4,9,7
1120,6,9,13,5,7,10,11,11,9,6
1130,8,9,6,7,8,7,9,8,8,6
1140,6,12,9,10,8,5,7,10,9,6
1150,6,7,10,9,14,6,14,10,8,3
1160,9,13,9,16,10,11,13,10,5,10
1170,10,12,14,6,7,5,5,8,7,9
1180,8,10,6,12,11,13,10,8,9,9
1190,9,7,7,16,7,13,9,3,8,12
1200,6,13,11,11,6,11,13,3,7,9
1210,16,11,11,6,7,10,11,13,10,7
1220,8,6,7,7,8,7,11,6,7,8
1230,9,9,13,7,5,10,4,15,6,13
1240,13,13,16,16,8,11,7,9,10,14
1250,8,12,12,10,8,9,6,12,15,12
1260,14,9,14,8,12,7,19,14,10,4
1270,10,7,16,14,10,11,11,9,12,10
1280,7,10,11,15,9,9,8,8,13,13
1290,7,13,3,8,7,9,18,8,13,15
1300,9,11,9,8,10,7,6,9,8,12
1310,11,10,7,9,11,16,3,13,12,11
1320,14,9,7,4,15,9,7,12,13,14
1330,10,8,9,12,10,7,14,12,5,15
1340,11,8,11,19,13,12,13,14,12,14
1350,10,14,9,12,10,11,16,16,10,14
1360,17,12,15,11,13,15,7,12,8,8
1370,10,13,16,14,18,12,10,7,23,9
1380,14,10,9,13,13,17,14,15,10,7
1390,18,12,11,16,17,11,11,5,12,18
1400,10,15,6,15,8,8,8,13,13,13
1410,12,10,9,10,9,11,6,8,12,12
1420,12,8,8,11,13,11,10,7,12,14
1430,14,7,11,13,9,9,8,8,12,14
1440,14,14,13,14,11,15,9,9,12,12
1450,16,13,13,11,10,15,5,9,15,19
1460,18,14,10,9,12,11,13,11,20,16
1470,12,11,12,14,14,13,10,29,13,12
1480,13,11,14,24,11,18,9,12,8,14
1490,16,13,11,6,16,12,9,13,14,17
1500,8,7,16,16,14,13,12,16,12,24
1510,10,11,14,14,14,16,12,12,8,10
1520,12,19,11,13,21,13,10,21,13,7
1530,10,18,18,20,14,16,16,15,13,14
1540,15,18,10,12,13,13,8,13,20,15
1550,16,7,12,16,15,14,12,13,17,16
1560,19,11,11,11,14,15,18,9,7,12
1570,9,10,20,17,11,18,11,11,19,16
1580,6,14,15,17,11,22,15,15,13,11
1590,16,11,10,19,15,15,13,8,18,16
1600,11,11,18,11,14,17,17,10,11,21
1610,8,21,13,18,16,13,13,22,20,10
