SPECTRUM,DATE,TIME,LIVE,REAL
202306121524_newGe_newMCA_Co-01-00.csv,23-06-12,15:19:03,296.52,297.34
RSV1,RSV2,RSV3,RSV4,RSV5,RSV6,RSV7,RSV8,RSV9,RSV10
1,2,3,4,5,6,7,8,9,10
PHA NO.,SEGMENT NO.,SIZE
01,00,4096

                                                               
CH,0,1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0
50,0,199,244,184,166,160,166,139,151,134
60,164,110,138,145,143,122,114,109,125,114
70,94,105,87,110,113,128,122,107,83,94
80,103,105,81,86,103,75,126,74,79,89
90,164,72,72,70,89,87,81,83,84,74
100,74,67,87,70,80,77,48,77,80,61
110,71,68,76,83,67,63,85,79,70,61
120,78,74,70,69,96,76,91,73,79,80
130,70,73,77,79,95,96,82,96,92,86
140,85,80,79,97,78,81,60,53,80,78
150,61,66,58,70,60,63,61,52,60,66
160,63,59,63,62,74,63,65,56,48,37
170,56,49,49,497,251,51,27,44,41,37
180,25,35,46,40,27,21,26,30,19,23
190,26,26,20,21,24,19,52,509,25,13
200,16,12,10,9,13,12,6,17,18,9
210,14,14,16,13,19,22,358,17,8,2
220,3,5,3,7,4,7,5,3,4,4
230,4,3,3,2,5,10,6,3,5,2
240,0,2,4,5,4,3,6,2,1,1
250,0,2,3,2,2,2,5,4,1,3
260,4,18,5,2,2,2,4,4,3,1
270,3,3,4,5,0,2,2,0,1,7
280,2,5,2,3,0,3,2,3,1,1
290,1,2,3,4,1,1,1,2,2,1
300,2,7,0,2,3,0,1,4,3,3
310,4,2,3,4,3,2,3,2,1,1
320,2,2,1,2,2,1,7,3,5,4
330,1,1,1,6,4,3,1,4,4,3
340,5,3,3,3,3,1,2,0,1,3
350,2,5,3,2,1,1,2,2,0,2
360,1,2,4,1,2,2,1,0,1,1
370,1,3,2,2,0,0,1,0,1,2
380,2,0,1,1,2,0,2,22,4,2
390,0,0,1,1,0,0,0,0,2,1
400,1,1,1,1,0,0,2,2,1,1
410,0,0,1,1,0,1,1,2,1,3
420,1,0,0,0,1,1,1,2,5,1
430,1,0,0,0,0,1,1,2,0,0
440,1,3,2,1,0,2,0,0,4,1
450,0,1,2,1,2,1,3,1,0,2
460,1,0,4,0,2,0,0,0,2,1
470,1,2,0,0,0,1,1,2,0,0
480,1,0,3,1,1,2,2,0,2,2
490,1,3,0,0,2,0,1,1,1,0
500,1,0,0,1,1,1,1,1,1,0
510,1,2,0,4,3,2,1,3,3,1
520,0,0,1,2,1,1,4,1,4,1
530,2,3,2,2,1,1,1,1,2,1
540,2,1,1,1,0,2,3,2,2,2
550,1,1,3,0,2,1,0,0,0,3
560,1,1,2,2,3,1,2,2,2,2
570,1,1,2,1,6,2,1,3,1,3
580,2,3,2,1,1,1,0,1,1,1
590,2,0,1,1,4,1,3,3,0,1
600,2,0,0,0,2,2,1,1,2,2
610,1,3,4,2,4,2,3,2,0,3
620,2,3,4,0,1,0,5,1,2,1
630,1,1,3,4,0,1,1,1,3,6
640,2,1,2,1,1,2,2,0,4,6
650,1,4,4,0,2,4,3,2,2,0
660,1,2,1,3,2,1,2,3,6,2
670,4,1,2,2,0,1,4,3,7,2
680,1,3,2,3,1,4,2,1,1,3
690,1,3,2,2,2,0,3,3,1,3
700,8,5,4,3,1,3,3,0,1,2
710,2,1,4,0,2,3,5,5,4,2
720,6,4,0,1,1,3,2,5,4,5
730,4,7,2,1,1,2,5,6,3,5
740,5,5,5,4,4,4,3,2,7,3
750,3,5,5,3,5,2,2,6,3,9
760,2,8,4,2,5,4,6,8,6,3
770,4,4,2,3,1,5,5,5,2,5
780,4,1,5,5,11,3,9,5,4,10
790,5,7,6,10,5,5,6,3,6,6
800,10,4,5,5,3,2,3,2,8,8
810,5,3,9,6,7,3,4,13,8,5
820,15,5,5,1,4,3,8,7,7,12
830,7,4,6,12,6,11,11,6,12,5
840,15,12,13,12,8,4,9,9,7,13
850,10,14,10,11,12,6,7,9,11,8
860,12,17,14,16,12,17,10,13,15,12
870,17,16,19,11,14,13,16,10,13,15
880,20,14,16,19,14,19,15,16,17,21
890,20,16,19,20,16,24,24,11,22,20
900,25,29,22,22,25,25,22,26,24,18
910,22,24,22,27,31,33,27,29,28,20
920,30,28,20,26,36,31,37,38,51,56
930,72,69,94,130,155,203,216,242,246,207
940,146,76,35,9,3,1,0,0,0,0
950,0,0,0,0,0,0,0,0,0,0
960,0,0,0,0,0,0,0,0,0,1
970,0,0,1,0,0,1,0,0,0,0
980,0,0,0,0,0,0,0,0,0,0
990,0,0,0,0,0,0,0,0,0,0
1000,0,0,0,0,1,0,0,0,0,0
1010,0,0,0,0,0,0,0,0,0,0
1020,0,0,0,0,0,0,0,0,0,0
1030,0,0,0,0,0,0,0,0,0,0
1040,0,0,0,0,0,1,0,0,0,0
1050,0,0,0,0,0,0,0,0,0,0
1060,0,0,0,0,0,0,0,0,0,0
1070,0,0,0,0,0,1,0,0,0,0
1080,0,0,0,0,0,0,0,0,0,0
1090,0,0,0,0,0,0,1,0,0,0
1100,1,0,0,0,0,0,0,0,0,0
1110,0,0,0,0,1,0,0,0,0,0
1120,0,0,0,0,0,0,0,0,0,0
1130,0,0,0,1,0,0,0,0,0,0
1140,0,0,0,0,0,0,0,0,0,0
1150,0,0,0,0,0,0,0,0,0,0
1160,0,0,0,0,0,0,0,0,0,0
1170,0,0,0,0,0,0,0,0,1,1
1180,0,0,0,0,0,0,0,0,0,0
1190,0,0,0,0,0,0,0,0,0,0
1200,0,0,0,0,0,0,0,0,0,0
1210,0,0,0,0,1,1,0,0,0,0
1220,1,0,0,0,0,0,0,0,0,0
1230,0,0,0,0,0,0,0,0,0,0
1240,0,0,0,0,0,0,0,0,0,0
1250,0,0,0,0,0,0,0,0,1,0
1260,0,1,0,0,0,0,0,0,0,0
1270,0,0,0,0,1,0,0,0,1,0
1280,0,0,0,0,0,0,0,1,0,0
1290,0,0,0,0,0,0,0,0,0,0
1300,0,0,0,0,0,0,0,0,0,0
1310,0,0,0,0,0,1,0,0,1,0
1320,0,0,0,0,0,0,0,0,0,0
1330,0,0,0,0,0,0,0,0,1,0
1340,0,0,1,0,0,0,0,0,0,0
1350,0,1,0,0,0,0,0,0,0,1
1360,0,0,0,0,0,0,0,1,0,0
1370,0,0,0,0,0,0,0,0,2,1
1380,1,0,1,0,0,0,0,0,0,1
1390,0,1,0,0,0,0,0,0,0,0
1400,0,0,0,0,1,0,0,0,0,0
1410,1,0,0,0,0,0,0,0,1,1
1420,0,0,0,0,0,0,0,0,1,0
1430,1,1,0,0,0,2,0,1,0,0
1440,0,0,2,0,0,1,0,1,0,0
1450,1,0,0,0,0,1,0,0,0,0
1460,0,1,0,0,0,0,0,0,0,0
1470,0,0,0,0,1,0,0,0,0,0
1480,0,0,1,0,0,0,0,2,1,0
1490,0,0,0,0,0,0,1,0,1,0
1500,0,0,0,0,0,0,0,2,0,1
1510,1,0,0,0,1,2,1,0,0,0
1520,0,0,1,1,1,0,1,0,0,1
1530,0,0,2,0,0,1,0,0,0,0
1540,0,0,0,0,1,1,0,1,0,2
1550,0,0,0,0,0,0,0,1,0,0
1560,0,0,1,0,0,0,0,1,0,0
1570,0,0,1,0,0,0,0,1,1,0
1580,0,0,0,1,1,0,0,0,1,0
1590,0,1,1,0,0,2,0,0,0,0
1600,0,0,1,1,3,0,0,0,0,0
1610,0,0,0,0,0,0,0,0,0,0
1620,0,0,0,2,1,1,2,1,1,0
