SPECTRUM,DATE,TIME,LIVE,REAL
202306141509_newGe_newMCA_Co-01-00.csv,23-06-14,15:03:36,342.3,343.74
RSV1,RSV2,RSV3,RSV4,RSV5,RSV6,RSV7,RSV8,RSV9,RSV10
1,2,3,4,5,6,7,8,9,10
PHA NO.,SEGMENT NO.,SIZE
01,00,4096

                                                               
CH,0,1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0
50,0,282,405,280,310,296,259,280,248,260
60,260,211,238,242,245,226,208,252,242,220
70,208,186,205,193,195,208,202,210,179,178
80,192,180,188,199,167,183,207,174,192,217
90,290,167,162,186,200,182,168,172,176,160
100,166,156,172,156,154,179,172,159,185,183
110,180,183,181,183,180,167,165,180,171,185
120,160,181,191,170,191,195,200,187,184,187
130,211,194,200,205,226,216,205,227,227,235
140,229,238,220,194,175,190,185,190,194,187
150,173,167,180,178,161,180,181,142,144,135
160,177,143,175,159,177,156,134,142,130,104
170,116,111,143,1501,785,80,79,65,72,68
180,56,58,43,76,53,37,45,33,39,44
190,35,40,29,47,37,40,127,1817,92,17
200,19,18,12,16,19,16,12,14,23,15
210,14,9,10,19,13,40,400,36,12,5
220,7,15,11,11,12,9,8,11,12,5
230,7,9,7,10,10,17,10,3,5,6
240,8,6,3,9,7,5,5,5,5,3
250,5,3,5,1,7,8,10,5,11,9
260,4,40,4,2,7,2,7,10,4,6
270,5,4,1,10,6,4,3,5,5,4
280,9,7,4,7,4,3,3,3,4,7
290,4,4,4,3,3,3,1,1,5,4
300,8,2,1,2,5,6,4,5,5,5
310,3,2,4,2,5,5,3,2,5,4
320,3,2,6,4,3,3,10,7,7,3
330,4,7,5,4,4,2,3,6,0,5
340,6,2,4,3,0,2,5,6,4,2
350,2,3,4,0,3,2,1,1,2,3
360,0,3,1,4,1,1,0,0,0,1
370,2,18,1,0,2,0,2,1,1,0
380,1,1,0,1,3,4,6,28,0,1
390,1,0,0,0,0,0,0,0,1,0
400,0,1,1,0,0,0,1,1,1,2
410,0,0,1,0,0,2,2,0,0,0
420,1,0,2,0,0,0,0,0,0,1
430,2,0,0,1,0,0,0,0,1,1
440,0,0,2,1,1,1,0,2,2,0
450,0,1,0,0,0,2,0,0,1,1
460,0,3,0,0,0,0,0,1,2,0
470,2,0,0,0,1,0,2,0,1,0
480,0,0,1,1,1,0,0,0,0,1
490,0,4,3,1,1,1,1,1,2,0
500,0,2,0,2,1,1,0,0,0,2
510,1,0,0,0,2,2,1,0,1,2
520,3,3,1,1,1,2,1,0,1,1
530,0,1,0,1,2,0,0,1,3,0
540,1,1,2,2,2,1,2,1,0,1
550,1,2,1,2,1,2,1,0,0,0
560,4,1,1,1,2,2,1,0,1,2
570,1,0,1,1,0,0,2,1,2,1
580,3,3,2,0,0,1,0,3,0,2
590,1,0,1,2,2,1,0,1,2,0
600,0,0,2,1,1,1,3,1,0,3
610,0,0,2,0,1,2,2,2,0,1
620,1,1,3,0,2,3,0,1,1,3
630,2,0,3,1,3,0,2,1,1,2
640,4,1,3,2,2,2,1,2,0,1
650,1,0,0,2,0,2,3,0,4,2
660,4,1,1,1,1,4,1,0,3,2
670,4,0,3,1,1,2,2,1,2,3
680,1,1,5,3,2,1,2,2,2,1
690,1,1,1,7,1,1,4,5,2,1
700,1,0,4,3,1,6,2,1,3,1
710,3,4,4,0,1,2,1,3,2,2
720,5,0,2,4,1,2,5,1,0,0
730,1,2,3,3,5,4,4,3,1,4
740,1,4,1,3,1,1,5,5,2,2
750,0,0,3,3,4,4,5,4,4,1
760,4,2,3,2,7,6,2,6,8,2
770,5,1,6,3,4,1,7,3,3,4
780,4,1,8,5,6,5,3,3,3,2
790,2,3,4,5,4,4,4,2,4,3
800,6,7,5,8,7,9,3,2,8,8
810,4,3,6,4,3,2,7,6,5,3
820,4,4,3,7,5,7,5,8,4,7
830,5,12,5,5,5,3,2,1,3,4
840,6,7,7,7,9,9,3,7,3,8
850,6,6,8,8,10,7,9,7,8,9
860,6,14,13,8,8,6,7,10,10,9
870,13,3,8,9,2,11,11,9,9,7
880,7,18,11,12,10,13,8,13,13,17
890,15,11,21,16,17,9,12,17,23,18
900,15,18,12,21,22,24,26,21,23,21
910,17,22,16,32,16,18,14,21,18,18
920,19,27,22,26,29,32,29,25,24,33
930,46,46,71,80,92,105,140,171,190,201
940,175,106,45,20,1,0,2,0,1,0
950,0,0,1,2,1,0,1,0,0,0
960,0,1,0,0,0,0,2,0,0,1
970,0,0,0,0,0,0,1,0,0,0
980,0,0,0,0,0,0,0,0,0,0
990,0,0,0,0,0,0,0,0,0,0
1000,0,0,0,0,0,0,0,0,0,0
1010,0,0,0,0,0,0,0,0,0,0
1020,0,0,0,0,0,0,0,0,0,0
1030,0,0,0,0,0,0,0,0,0,0
1040,0,0,0,0,0,0,0,0,0,0
1050,0,0,0,0,0,0,0,0,0,0
1060,0,0,0,0,0,0,0,0,0,0
1070,0,0,0,0,0,0,0,0,0,0
1080,0,0,0,0,0,0,0,0,0,0
1090,0,0,0,0,0,0,0,0,0,0
1100,0,0,0,0,0,0,0,0,0,0
1110,0,0,0,0,0,0,0,0,0,0
1120,0,0,0,1,0,0,0,0,0,0
1130,0,0,0,0,0,0,0,0,0,0
1140,1,0,0,0,0,0,0,0,0,0
1150,0,0,0,0,0,0,0,0,0,0
1160,0,1,0,0,0,0,0,0,0,0
1170,0,0,0,0,2,0,0,0,0,0
1180,0,0,1,0,0,0,0,0,0,0
1190,0,0,0,0,0,0,0,0,0,0
1200,0,0,0,0,0,0,0,0,0,0
1210,0,0,0,0,0,0,0,0,0,0
1220,0,0,0,0,0,0,0,0,0,0
1230,0,0,0,0,0,0,0,0,0,0
1240,0,0,0,0,0,0,0,0,0,0
1250,0,0,0,0,0,0,0,0,0,0
1260,1,0,0,0,0,0,0,0,0,0
1270,0,0,0,0,1,0,0,0,0,0
1280,0,1,0,0,0,0,0,0,0,0
1290,0,0,0,0,0,0,0,0,0,0
1300,0,0,0,0,0,0,0,0,0,0
1310,0,0,0,0,0,0,0,1,1,1
1320,0,0,0,0,0,0,0,0,0,0
1330,0,0,0,1,0,0,0,0,0,0
1340,0,0,0,0,0,0,0,0,0,0
1350,0,0,0,0,0,0,0,0,0,0
1360,0,0,0,0,0,0,0,0,0,1
1370,0,0,0,0,0,0,0,0,0,0
1380,0,0,0,0,0,0,1,0,0,1
1390,0,0,0,0,1,0,1,0,0,0
1400,0,0,0,0,0,1,0,0,0,0
1410,0,1,1,0,0,0,0,0,0,0
1420,0,0,0,0,0,0,0,0,0,0
1430,0,0,1,0,0,0,0,0,0,0
1440,0,0,0,0,0,0,0,0,1,0
1450,0,0,1,0,0,0,0,0,0,0
1460,0,0,0,0,0,0,0,0,0,0
1470,0,0,0,0,0,0,0,0,0,0
1480,1,0,0,0,0,0,0,0,1,0
1490,0,0,0,0,0,0,0,0,1,0
1500,0,1,0,0,1,0,0,0,0,0
1510,0,0,0,0,0,0,0,1,0,0
1520,0,0,0,0,0,0,1,0,0,0
1530,0,1,0,0,0,0,0,1,0,0
1540,1,0,0,1,0,0,0,0,0,0
1550,0,0,0,0,0,0,0,0,0,0
1560,0,0,0,0,0,0,0,0,0,0
1570,0,0,1,0,0,0,0,0,0,2
1580,0,0,0,0,0,0,0,0,0,0
1590,0,1,1,0,0,0,0,0,0,0
1600,0,0,0,0,0,0,0,0,0,0
1610,2,0,0,1,0,0,0,0,0,1
1620,0,0,0,0,0,0,1,0,1,0
