SPECTRUM,DATE,TIME,LIVE,REAL
202306141736_newGeMCA_8MeV-01-00.csv,23-06-14,17:30:43,254.32,255.6
RSV1,RSV2,RSV3,RSV4,RSV5,RSV6,RSV7,RSV8,RSV9,RSV10
1,2,3,4,5,6,7,8,9,10
PHA NO.,SEGMENT NO.,SIZE
01,00,4096

                                                               
CH,0,1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0
50,0,224,276,196,221,178,201,226,204,199
60,178,181,181,183,190,160,158,152,176,156
70,155,148,126,164,138,180,142,152,143,148
80,136,154,119,132,148,127,158,155,117,157
90,222,150,148,126,123,117,130,132,124,140
100,126,122,116,126,144,120,120,127,130,132
110,118,129,127,128,114,140,132,146,147,144
120,143,163,141,106,137,150,137,139,128,127
130,160,150,140,168,171,173,173,184,181,166
140,169,173,158,151,112,124,141,129,127,128
150,134,132,136,128,136,136,113,136,126,141
160,146,118,118,123,135,119,107,92,99,78
170,98,86,93,1099,599,73,53,58,56,46
180,40,43,61,49,36,37,29,35,34,32
190,28,23,33,25,25,32,103,1272,76,15
200,21,11,9,12,20,10,10,9,8,9
210,9,10,9,12,18,21,324,29,9,7
220,2,7,10,12,8,7,7,6,10,8
230,3,6,4,8,8,7,6,11,3,3
240,6,10,4,4,7,7,4,2,4,7
250,8,4,4,6,3,5,11,6,5,6
260,3,20,2,6,5,5,4,6,3,3
270,6,5,3,4,0,7,3,3,2,6
280,4,3,7,4,3,2,3,4,7,4
290,4,4,8,1,4,2,2,5,4,4
300,1,4,3,0,4,2,3,3,4,3
310,2,7,4,6,2,3,3,0,2,1
320,5,4,2,3,3,1,7,5,0,1
330,1,0,3,4,2,6,2,3,2,1
340,0,1,1,2,0,3,4,3,3,1
350,1,4,1,2,2,0,1,3,0,1
360,2,1,4,2,1,0,1,4,1,0
370,1,4,0,0,0,1,1,0,0,0
380,0,0,1,0,1,0,0,25,6,0
390,0,1,1,0,0,0,0,0,0,0
400,0,0,1,0,1,0,1,0,0,0
410,0,1,1,0,0,0,1,1,1,0
420,1,3,2,1,0,1,0,2,1,0
430,0,0,0,0,0,0,0,1,1,0
440,1,0,0,0,1,2,1,0,0,0
450,0,2,0,0,0,1,0,0,0,1
460,1,0,0,0,2,0,0,1,0,1
470,2,2,0,0,0,0,1,1,1,0
480,0,0,0,0,1,0,2,2,1,0
490,0,1,1,0,2,1,0,0,0,2
500,3,1,0,0,0,0,2,1,1,1
510,0,2,0,1,1,1,0,0,2,1
520,2,1,0,0,1,1,1,0,2,0
530,0,0,0,2,2,0,1,0,0,1
540,0,0,1,1,0,0,1,2,1,0
550,1,0,2,1,0,1,0,1,1,1
560,2,1,0,1,2,2,2,0,0,2
570,0,2,1,1,2,0,0,1,1,1
580,0,2,2,2,0,1,2,1,0,0
590,0,0,2,0,1,0,1,1,2,1
600,1,1,0,1,0,2,0,1,1,1
610,3,2,0,0,0,0,0,2,0,0
620,1,1,2,0,1,0,1,1,2,1
630,1,0,0,1,2,1,0,2,1,2
640,1,2,1,1,0,1,2,0,0,2
650,1,1,1,1,0,2,1,2,1,3
660,2,0,2,3,3,1,3,0,0,0
670,2,1,1,0,2,3,2,0,0,0
680,0,1,0,2,2,1,0,2,1,1
690,0,0,0,0,1,1,3,2,2,2
700,0,0,1,2,2,0,1,2,2,2
710,1,1,2,2,2,0,2,1,1,2
720,3,2,0,1,1,2,1,3,1,2
730,2,1,3,1,6,3,0,1,0,0
740,3,0,2,2,5,5,1,3,3,4
750,1,1,2,1,0,0,3,2,1,4
760,1,2,1,0,0,1,0,1,2,1
770,2,0,0,2,1,5,1,3,2,4
780,1,2,3,3,0,1,2,2,2,3
790,2,2,2,0,3,0,3,2,1,2
800,2,5,1,3,3,4,2,3,2,0
810,4,1,2,2,3,2,2,0,2,0
820,1,0,1,1,3,1,3,4,2,4
830,3,1,2,2,2,2,1,4,2,1
840,4,3,1,3,2,1,2,4,2,5
850,2,5,6,4,2,1,1,4,2,2
860,3,2,3,1,3,2,2,2,3,2
870,1,5,1,5,7,3,3,1,3,3
880,5,3,2,1,4,1,3,2,3,5
890,4,1,5,1,4,4,1,2,1,1
900,4,2,6,5,2,5,5,0,4,4
910,2,2,3,3,1,5,2,2,6,2
920,6,5,3,5,3,1,4,2,3,4
930,4,4,2,2,1,6,2,6,7,4
940,6,1,6,4,4,9,1,8,2,3
950,4,5,1,6,1,6,9,2,5,4
960,4,4,4,6,5,7,4,3,4,2
970,6,2,9,1,7,6,5,4,2,8
980,4,6,3,3,2,6,6,6,3,6
990,4,7,2,5,1,4,4,3,2,3
1000,4,5,6,8,7,4,4,4,7,1
1010,5,8,5,7,3,1,10,4,12,4
1020,5,6,4,5,4,5,6,4,8,7
1030,10,6,5,10,11,9,5,5,8,5
1040,6,7,8,3,6,8,5,10,8,7
1050,9,9,5,7,11,7,8,5,4,12
1060,7,7,5,4,6,4,5,8,13,7
1070,9,11,9,4,9,8,5,12,5,9
1080,5,5,8,8,9,12,8,7,11,8
1090,5,5,7,8,5,10,13,12,10,4
1100,13,7,12,8,16,9,12,9,9,10
1110,13,13,15,18,9,14,11,14,8,14
1120,14,7,9,12,15,19,8,14,12,16
1130,6,9,10,16,13,16,10,16,22,17
1140,12,22,13,14,10,16,17,18,15,24
1150,15,17,22,17,21,20,16,14,12,17
1160,18,19,23,16,14,24,21,24,12,20
1170,17,20,21,21,27,29,22,19,20,19
1180,31,27,30,23,25,24,21,33,30,18
1190,39,23,24,27,29,28,23,32,33,32
1200,26,25,25,29,33,40,31,29,33,30
1210,31,34,38,38,57,59,76,93,118,170
1220,199,199,226,184,117,41,23,3,1,1
1230,0,0,1,0,1,1,2,2,1,0
1240,0,1,0,0,0,0,0,0,0,1
1250,1,2,1,0,0,0,0,1,0,0
1260,0,0,0,0,0,0,0,0,0,1
1270,0,0,0,0,0,0,0,0,0,0
1280,0,0,1,0,0,1,0,1,0,0
1290,0,0,0,0,0,0,0,0,0,0
1300,0,0,0,0,0,0,0,0,0,0
1310,0,0,0,0,0,1,0,0,0,0
1320,0,0,0,0,0,0,0,0,0,0
1330,0,0,0,0,0,0,0,0,0,0
1340,0,0,0,0,0,0,0,0,0,0
1350,0,0,1,0,0,0,0,0,0,0
1360,0,0,0,0,0,0,0,0,0,0
1370,0,0,0,0,0,0,0,0,0,0
1380,0,1,0,0,0,0,0,1,0,0
1390,0,0,0,0,0,1,0,1,0,0
1400,0,0,0,0,0,0,0,0,1,0
1410,0,0,0,0,0,0,0,0,0,0
1420,0,0,0,0,0,0,0,0,1,0
1430,0,0,0,0,0,0,0,0,1,0
1440,0,0,0,0,0,0,0,0,0,0
1450,0,0,0,0,0,0,0,0,0,0
1460,0,0,0,0,0,0,0,1,0,0
1470,0,0,1,0,0,0,0,0,0,0
1480,0,0,0,0,1,0,0,0,0,0
1490,0,0,1,1,0,0,0,1,0,0
1500,0,1,1,0,0,0,0,1,1,0
1510,0,2,0,0,0,0,0,1,1,0
1520,0,0,0,0,0,0,1,1,0,1
1530,1,0,0,0,0,2,0,0,0,0
1540,1,1,0,0,0,0,1,0,0,0
1550,0,0,0,1,1,0,0,1,0,0
1560,0,0,0,0,0,0,0,0,0,0
1570,0,0,0,0,0,0,0,2,0,0
1580,1,0,0,1,0,0,1,0,0,0
1590,0,0,0,0,0,0,0,1,0,2
1600,0,0,0,1,0,0,0,0,0,0
1610,0,0,0,0,0,0,0,0,0,0
1620,1,0,0,0,0,1,1,0,0,1
