SPECTRUM,DATE,TIME,LIVE,REAL
2306142206_newMCA_16MeV-01-00.csv,23-06-14,21:44:13,1280.52,1286.9
RSV1,RSV2,RSV3,RSV4,RSV5,RSV6,RSV7,RSV8,RSV9,RSV10
1,2,3,4,5,6,7,8,9,10
PHA NO.,SEGMENT NO.,SIZE
01,00,4096

                                                               
CH,0,1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0
50,0,1043,1437,1116,1025,1071,1053,992,961,954
60,926,958,927,884,903,836,824,832,842,780
70,740,751,795,750,742,820,782,729,732,706
80,725,730,722,699,672,701,840,706,650,719
90,993,602,671,666,679,674,671,630,676,682
100,660,665,630,644,638,652,663,680,702,621
110,633,656,646,680,658,685,708,713,641,729
120,671,774,723,684,679,718,696,754,761,745
130,759,744,751,783,882,903,816,841,905,901
140,923,847,833,793,726,718,721,651,706,626
150,690,609,634,583,624,624,598,648,591,631
160,615,631,608,599,605,566,584,430,447,406
170,399,414,465,5321,3253,319,296,288,263,235
180,238,233,216,232,190,164,139,179,136,153
190,168,146,129,129,159,169,426,6730,400,67
200,88,65,69,76,89,63,63,68,84,56
210,56,53,58,49,57,111,1458,115,29,32
220,34,40,33,34,35,29,28,29,27,21
230,29,28,31,26,33,33,38,26,21,25
240,29,28,20,19,18,18,22,21,24,19
250,15,23,19,23,27,23,33,19,19,21
260,21,113,25,12,13,18,19,19,18,9
270,28,20,22,24,23,18,15,11,11,19
280,19,18,16,18,20,17,18,17,21,17
290,20,18,14,11,23,10,13,13,2,11
300,11,16,24,7,14,16,14,15,21,14
310,15,26,17,19,10,13,15,14,9,17
320,9,14,16,17,16,18,33,23,13,10
330,15,15,10,14,6,19,13,14,20,14
340,12,12,15,8,12,6,11,11,11,12
350,16,8,9,12,9,5,11,7,3,6
360,8,3,13,9,6,5,5,5,2,2
370,9,51,6,2,1,1,1,7,1,0
380,0,3,1,0,1,3,7,114,22,0
390,0,1,3,0,0,0,0,1,1,0
400,0,0,0,1,0,0,0,1,2,0
410,0,0,0,0,0,0,0,2,1,0
420,1,0,0,0,1,0,0,0,1,1
430,0,0,0,0,0,1,0,2,1,1
440,0,0,0,3,0,0,0,0,0,1
450,1,0,1,0,1,0,0,1,0,0
460,1,1,0,0,1,0,0,0,0,1
470,1,0,1,0,0,0,1,1,1,1
480,1,0,0,1,0,0,1,1,1,0
490,1,0,1,1,1,0,0,1,1,1
500,0,2,0,0,1,0,0,1,0,0
510,0,1,0,0,1,1,0,0,0,1
520,1,0,1,0,2,2,0,2,2,2
530,0,0,1,1,0,1,2,1,1,0
540,0,0,1,0,0,0,1,1,2,0
550,2,0,0,0,1,1,2,0,2,0
560,1,1,0,0,0,0,0,1,1,0
570,0,0,0,0,0,0,0,0,1,1
580,2,1,4,0,2,0,2,2,1,0
590,1,0,0,0,0,0,0,1,0,1
600,0,2,0,2,1,0,1,2,2,0
610,0,1,0,1,0,1,2,0,1,0
620,0,3,0,1,0,2,0,2,0,1
630,3,1,0,0,1,0,2,0,0,0
640,0,1,1,0,1,2,0,2,1,2
650,0,3,3,1,2,1,0,1,0,0
660,1,2,0,1,3,1,2,1,0,3
670,0,1,2,1,3,0,2,0,1,2
680,1,1,2,3,1,0,1,0,0,1
690,2,0,2,1,1,1,1,0,3,0
700,1,2,1,1,1,0,2,0,0,0
710,0,1,0,0,0,3,0,1,1,1
720,0,0,0,2,2,0,2,2,0,3
730,1,0,0,0,4,1,1,0,0,1
740,3,0,3,2,1,1,0,1,0,1
750,0,1,0,2,0,0,0,2,3,0
760,2,2,2,0,2,1,4,2,2,2
770,1,2,0,2,2,2,1,0,1,0
780,2,0,1,5,1,0,2,1,1,1
790,3,0,3,1,0,1,1,1,2,2
800,0,1,0,4,0,1,2,1,1,1
810,2,6,1,1,3,0,0,1,2,2
820,1,1,0,1,1,4,1,1,1,1
830,1,2,2,0,0,3,2,1,0,1
840,2,0,2,1,3,1,1,0,3,2
850,4,5,1,4,2,0,1,3,3,2
860,0,4,1,3,3,4,3,3,4,3
870,2,2,3,2,3,2,1,2,2,5
880,3,1,3,1,1,2,1,3,1,3
890,1,3,0,1,0,1,2,4,4,1
900,2,2,2,4,4,4,3,2,3,5
910,3,0,3,2,2,2,2,3,3,3
920,2,1,2,3,3,2,4,2,1,4
930,1,1,1,3,2,2,1,5,4,2
940,4,2,2,1,1,2,1,2,3,2
950,1,4,2,1,2,2,2,4,1,2
960,2,5,3,5,3,1,3,1,2,5
970,1,1,1,3,2,2,2,2,1,2
980,0,1,4,4,2,3,3,3,3,3
990,8,5,2,3,2,0,6,5,3,6
1000,2,2,1,1,3,6,0,3,2,1
1010,5,8,4,4,6,6,2,1,5,4
1020,3,3,4,2,5,7,2,6,2,7
1030,2,4,4,3,3,2,5,1,2,3
1040,4,6,4,10,3,5,4,3,6,4
1050,4,3,0,3,5,2,4,1,4,1
1060,1,4,2,2,1,8,2,3,4,5
1070,2,6,5,9,2,7,3,2,3,4
1080,4,7,4,5,6,6,4,4,5,8
1090,3,5,1,2,3,4,1,5,6,1
1100,4,3,5,7,2,6,7,5,2,5
1110,3,5,7,2,13,6,3,5,3,8
1120,4,5,1,9,1,4,4,6,4,8
1130,8,4,6,8,2,6,6,7,6,9
1140,3,4,1,10,5,7,5,8,7,2
1150,5,7,12,2,1,4,2,4,6,8
1160,5,1,2,9,5,5,3,5,2,4
1170,4,3,3,7,6,4,6,7,7,4
1180,6,7,8,7,4,6,6,1,6,8
1190,5,6,6,5,9,3,4,9,9,9
1200,5,1,3,6,3,5,7,4,7,7
1210,9,9,4,5,6,5,7,5,4,10
1220,10,8,6,4,5,8,9,3,10,10
1230,7,3,11,8,3,7,8,8,5,7
1240,8,7,5,4,9,4,5,7,6,10
1250,12,7,4,5,11,12,5,5,11,5
1260,7,17,5,6,7,7,9,8,7,10
1270,7,5,8,6,10,7,6,3,9,6
1280,11,5,9,8,7,5,7,7,11,3
1290,9,11,6,5,9,4,3,12,6,6
1300,9,11,7,5,8,7,11,11,9,10
1310,13,8,10,4,11,7,6,9,10,10
1320,11,5,6,13,9,16,12,10,10,14
1330,8,9,10,6,7,6,10,8,10,10
1340,9,7,4,2,9,6,4,12,9,12
1350,11,12,7,7,9,10,9,11,7,6
1360,4,9,11,5,8,8,5,7,6,12
1370,12,9,11,9,11,10,7,9,8,12
1380,8,8,9,11,6,2,8,6,8,6
1390,7,10,9,15,10,5,9,12,7,7
1400,10,15,10,11,7,12,9,9,8,9
1410,8,11,12,14,12,8,9,12,11,8
1420,11,11,8,5,11,5,13,11,11,10
1430,5,6,9,5,5,4,16,8,8,10
1440,15,9,9,7,12,10,9,8,9,10
1450,8,6,8,10,12,12,6,7,12,10
1460,8,11,13,10,10,10,10,14,16,10
1470,10,12,7,12,9,15,10,10,4,14
1480,19,11,15,13,12,14,7,15,10,15
1490,11,7,11,8,13,13,12,7,13,13
1500,17,12,9,11,18,11,12,12,10,16
1510,9,12,19,12,10,7,18,10,18,13
1520,10,10,13,13,14,7,8,9,7,8
1530,9,9,11,16,13,18,16,8,16,12
1540,13,15,12,13,10,8,9,19,18,8
1550,15,11,17,14,12,18,14,10,16,8
1560,14,13,12,16,15,13,9,12,13,15
1570,13,11,13,19,15,9,8,22,8,9
1580,9,14,9,13,12,16,19,12,10,8
1590,18,21,10,12,18,13,10,13,10,13
1600,12,11,16,12,10,12,23,15,11,13
1610,15,16,12,20,5,12,10,12,15,12
1620,13,20,12,14,13,15,16,13,11,16
