SPECTRUM,DATE,TIME,LIVE,REAL
202306161358_newGe_newMCA_Co-01-00.csv,23-06-16,13:48:53,530.16,532.98
RSV1,RSV2,RSV3,RSV4,RSV5,RSV6,RSV7,RSV8,RSV9,RSV10
1,2,3,4,5,6,7,8,9,10
PHA NO.,SEGMENT NO.,SIZE
01,00,4096

                                                               
CH,0,1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0
50,0,464,554,429,405,377,429,391,423,413
60,363,354,334,349,358,348,331,347,315,316
70,349,328,302,305,307,357,316,312,271,324
80,265,302,291,269,286,303,365,266,269,288
90,410,263,253,266,279,271,246,238,257,266
100,268,279,227,253,289,257,265,276,251,281
110,288,273,283,260,287,283,263,296,257,275
120,256,293,256,257,293,254,282,286,263,294
130,322,287,293,333,376,365,321,331,361,369
140,378,373,345,346,272,276,269,278,291,255
150,282,240,281,267,256,221,233,239,238,233
160,253,239,204,233,243,264,235,195,209,172
170,180,198,182,2396,1090,131,124,120,122,115
180,85,92,78,104,77,61,58,80,62,53
190,57,71,54,52,72,59,253,2626,103,28
200,36,32,24,27,37,27,31,22,25,24
210,23,28,24,19,22,58,574,32,12,17
220,11,7,17,17,16,13,8,14,11,12
230,9,10,13,5,19,15,13,13,6,8
240,17,8,11,7,3,9,10,8,9,5
250,9,8,8,9,4,11,17,5,13,10
260,7,35,13,5,5,8,11,6,10,6
270,7,5,10,13,8,6,3,8,12,8
280,12,6,2,8,3,7,3,6,10,8
290,7,9,8,10,6,12,3,4,7,7
300,6,6,10,4,2,3,5,2,3,5
310,4,8,7,4,5,4,3,5,5,6
320,5,5,4,5,12,3,12,7,8,7
330,4,4,5,2,6,6,8,7,7,5
340,6,7,5,5,4,4,2,2,2,5
350,3,4,4,4,4,5,2,3,0,2
360,8,3,7,1,1,4,1,1,0,3
370,2,23,3,0,0,2,2,2,2,1
380,1,0,2,0,1,3,3,44,6,0
390,0,0,0,0,0,2,0,0,1,0
400,0,0,0,2,1,0,1,1,0,1
410,1,1,0,0,0,0,0,0,0,2
420,0,0,0,0,0,0,0,0,0,0
430,0,0,0,0,0,0,1,0,1,0
440,0,0,0,0,1,1,1,0,0,0
450,1,1,0,1,0,1,0,0,0,0
460,0,1,0,0,0,1,0,1,0,1
470,0,0,0,0,0,0,1,1,1,0
480,0,1,0,0,1,0,0,0,1,0
490,0,0,1,0,1,1,1,0,0,1
500,0,1,0,0,0,0,1,0,1,0
510,0,0,0,0,0,0,0,0,0,0
520,0,0,1,0,0,0,0,0,0,0
530,1,1,1,0,1,0,1,0,0,1
540,2,0,0,1,3,0,1,1,0,0
550,1,0,0,0,1,1,0,0,1,1
560,0,0,2,1,0,0,0,0,0,1
570,0,1,0,0,1,0,1,1,0,0
580,0,0,1,0,0,1,0,0,0,1
590,0,0,0,0,2,1,0,1,0,0
600,0,1,0,0,0,1,0,0,0,0
610,0,0,1,1,0,1,0,0,2,0
620,0,1,1,0,2,0,0,0,0,1
630,0,1,2,1,1,1,1,0,0,0
640,1,1,0,3,1,1,2,2,0,0
650,2,0,3,0,0,0,0,0,1,0
660,0,1,0,3,0,0,0,2,2,0
670,1,1,0,0,1,1,0,1,0,0
680,1,0,1,0,2,0,0,1,1,0
690,1,3,1,2,1,0,1,0,0,2
700,0,0,1,2,0,0,0,3,1,1
710,1,1,1,1,3,0,2,2,1,0
720,1,1,0,1,1,0,1,1,2,0
730,0,0,0,0,1,1,1,0,0,1
740,2,0,0,1,3,1,0,2,1,0
750,0,0,0,1,1,0,2,0,0,2
760,0,0,1,1,1,2,0,3,1,0
770,0,0,3,1,1,1,1,3,0,1
780,0,0,1,1,1,0,2,2,3,2
790,0,2,1,0,0,0,0,1,0,1
800,0,0,0,1,0,1,2,1,0,2
810,0,3,2,1,0,1,2,1,2,2
820,1,0,2,0,0,1,1,3,0,2
830,1,2,1,1,0,0,2,2,3,1
840,0,2,1,1,1,1,0,3,0,0
850,0,2,0,0,0,0,1,0,2,0
860,0,3,3,2,0,1,1,3,2,1
870,1,1,3,0,0,0,0,0,1,0
880,2,2,3,1,1,3,2,2,2,0
890,2,2,0,1,1,1,1,1,2,1
900,0,2,0,0,0,1,0,1,1,1
910,1,0,0,0,2,1,0,1,3,1
920,0,0,2,3,0,1,0,2,1,3
930,3,0,0,1,1,0,3,2,1,1
940,2,2,1,2,0,0,2,0,1,0
950,2,1,0,2,3,0,3,1,1,1
960,0,3,3,2,0,2,2,1,0,4
970,1,3,0,2,1,2,0,3,1,3
980,0,3,2,2,2,1,4,4,0,4
990,3,0,3,0,0,3,2,2,3,1
1000,3,1,2,3,3,0,1,0,0,3
1010,2,0,3,1,0,2,0,2,2,0
1020,0,2,0,0,1,1,1,2,1,4
1030,1,1,1,2,4,3,7,2,1,2
1040,2,1,4,2,2,3,0,1,1,1
1050,2,1,1,2,0,2,3,1,3,3
1060,0,1,3,2,2,2,1,2,0,0
1070,2,1,5,2,0,3,2,4,5,3
1080,5,2,8,3,0,3,1,3,2,5
1090,5,1,2,3,4,2,5,3,0,1
1100,5,4,3,3,4,3,3,2,2,1
1110,3,2,0,1,1,1,2,1,3,0
1120,6,4,2,3,2,1,4,4,3,2
1130,0,3,3,1,6,5,2,4,4,2
1140,0,3,1,4,3,4,4,0,0,1
1150,1,2,2,3,2,4,6,1,1,2
1160,2,3,2,1,2,5,2,3,4,7
1170,1,4,2,1,2,4,6,4,1,3
1180,2,1,7,2,3,2,2,2,1,3
1190,2,3,3,5,2,5,1,1,4,3
1200,4,2,7,5,3,4,2,6,9,4
1210,3,3,2,4,0,6,4,4,5,1
1220,4,7,3,3,4,3,3,4,2,2
1230,3,2,3,2,6,4,1,4,6,4
1240,2,5,3,4,2,3,5,3,3,8
1250,4,3,1,6,5,4,3,3,2,5
1260,5,6,7,4,4,3,5,6,6,4
1270,2,5,6,2,6,3,5,5,4,6
1280,6,6,3,2,5,6,4,6,4,5
1290,3,4,4,7,5,4,4,4,2,3
1300,4,7,5,4,4,8,6,4,6,5
1310,2,4,5,4,2,0,2,6,3,4
1320,5,5,5,5,4,4,6,5,2,5
1330,1,9,5,2,5,2,5,10,4,4
1340,5,8,5,2,6,7,4,5,7,4
1350,2,9,3,5,4,2,6,3,4,9
1360,6,5,1,5,5,4,1,7,3,7
1370,6,12,7,4,6,11,9,5,5,4
1380,4,5,5,4,2,4,3,3,7,4
1390,5,8,7,7,6,6,3,5,6,12
1400,8,12,5,4,7,4,6,10,8,4
1410,6,5,5,8,4,6,4,1,6,4
1420,6,8,2,8,3,7,5,14,6,4
1430,6,4,4,4,6,4,6,10,3,6
1440,4,10,4,7,3,5,8,7,3,10
1450,5,9,6,5,5,5,2,3,6,8
1460,10,6,9,9,10,13,6,3,5,9
1470,5,9,11,9,5,6,5,3,8,6
1480,5,9,6,2,7,11,6,8,4,11
1490,5,7,2,15,12,9,8,6,8,10
1500,6,6,6,7,6,10,6,5,9,3
1510,9,10,5,10,6,2,6,11,7,7
1520,7,7,5,12,10,9,8,11,7,12
1530,10,6,5,4,10,10,9,12,11,5
1540,10,7,3,7,4,13,4,9,5,7
1550,7,14,10,6,7,5,15,10,9,10
1560,12,9,5,13,5,10,11,9,9,6
1570,13,16,8,9,8,8,4,11,10,8
1580,5,5,11,9,13,7,10,9,12,8
1590,8,9,8,11,12,8,11,13,10,11
1600,14,8,13,6,10,5,14,10,14,5
1610,12,14,10,7,10,9,10,11,9,16
1620,9,8,18,9,11,9,9,9,8,12
