SPECTRUM,DATE,TIME,LIVE,REAL
202306161832_newGe_nreMCA_Co_8MeV-01-00.csv,23-06-16,18:28:03,214.68,215.76
RSV1,RSV2,RSV3,RSV4,RSV5,RSV6,RSV7,RSV8,RSV9,RSV10
1,2,3,4,5,6,7,8,9,10
PHA NO.,SEGMENT NO.,SIZE
01,00,4096

                                                               
CH,0,1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0
50,0,173,233,195,193,172,161,204,176,162
60,141,151,119,125,133,156,152,151,142,105
70,138,118,129,115,138,138,100,110,124,130
80,124,124,125,107,114,108,155,108,117,124
90,162,110,109,109,116,105,94,94,94,117
100,98,106,109,89,99,97,104,103,109,125
110,86,100,131,123,124,125,91,93,107,125
120,115,117,118,138,110,118,117,115,107,127
130,139,114,108,134,148,150,136,133,143,140
140,143,141,149,138,108,123,116,109,122,106
150,107,116,109,89,104,107,99,92,102,90
160,101,99,87,108,104,86,104,80,68,65
170,70,56,75,929,521,45,41,60,47,40
180,30,36,37,34,30,27,22,16,23,19
190,27,20,27,20,25,27,95,1128,48,12
200,17,7,9,15,7,14,12,9,12,16
210,7,9,8,11,11,20,241,23,7,4
220,3,3,8,9,5,5,2,4,7,3
230,7,3,7,5,4,11,6,9,7,3
240,6,3,3,3,6,3,4,5,6,4
250,4,7,3,2,0,3,8,2,4,2
260,1,21,5,1,5,4,0,1,11,1
270,4,3,4,2,4,0,0,1,1,1
280,4,3,3,2,4,1,2,1,6,2
290,4,3,2,3,2,2,2,6,3,4
300,2,3,2,0,3,2,2,2,3,3
310,2,4,1,5,2,2,2,3,4,3
320,4,1,1,1,5,1,5,3,0,3
330,1,0,3,1,5,4,1,3,4,3
340,2,7,3,1,1,1,3,2,2,3
350,6,2,1,3,0,1,0,1,1,1
360,0,0,1,1,0,0,3,2,1,1
370,1,11,1,0,1,0,0,0,0,1
380,1,1,1,0,0,0,2,14,8,0
390,0,0,0,0,0,1,1,0,0,0
400,0,0,0,0,2,2,0,1,1,2
410,0,2,0,2,0,0,0,0,1,0
420,0,0,0,0,1,1,0,1,0,1
430,0,0,1,0,0,0,0,0,0,0
440,0,1,1,0,1,0,2,0,0,1
450,0,1,2,0,0,1,0,0,1,0
460,0,0,2,0,0,0,1,0,0,1
470,0,0,0,0,0,1,0,2,0,2
480,0,0,0,0,0,0,0,0,1,0
490,2,0,0,0,0,0,1,0,0,0
500,0,0,0,0,0,0,0,0,1,1
510,0,0,0,2,0,1,0,1,0,0
520,1,0,1,0,1,2,0,2,1,0
530,0,1,0,0,1,3,2,1,0,1
540,1,1,0,0,1,1,2,4,0,1
550,0,0,0,0,0,1,1,0,0,0
560,0,0,3,0,0,0,0,2,1,0
570,0,0,0,1,0,0,1,0,2,0
580,0,0,0,1,2,0,0,1,0,0
590,1,1,2,3,0,0,1,0,3,0
600,0,1,0,0,0,0,0,0,1,2
610,1,0,0,0,1,1,0,1,2,0
620,0,1,0,0,1,1,0,0,0,1
630,2,0,0,0,2,2,2,2,0,2
640,1,1,0,2,0,1,1,0,0,3
650,0,0,2,1,6,1,0,2,0,0
660,1,1,1,1,0,0,1,0,1,1
670,0,0,0,2,2,1,1,1,0,1
680,1,1,1,1,2,1,1,1,2,0
690,1,1,0,1,0,3,0,2,0,0
700,0,1,1,2,0,4,2,0,3,0
710,1,2,0,2,3,2,2,1,1,2
720,0,0,1,2,1,0,0,4,2,2
730,1,1,0,2,1,1,0,3,4,3
740,2,0,3,2,4,4,1,3,0,0
750,1,1,3,2,1,2,1,1,2,1
760,1,3,1,2,1,1,2,1,0,4
770,0,0,2,2,2,3,4,3,3,0
780,2,1,3,1,2,0,0,1,0,2
790,2,1,0,1,2,2,3,3,5,2
800,3,0,2,0,4,1,3,1,2,2
810,3,1,2,1,3,0,1,2,1,0
820,0,4,2,2,0,2,4,4,2,4
830,2,2,2,2,1,0,3,3,2,3
840,2,0,0,2,4,5,1,6,1,4
850,1,5,2,0,4,1,1,2,1,0
860,2,2,0,3,0,1,1,1,1,2
870,2,3,6,0,5,1,1,1,2,2
880,2,5,2,2,3,5,2,0,2,2
890,3,2,1,2,3,2,1,0,3,1
900,2,4,3,1,4,4,1,1,7,4
910,1,2,2,3,8,1,1,4,3,3
920,4,3,2,8,4,2,3,3,1,2
930,3,3,3,3,1,5,5,7,6,3
940,4,1,0,1,2,5,4,4,3,4
950,7,4,2,4,3,3,1,5,0,3
960,4,1,4,3,8,5,1,6,2,7
970,4,2,2,1,3,3,4,4,1,3
980,2,3,6,1,3,6,4,4,7,7
990,6,1,5,3,1,7,8,2,5,5
1000,6,3,4,2,2,2,5,3,7,5
1010,4,8,6,8,5,2,3,6,4,4
1020,4,8,0,7,4,4,4,7,6,3
1030,7,4,4,2,5,5,6,9,7,8
1040,10,6,4,5,6,5,5,5,5,5
1050,4,4,6,10,4,5,8,6,5,6
1060,7,4,8,3,5,7,8,5,3,9
1070,4,4,8,10,18,7,6,6,9,11
1080,4,3,6,7,9,5,9,7,1,9
1090,5,8,5,5,10,6,4,11,15,7
1100,12,7,7,7,9,6,7,10,10,8
1110,8,17,12,9,12,6,10,11,10,8
1120,12,9,5,12,10,15,7,10,8,8
1130,9,6,10,13,11,14,11,7,11,15
1140,11,15,14,15,13,20,12,13,9,10
1150,8,23,12,13,9,11,19,15,19,16
1160,6,15,15,16,15,13,25,14,14,21
1170,14,22,22,26,19,16,23,22,20,18
1180,22,24,19,25,14,25,20,24,21,17
1190,20,24,28,21,25,18,23,21,19,16
1200,22,20,25,19,14,30,23,29,19,31
1210,24,32,16,32,38,38,53,60,64,106
1220,132,149,174,189,212,135,75,30,7,4
1230,0,0,0,0,0,0,0,0,1,0
1240,0,0,0,1,0,0,0,0,1,0
1250,1,0,0,0,0,0,0,0,0,0
1260,1,0,0,0,0,0,0,0,0,0
1270,0,0,0,0,0,0,0,0,0,0
1280,0,0,1,0,0,0,0,0,0,0
1290,0,0,0,0,0,0,0,0,0,1
1300,0,1,0,0,0,0,0,0,0,0
1310,0,0,0,0,0,0,0,0,0,1
1320,0,0,0,0,0,0,0,0,0,0
1330,0,0,0,0,1,0,0,0,0,0
1340,0,0,0,0,0,0,0,0,0,0
1350,0,0,1,0,0,0,0,0,0,0
1360,0,0,1,0,0,0,0,0,0,0
1370,0,0,0,0,0,0,0,0,1,0
1380,0,0,0,0,0,0,0,0,0,0
1390,0,0,0,0,0,0,0,0,0,1
1400,1,0,0,0,0,0,0,0,0,0
1410,0,0,0,0,0,0,0,0,0,0
1420,0,0,0,0,0,0,0,0,0,0
1430,0,0,0,0,0,1,0,0,0,0
1440,0,0,0,0,0,0,0,0,0,0
1450,0,0,0,0,0,1,0,0,0,0
1460,0,0,0,0,0,0,0,0,0,0
1470,0,0,0,0,2,0,0,0,1,0
1480,0,0,0,0,0,0,1,0,0,1
1490,0,0,1,0,0,0,0,0,0,0
1500,0,0,0,0,0,1,0,0,0,0
1510,0,0,0,0,0,0,0,0,0,0
1520,0,0,0,0,0,0,0,0,0,0
1530,0,0,1,0,0,0,0,0,0,0
1540,0,1,0,0,0,0,0,1,0,0
1550,0,0,1,0,0,0,1,0,0,0
1560,0,0,0,0,0,0,0,0,0,1
1570,0,0,0,0,0,0,0,0,1,0
1580,1,0,1,0,0,0,1,0,1,1
1590,0,0,1,0,0,0,0,1,0,0
1600,1,0,0,0,0,0,1,0,1,1
1610,0,0,0,0,0,1,0,0,0,0
1620,0,0,0,1,0,0,0,2,0,0
