SPECTRUM,DATE,TIME,LIVE,REAL
202306190438_newGe_newMCA_Co_15MeV-01-00.csv,23-06-19,04:17:20,1279.82,1286.22
RSV1,RSV2,RSV3,RSV4,RSV5,RSV6,RSV7,RSV8,RSV9,RSV10
1,2,3,4,5,6,7,8,9,10
PHA NO.,SEGMENT NO.,SIZE
01,00,4096

                                                               
CH,0,1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0
50,0,1026,1370,1046,1033,1046,969,938,1000,916
60,949,839,871,851,808,853,832,819,812,779
70,774,776,726,714,739,870,780,647,732,688
80,669,747,661,684,735,681,847,656,657,733
90,1042,677,607,629,646,624,592,642,649,619
100,663,667,645,668,640,610,634,636,618,654
110,635,615,593,684,688,654,616,657,611,663
120,697,682,739,630,724,751,709,719,709,718
130,711,792,774,765,892,858,811,847,876,827
140,871,930,863,819,683,720,679,634,673,673
150,657,635,667,620,640,646,623,630,615,625
160,581,624,605,611,625,643,544,467,431,429
170,415,410,471,5399,3239,310,322,286,273,244
180,255,249,231,238,194,177,169,132,139,146
190,169,153,165,138,166,179,464,6583,392,68
200,59,70,81,69,83,50,50,57,72,58
210,72,47,40,63,70,120,1532,124,26,40
220,33,34,33,47,32,30,25,25,45,32
230,27,26,30,29,39,47,22,31,31,28
240,31,28,18,18,18,18,23,27,15,16
250,22,24,12,13,17,19,30,12,23,22
260,23,122,21,21,17,17,14,18,13,24
270,12,12,23,27,18,17,20,15,19,18
280,18,19,15,19,14,20,18,15,12,15
290,22,14,19,17,18,23,8,17,18,18
300,13,12,12,14,17,15,12,15,14,5
310,16,26,20,18,14,10,19,13,21,11
320,12,20,15,14,22,13,32,26,13,14
330,13,16,17,7,9,19,13,23,14,18
340,13,6,14,14,17,19,11,9,11,10
350,15,19,7,13,8,10,8,7,7,0
360,7,9,8,4,4,9,1,7,4,6
370,5,42,9,2,4,2,1,1,4,6
380,0,4,2,4,1,2,4,113,14,0
390,2,0,1,0,0,1,0,0,2,0
400,0,0,0,0,1,1,1,0,1,0
410,1,1,0,0,3,0,1,2,0,1
420,0,0,0,0,0,0,1,0,0,0
430,0,3,0,1,0,0,1,1,1,0
440,0,1,0,1,3,1,1,0,0,1
450,1,0,0,1,0,1,0,0,0,0
460,2,0,0,0,1,1,0,1,1,0
470,2,2,1,1,2,0,2,0,0,0
480,0,0,1,1,0,0,2,2,1,0
490,0,0,0,1,1,1,0,1,0,2
500,1,0,0,0,0,1,0,0,0,3
510,1,3,2,0,0,1,0,1,4,1
520,0,1,1,1,5,1,2,1,1,0
530,3,1,1,0,1,2,0,1,1,1
540,0,1,1,1,0,0,2,0,1,0
550,2,1,1,0,0,1,0,1,1,0
560,1,1,3,1,3,1,3,0,2,1
570,2,0,1,0,1,2,1,1,1,0
580,2,1,0,0,2,3,1,0,1,1
590,1,0,0,0,1,0,1,0,0,0
600,1,1,0,1,2,3,1,0,2,1
610,0,1,1,2,1,2,1,0,2,0
620,4,0,0,0,2,0,0,1,1,1
630,1,0,0,0,1,2,1,2,1,1
640,0,0,2,3,0,1,1,1,0,0
650,1,1,4,1,3,0,1,2,2,3
660,2,0,5,0,3,0,0,0,0,0
670,1,4,0,1,0,2,2,3,2,1
680,3,1,3,1,1,1,0,0,1,0
690,1,1,3,4,0,0,0,0,1,0
700,1,0,2,0,0,1,3,0,0,1
710,3,2,1,3,1,1,0,0,0,2
720,4,3,2,0,2,1,2,3,0,1
730,0,0,1,0,0,1,3,1,1,0
740,1,1,2,1,0,0,0,1,1,0
750,3,3,3,2,1,2,2,3,3,1
760,0,2,0,1,0,1,0,2,5,1
770,0,1,1,1,1,2,2,0,2,2
780,3,0,4,1,1,1,2,3,0,5
790,0,2,3,3,2,2,1,1,1,0
800,1,2,2,1,0,3,3,3,2,2
810,3,3,2,4,4,3,2,0,1,3
820,0,3,2,2,1,2,5,2,1,2
830,4,2,4,2,3,0,1,3,1,3
840,3,7,2,2,3,4,1,1,2,4
850,3,2,0,5,5,6,5,3,4,3
860,3,1,4,3,3,2,0,0,3,1
870,2,6,3,3,3,3,0,1,5,1
880,1,1,1,1,2,4,5,3,4,1
890,4,4,1,1,2,3,2,2,4,2
900,3,3,8,3,2,5,1,4,2,6
910,4,8,5,2,2,3,5,6,3,4
920,4,4,7,6,2,3,3,6,5,4
930,8,11,2,5,3,0,4,3,5,4
940,4,3,5,10,5,9,5,5,4,7
950,2,3,2,3,5,3,2,4,5,4
960,5,11,3,8,4,3,7,6,7,4
970,3,9,7,7,8,7,3,8,8,5
980,5,7,4,6,1,2,4,3,1,6
990,8,7,8,3,3,4,9,3,4,6
1000,3,9,4,6,7,7,6,6,2,6
1010,11,11,7,4,2,9,3,9,5,5
1020,2,6,7,5,10,5,5,9,7,9
1030,9,7,8,4,9,5,6,3,9,4
1040,4,2,3,7,9,8,6,4,7,3
1050,6,4,5,5,8,4,8,7,4,6
1060,4,10,8,10,5,5,9,10,5,5
1070,9,10,8,6,6,5,7,6,9,8
1080,11,10,8,6,6,6,5,2,8,5
1090,6,10,10,9,1,9,9,8,6,8
1100,3,5,15,4,9,6,6,12,5,11
1110,8,8,6,6,6,6,8,16,6,10
1120,8,3,5,9,7,5,8,6,11,8
1130,7,6,4,8,10,10,6,8,10,8
1140,3,9,5,4,9,6,10,1,10,5
1150,2,6,7,7,6,10,10,10,9,6
1160,10,14,8,10,5,6,7,9,9,8
1170,7,8,8,7,8,7,6,10,6,12
1180,7,7,12,4,8,13,14,13,12,8
1190,8,7,8,9,6,10,11,13,10,6
1200,9,6,7,9,10,12,9,10,7,11
1210,7,9,7,8,6,6,10,17,11,6
1220,9,8,8,13,7,10,7,13,10,14
1230,9,11,13,6,10,7,8,11,17,10
1240,10,9,11,8,14,10,10,11,6,4
1250,11,8,11,11,13,8,9,15,18,14
1260,10,12,9,9,10,7,9,11,10,16
1270,7,14,12,10,11,11,8,7,7,8
1280,15,10,11,9,11,10,9,12,9,12
1290,19,14,5,13,9,14,7,14,11,5
1300,10,13,11,5,7,8,4,6,6,20
1310,10,9,7,6,17,13,10,16,10,7
1320,10,9,9,6,10,12,17,13,9,14
1330,10,15,15,12,7,12,11,6,12,17
1340,6,9,13,17,17,12,10,16,11,9
1350,11,13,10,8,12,10,11,13,9,11
1360,11,8,16,13,8,10,12,15,8,12
1370,7,8,11,12,15,10,21,10,8,8
1380,13,14,8,15,9,8,15,7,10,7
1390,10,10,11,14,11,20,12,9,11,13
1400,13,8,10,10,10,18,22,13,16,12
1410,9,14,10,10,15,10,13,15,10,6
1420,17,11,8,5,17,14,10,9,6,6
1430,14,10,8,16,14,14,12,11,6,8
1440,14,10,12,16,12,11,11,5,17,8
1450,13,14,9,16,13,21,12,13,11,8
1460,11,10,13,17,9,14,17,8,17,16
1470,15,17,13,15,12,14,17,12,15,14
1480,12,9,14,11,14,13,11,11,9,20
1490,14,17,13,10,18,16,13,12,18,18
1500,13,13,10,14,10,10,18,8,20,10
1510,17,11,7,12,16,11,12,16,12,10
1520,12,16,13,11,18,15,11,8,6,12
1530,13,16,17,11,15,12,12,9,8,12
1540,9,17,9,15,12,12,18,13,12,15
1550,18,9,12,10,13,7,10,14,12,17
1560,16,12,13,12,11,17,12,11,15,13
1570,10,22,17,5,11,12,12,20,11,12
1580,12,14,13,17,17,13,11,10,15,14
1590,15,12,16,12,18,15,11,14,9,20
1600,17,13,20,11,11,13,16,13,17,18
1610,14,13,14,22,13,16,15,17,19,12
1620,13,12,18,17,13,14,10,13,17,16
