SPECTRUM,DATE,TIME,LIVE,REAL
20230620_newGe_newMCA_Co_8MeV-01-00.csv,23-06-20,22:14:43,320.1,321.52
RSV1,RSV2,RSV3,RSV4,RSV5,RSV6,RSV7,RSV8,RSV9,RSV10
1,2,3,4,5,6,7,8,9,10
PHA NO.,SEGMENT NO.,SIZE
01,00,4096

                                                               
CH,0,1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0
50,0,234,361,263,257,248,248,249,222,223
60,220,219,199,199,192,192,199,189,198,207
70,165,190,204,165,201,194,146,159,197,193
80,159,150,135,153,169,168,215,182,160,207
90,259,166,169,179,157,153,149,159,162,179
100,156,146,164,149,151,141,157,168,177,154
110,141,157,152,176,158,159,162,145,178,194
120,171,182,178,155,194,195,204,180,205,187
130,200,191,188,179,239,253,222,197,218,262
140,221,252,230,198,189,180,167,145,167,182
150,159,187,158,177,146,171,161,171,118,156
160,161,173,126,182,139,135,139,107,108,104
170,122,118,121,1462,745,79,84,58,65,92
180,64,68,50,60,57,43,37,35,33,24
190,41,32,36,38,31,32,124,1787,62,16
200,20,15,11,16,25,17,18,16,19,12
210,7,14,20,18,16,26,414,29,7,7
220,7,5,17,9,7,8,5,4,6,4
230,6,10,6,12,11,10,11,5,10,6
240,8,10,6,7,11,7,5,2,5,4
250,4,5,6,2,3,8,8,5,6,1
260,8,34,5,6,7,2,5,1,2,3
270,4,6,7,6,3,9,3,4,5,6
280,3,4,5,4,2,4,4,2,2,4
290,9,7,2,1,2,2,1,1,2,4
300,2,2,4,2,1,2,0,3,2,3
310,7,9,6,7,5,1,4,6,3,2
320,5,3,7,10,4,3,11,7,4,5
330,4,3,3,2,5,3,5,1,5,7
340,3,5,6,4,7,2,3,2,3,0
350,1,1,4,1,1,4,0,0,2,0
360,0,0,4,3,1,2,2,2,3,1
370,2,19,0,1,0,2,1,0,0,0
380,0,1,1,1,1,0,4,36,6,0
390,0,2,0,1,0,0,0,0,0,0
400,0,0,0,0,0,0,0,0,0,0
410,1,0,1,1,0,1,0,0,1,0
420,0,0,0,0,2,1,0,1,0,0
430,0,0,1,0,0,2,0,0,0,0
440,0,0,0,0,1,1,0,2,0,1
450,0,0,1,0,0,0,0,0,0,0
460,0,0,1,0,0,0,0,0,1,0
470,0,1,0,0,1,0,2,0,1,0
480,1,0,0,1,2,0,1,0,1,0
490,1,0,1,0,0,1,0,1,0,1
500,0,0,0,1,2,1,2,0,0,2
510,1,0,1,2,0,0,0,1,0,1
520,0,1,0,0,1,0,0,0,0,0
530,0,0,0,0,0,0,2,0,0,0
540,0,0,1,1,1,3,2,1,1,0
550,0,0,0,0,2,2,0,0,1,0
560,2,1,0,0,0,1,0,0,1,1
570,0,2,0,1,2,0,1,2,0,0
580,0,2,1,2,1,0,0,1,0,1
590,2,0,2,0,0,0,0,1,1,0
600,2,0,0,2,0,0,3,1,1,2
610,1,2,1,1,2,1,0,0,0,1
620,0,2,3,0,2,1,0,0,2,1
630,1,0,0,1,1,1,2,1,2,3
640,2,1,0,0,3,1,1,1,1,2
650,1,0,0,3,0,1,1,1,0,3
660,1,2,1,0,1,0,0,1,3,1
670,1,2,1,2,0,0,0,3,3,3
680,1,1,2,1,1,2,3,0,0,1
690,0,1,1,3,1,2,1,1,0,0
700,1,1,2,3,1,0,0,1,1,0
710,0,2,2,2,0,0,0,0,1,0
720,1,4,0,0,0,1,1,2,0,2
730,2,0,3,1,0,0,1,4,1,2
740,1,0,0,1,1,1,0,1,0,1
750,0,3,1,3,1,3,0,2,0,0
760,0,0,0,1,1,3,2,1,2,3
770,1,1,2,4,1,1,4,0,2,1
780,1,2,2,2,0,4,2,3,2,3
790,2,0,2,2,0,1,3,1,2,1
800,1,0,1,2,0,2,2,1,3,2
810,2,1,3,1,0,4,1,1,0,1
820,0,1,4,0,3,1,0,1,2,1
830,2,3,2,1,0,1,3,1,4,2
840,1,1,1,2,2,2,4,0,3,0
850,2,2,2,2,2,2,1,1,4,2
860,1,2,1,2,1,2,1,5,3,2
870,2,2,3,1,2,1,5,2,1,6
880,0,2,2,1,4,2,4,2,4,0
890,3,2,0,1,3,3,3,1,6,2
900,3,2,2,4,2,3,1,6,3,1
910,4,2,2,2,3,4,0,2,2,1
920,4,4,1,2,5,2,4,2,3,2
930,7,1,4,10,1,3,2,5,7,3
940,4,5,0,3,2,5,8,3,4,2
950,3,1,3,1,5,7,3,0,2,8
960,2,4,2,5,1,3,4,3,4,2
970,4,3,3,4,2,3,3,2,1,6
980,3,5,3,3,4,4,8,6,2,4
990,2,4,6,1,4,5,2,4,6,4
1000,4,7,7,1,3,5,6,1,4,4
1010,5,3,5,3,8,3,3,4,4,5
1020,8,8,0,1,4,6,6,0,3,4
1030,5,3,1,8,7,4,2,5,3,3
1040,3,1,3,5,3,3,6,4,5,6
1050,9,7,4,13,5,9,1,12,2,8
1060,5,7,4,7,7,5,6,4,6,3
1070,5,3,5,9,10,8,8,5,7,2
1080,4,5,8,5,6,4,6,7,8,7
1090,5,7,8,10,7,5,7,8,11,14
1100,7,9,8,7,10,13,7,8,7,4
1110,6,6,6,6,15,15,11,12,10,15
1120,7,12,15,7,9,13,7,9,17,9
1130,15,15,7,15,21,15,11,12,14,13
1140,14,14,12,14,16,15,10,15,12,14
1150,14,18,15,8,15,15,18,10,14,15
1160,13,16,19,14,13,22,8,18,20,16
1170,20,20,21,12,15,24,27,21,22,28
1180,25,13,18,28,22,25,31,19,15,21
1190,19,28,27,24,29,28,22,17,26,35
1200,26,25,19,18,20,23,21,26,22,22
1210,28,30,38,45,52,68,103,84,134,171
1220,206,209,189,123,69,23,3,0,0,0
1230,1,1,0,0,0,0,0,0,0,0
1240,1,0,1,0,1,0,0,0,0,0
1250,0,0,0,0,0,0,0,0,0,0
1260,0,0,1,0,0,0,1,0,0,0
1270,0,0,0,0,0,0,0,0,0,0
1280,0,0,0,0,0,0,0,0,0,0
1290,0,0,0,0,0,0,0,0,0,0
1300,0,0,0,0,0,0,0,0,0,0
1310,0,0,0,0,0,0,0,0,0,1
1320,0,0,0,0,0,0,0,0,0,0
1330,0,0,0,0,0,0,0,0,0,0
1340,0,0,0,0,0,0,0,0,0,0
1350,0,0,0,0,0,0,0,0,0,0
1360,0,0,0,0,0,0,0,0,0,0
1370,0,0,0,0,0,0,0,0,0,0
1380,0,0,0,0,0,0,0,0,0,0
1390,0,0,0,0,0,0,1,0,0,0
1400,1,0,0,0,0,0,0,0,0,0
1410,0,0,0,0,0,0,0,0,0,0
1420,0,0,0,0,0,0,0,0,0,0
1430,0,0,0,0,0,0,0,0,0,0
1440,0,0,0,1,0,0,0,0,0,0
1450,0,0,0,0,0,0,0,0,0,0
1460,0,0,0,0,0,0,0,0,0,0
1470,0,0,0,0,0,0,0,0,0,0
1480,0,0,0,0,0,0,0,0,0,0
1490,0,0,0,0,0,0,0,0,0,0
1500,0,0,0,0,1,0,0,0,0,0
1510,0,0,0,0,0,0,0,0,0,0
1520,0,0,0,0,0,0,0,0,0,0
1530,1,0,0,0,0,0,0,0,0,0
1540,0,0,1,0,0,0,0,0,0,0
1550,0,0,0,0,0,0,0,0,0,0
1560,0,0,0,0,0,0,0,0,0,0
1570,0,0,0,0,0,0,0,0,0,0
1580,0,0,0,0,0,0,0,1,0,0
1590,0,0,0,0,0,0,0,0,0,0
1600,0,0,0,0,0,0,0,0,0,0
1610,0,0,0,0,0,0,0,0,0,0
1620,0,0,0,0,0,0,0,0,0,1
