SPECTRUM,DATE,TIME,LIVE,REAL
SPC01202306210151_newGe_newMCA_Co_15MeV-01-00.csv,23-06-21,01:18:39,1932.28,1941.48
RSV1,RSV2,RSV3,RSV4,RSV5,RSV6,RSV7,RSV8,RSV9,RSV10
1,2,3,4,5,6,7,8,9,10
PHA NO.,SEGMENT NO.,SIZE
01,00,4096

                                                               
CH,0,1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0
50,0,1576,2088,1579,1621,1480,1465,1405,1402,1326
60,1395,1304,1321,1222,1261,1260,1205,1178,1221,1137
70,1172,1186,1106,1082,1112,1316,1140,1054,994,973
80,1063,987,1040,1011,1001,1031,1242,984,999,1088
90,1527,1048,969,1001,976,964,996,937,1025,916
100,912,885,963,1001,1021,897,964,990,979,933
110,989,1052,995,1028,1026,986,1044,1018,974,1040
120,1011,1035,1074,1083,1079,1108,1112,1135,1108,1083
130,1151,1156,1201,1204,1346,1366,1276,1295,1368,1369
140,1390,1363,1361,1280,1094,1065,1045,1022,1015,1018
150,1083,1017,1001,980,983,1039,975,917,962,985
160,964,933,963,969,963,921,788,678,650,662
170,651,645,751,9267,4435,479,439,445,436,380
180,336,319,368,374,281,250,227,227,232,231
190,197,222,217,196,214,235,834,10585,480,126
200,111,107,90,92,129,97,78,104,117,84
210,111,113,82,96,96,200,2360,178,49,49
220,46,54,53,68,46,42,39,43,63,43
230,46,58,35,40,48,61,48,51,32,37
240,40,35,37,42,35,38,33,25,26,27
250,21,24,17,28,33,23,42,29,32,32
260,31,153,28,24,28,18,24,38,28,28
270,22,31,32,37,25,37,22,26,23,14
280,35,26,25,33,27,23,34,24,30,34
290,21,21,30,26,30,30,23,25,20,21
300,16,17,21,23,20,24,17,19,24,18
310,16,41,25,27,31,22,23,26,15,17
320,28,16,27,18,21,23,56,22,14,18
330,19,31,26,17,25,17,25,26,24,17
340,15,9,19,12,11,19,20,18,15,9
350,18,20,18,18,12,11,16,6,6,12
360,11,7,18,14,6,12,6,7,7,11
370,12,99,8,4,2,3,2,1,2,1
380,2,4,4,1,3,2,0,186,17,3
390,1,0,0,0,0,2,1,0,0,1
400,2,0,1,1,1,1,2,2,1,2
410,2,0,0,0,0,0,0,1,1,1
420,1,1,0,0,2,1,1,2,1,0
430,2,1,2,1,0,1,0,1,1,1
440,2,0,1,2,0,0,1,0,0,1
450,2,1,2,0,2,1,0,0,0,1
460,0,2,0,0,0,1,3,1,2,1
470,0,0,0,0,1,3,2,1,1,1
480,2,1,0,1,1,1,1,0,0,0
490,0,0,1,0,0,0,0,1,0,0
500,1,1,1,0,0,1,0,2,0,1
510,0,0,1,0,1,1,0,1,0,0
520,0,1,2,1,0,1,0,3,0,1
530,0,1,0,0,1,2,0,0,0,1
540,0,0,0,0,1,0,1,1,0,1
550,0,0,2,1,0,0,1,0,0,2
560,3,0,2,0,0,0,0,0,0,0
570,0,1,2,0,1,1,1,1,1,1
580,0,2,2,4,2,2,2,2,1,0
590,1,0,1,0,1,0,2,0,2,0
600,0,2,0,0,1,1,1,2,0,3
610,2,2,0,1,2,1,2,1,1,3
620,2,0,1,2,0,2,1,2,1,1
630,1,0,1,1,0,1,1,1,3,2
640,2,1,1,3,1,0,0,3,1,5
650,1,1,1,0,1,1,2,2,1,1
660,2,3,2,3,1,0,0,0,2,1
670,0,0,2,3,1,2,0,2,0,1
680,1,2,2,2,2,3,1,0,0,0
690,1,0,3,3,4,5,2,1,1,0
700,1,2,2,1,1,2,1,0,2,0
710,1,0,2,2,3,0,3,0,0,3
720,4,3,2,1,1,4,2,1,1,3
730,5,0,4,1,1,4,2,5,0,1
740,4,1,0,4,3,3,4,6,8,10
750,6,4,1,4,4,4,1,6,3,3
760,0,1,6,3,2,4,2,5,4,6
770,5,6,4,5,5,1,2,3,5,6
780,5,4,2,4,6,3,3,4,2,8
790,1,4,4,6,2,5,5,8,7,8
800,7,6,4,4,7,6,4,5,5,3
810,3,5,6,10,5,5,8,9,7,7
820,6,9,5,8,9,2,5,5,2,4
830,9,6,3,6,4,6,6,4,5,11
840,5,4,5,5,8,8,4,9,4,8
850,1,10,4,10,6,4,3,7,8,4
860,5,7,4,8,4,4,10,5,6,14
870,6,8,7,5,13,17,7,4,11,15
880,7,8,13,4,4,6,9,6,9,8
890,6,9,9,14,8,5,4,7,6,10
900,7,15,5,8,6,5,7,13,7,7
910,7,9,12,5,9,9,8,6,9,1
920,8,6,11,12,10,7,9,12,11,6
930,10,11,7,12,12,10,11,12,14,12
940,7,9,6,9,7,9,13,5,12,11
950,7,9,11,9,11,8,9,12,8,4
960,8,9,6,10,9,15,7,8,8,6
970,17,7,9,10,6,16,16,8,5,13
980,9,16,11,13,7,10,14,10,13,13
990,12,14,11,14,6,10,9,8,14,13
1000,16,5,13,12,7,7,16,8,9,13
1010,8,13,10,9,17,12,17,19,10,14
1020,9,7,11,15,11,4,12,13,11,12
1030,4,13,12,10,12,8,10,15,8,8
1040,15,12,11,10,14,8,6,15,9,14
1050,10,15,7,5,12,15,7,10,6,15
1060,16,16,17,7,17,15,14,12,8,11
1070,10,12,11,12,9,14,11,10,14,18
1080,8,12,15,11,10,11,13,14,10,11
1090,11,10,14,15,8,9,20,18,13,14
1100,14,18,10,13,17,12,12,9,15,10
1110,11,11,12,12,8,10,11,11,12,17
1120,7,11,8,20,13,12,12,11,19,16
1130,11,16,13,13,9,13,18,17,17,14
1140,19,12,12,8,20,14,17,12,17,13
1150,13,11,9,16,9,6,13,16,13,10
1160,17,12,16,21,11,18,12,17,22,11
1170,7,12,19,17,17,15,10,13,13,13
1180,8,11,13,8,11,17,11,11,16,13
1190,20,14,14,10,13,20,12,20,14,7
1200,16,14,15,13,8,20,9,11,16,14
1210,13,10,15,14,6,12,17,16,15,15
1220,18,21,9,6,19,7,17,9,18,13
1230,16,17,17,15,18,7,8,13,17,16
1240,15,15,16,12,13,18,15,20,13,13
1250,15,13,16,13,14,10,11,12,15,14
1260,15,17,12,18,16,14,7,15,15,27
1270,12,20,17,12,18,16,11,9,20,16
1280,21,11,16,13,8,18,21,18,15,11
1290,15,20,7,16,11,20,8,21,14,11
1300,19,17,13,17,9,13,17,9,10,11
1310,11,12,14,14,13,12,9,24,8,12
1320,17,10,16,17,12,13,18,11,16,16
1330,15,22,14,16,11,15,20,20,20,15
1340,18,8,17,18,17,8,10,10,17,14
1350,15,16,16,21,13,16,9,15,14,19
1360,14,11,15,18,17,16,14,19,11,11
1370,22,18,10,16,18,19,16,9,12,17
1380,14,15,12,18,15,13,17,10,14,12
1390,23,20,20,20,16,12,21,14,17,21
1400,14,16,19,16,12,16,14,16,17,16
1410,8,11,19,14,12,18,14,13,18,16
1420,16,14,11,22,14,10,15,14,13,18
1430,14,19,13,16,9,17,16,17,21,11
1440,20,16,17,12,12,15,10,22,15,15
1450,10,15,17,14,18,16,18,20,12,16
1460,16,13,9,19,21,21,13,20,13,14
1470,26,8,20,13,16,11,17,27,16,15
1480,12,14,19,17,19,14,18,20,17,17
1490,11,18,16,9,5,18,16,17,23,20
1500,16,10,14,13,20,24,30,18,20,19
1510,16,10,14,12,22,19,16,27,16,15
1520,23,18,15,13,13,23,10,14,22,22
1530,21,18,16,21,19,19,30,13,12,18
1540,15,13,22,18,21,13,16,25,14,14
1550,16,20,17,14,12,12,17,24,19,19
1560,27,20,12,18,21,16,20,19,30,16
1570,13,7,13,15,19,20,19,19,28,15
1580,24,22,16,20,15,17,23,11,12,19
