SPECTRUM,DATE,TIME,LIVE,REAL
202306220815_newGe_newMCA_Co_15MeV-01-00.csv,23-06-22,07:55:20,1180.5,1186.78
RSV1,RSV2,RSV3,RSV4,RSV5,RSV6,RSV7,RSV8,RSV9,RSV10
1,2,3,4,5,6,7,8,9,10
PHA NO.,SEGMENT NO.,SIZE
01,00,4096

                                                               
CH,0,1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0
50,0,980,1250,1024,1013,939,957,941,887,893
60,867,819,815,803,794,774,774,735,744,753
70,752,713,723,698,683,818,684,697,652,667
80,622,714,666,631,670,681,779,676,602,697
90,912,583,590,603,602,639,619,595,629,641
100,610,592,613,626,651,605,620,660,619,615
110,616,596,657,664,619,671,649,662,642,675
120,699,655,693,696,713,732,724,756,752,726
130,780,719,818,813,854,874,802,848,884,920
140,917,850,877,808,726,717,694,689,691,666
150,668,668,621,654,654,598,585,635,624,634
160,579,572,587,679,601,608,548,434,450,397
170,417,442,468,5999,3126,281,270,297,274,227
180,245,225,208,264,174,145,155,158,143,164
190,131,110,157,136,137,149,543,7249,344,88
200,66,72,57,42,70,62,70,73,65,61
210,42,67,56,49,64,121,1410,83,30,32
220,33,21,31,45,38,18,38,35,33,30
230,21,20,20,28,34,48,41,27,21,18
240,34,25,31,20,25,19,27,15,11,25
250,20,18,10,21,18,19,36,26,14,14
260,26,90,22,18,20,8,13,17,12,14
270,21,14,13,32,19,14,19,18,22,16
280,14,18,10,14,14,15,17,13,12,16
290,17,16,13,10,14,17,12,11,14,21
300,16,14,24,14,15,14,14,11,12,23
310,16,28,18,21,21,11,21,13,14,11
320,13,19,10,11,20,17,26,17,15,14
330,10,21,22,13,18,15,12,18,16,22
340,14,11,11,13,8,14,14,9,6,11
350,14,13,15,13,9,14,7,7,3,8
360,6,1,7,12,5,8,6,8,2,7
370,10,80,2,1,0,2,4,0,4,2
380,4,1,1,1,5,1,7,109,14,0
390,1,0,0,0,0,0,0,0,0,0
400,2,0,0,0,0,1,0,0,1,1
410,1,2,1,1,0,0,1,0,0,1
420,1,0,0,1,1,0,0,0,1,0
430,0,1,1,0,2,0,2,0,0,0
440,0,0,0,2,2,0,2,0,0,0
450,1,0,0,1,1,0,1,1,0,0
460,0,0,2,1,1,0,0,1,0,0
470,1,1,0,1,0,0,0,0,0,0
480,0,1,0,0,2,0,0,1,1,0
490,1,0,1,0,0,0,0,1,2,0
500,2,0,1,0,2,0,1,0,0,0
510,0,0,0,0,0,0,1,2,0,2
520,2,2,0,0,2,1,0,2,0,0
530,2,0,2,0,0,2,0,0,1,0
540,2,0,0,0,2,1,1,1,0,0
550,1,0,0,0,0,0,0,0,1,0
560,0,1,0,0,0,0,0,0,1,0
570,0,1,2,0,0,2,1,1,0,1
580,1,0,0,2,1,3,1,0,1,1
590,1,0,1,0,2,0,0,0,1,0
600,0,0,0,0,1,1,1,1,1,1
610,2,0,1,1,2,1,3,0,0,1
620,1,0,2,0,2,1,0,1,1,0
630,2,1,1,0,1,1,1,0,0,0
640,1,2,1,3,0,1,4,0,1,2
650,0,0,1,0,1,0,1,1,1,0
660,0,0,0,2,1,2,1,2,0,0
670,0,2,0,1,0,0,0,0,0,3
680,0,1,2,0,0,1,0,0,1,1
690,0,0,1,0,1,1,1,0,0,2
700,1,1,0,1,1,1,0,2,2,2
710,1,0,1,0,2,1,1,1,0,2
720,2,1,1,2,2,0,2,2,0,1
730,0,0,0,2,1,1,1,0,1,2
740,1,0,1,1,1,1,2,1,0,1
750,2,4,0,3,1,1,2,1,0,1
760,1,2,3,2,4,3,2,0,0,0
770,3,0,1,1,1,1,0,2,2,1
780,1,1,1,0,3,3,3,2,1,1
790,0,2,4,0,1,0,0,0,0,3
800,4,0,0,1,1,1,0,0,1,2
810,0,1,1,2,2,0,3,2,1,1
820,0,0,3,2,2,3,0,0,2,0
830,2,0,2,2,2,0,0,1,2,1
840,1,0,2,1,0,0,1,2,3,3
850,1,1,2,3,2,1,2,1,1,2
860,4,1,0,0,1,1,2,1,2,0
870,1,1,0,4,0,0,2,2,1,2
880,3,3,2,3,1,1,3,4,1,1
890,2,2,3,1,4,1,4,3,2,0
900,3,2,1,1,1,4,4,2,3,1
910,3,3,4,1,4,3,2,4,2,2
920,3,2,0,2,4,1,5,3,5,1
930,5,1,0,3,2,2,4,4,3,3
940,1,0,2,1,1,3,3,6,4,1
950,0,3,5,1,2,4,5,3,4,4
960,5,3,7,2,1,2,2,2,3,3
970,2,4,0,5,3,4,5,2,3,4
980,4,5,3,4,3,8,2,0,3,1
990,6,3,0,1,4,4,1,1,4,2
1000,3,4,7,5,6,5,6,4,6,4
1010,2,3,4,7,3,4,0,2,1,0
1020,3,5,6,5,5,5,5,4,2,5
1030,4,6,5,4,6,4,4,4,5,2
1040,4,6,10,4,2,6,3,5,3,4
1050,6,4,5,5,6,6,1,1,2,4
1060,2,5,4,7,1,8,6,4,7,1
1070,5,3,8,2,5,2,8,5,3,6
1080,5,5,3,1,4,5,3,7,5,5
1090,4,4,6,6,3,4,12,5,8,7
1100,3,8,6,5,5,4,5,8,1,2
1110,6,4,4,5,3,7,7,2,2,6
1120,7,4,3,12,5,5,5,7,7,4
1130,5,5,9,5,8,4,6,5,8,4
1140,8,6,12,2,6,7,2,5,3,7
1150,4,4,4,5,11,8,7,3,12,3
1160,11,4,6,5,4,6,6,10,2,9
1170,6,7,6,7,10,11,11,6,7,7
1180,6,6,1,6,8,7,6,12,4,8
1190,10,5,8,7,6,7,8,4,7,11
1200,7,8,7,7,4,8,8,10,7,3
1210,10,6,4,9,11,8,6,5,6,8
1220,9,9,5,7,4,11,8,11,9,7
1230,7,3,10,9,12,7,7,7,5,11
1240,16,3,6,6,12,5,7,4,9,8
1250,8,7,8,9,9,8,9,11,9,8
1260,4,7,7,7,7,10,8,16,7,6
1270,13,5,7,9,9,10,6,9,8,9
1280,2,6,6,11,9,7,5,9,6,11
1290,4,12,2,12,9,5,7,13,10,8
1300,10,8,7,2,14,6,13,10,9,4
1310,7,11,9,7,11,7,3,8,13,7
1320,8,11,1,8,4,10,8,8,9,8
1330,13,2,7,12,2,8,6,10,6,13
1340,4,10,7,13,8,7,12,12,6,11
1350,5,13,6,10,5,13,6,10,14,7
1360,6,7,9,10,7,10,11,13,9,19
1370,12,7,8,15,12,18,11,7,12,7
1380,7,11,12,11,12,10,6,10,10,6
1390,11,9,9,10,14,16,7,7,6,8
1400,10,14,15,15,10,11,10,8,17,5
1410,6,11,14,9,9,6,6,4,11,7
1420,10,15,8,7,7,8,9,8,5,10
1430,8,9,12,7,15,9,8,10,15,15
1440,5,13,7,9,13,19,12,13,14,9
1450,8,7,16,6,9,10,8,11,6,10
1460,14,14,13,11,4,14,7,9,7,14
1470,8,15,15,17,13,13,6,10,7,14
1480,9,7,12,8,11,9,13,14,8,12
1490,9,11,10,9,10,15,18,14,12,7
1500,10,8,12,7,16,9,10,4,5,9
1510,8,16,17,9,12,8,8,13,18,18
1520,11,12,13,13,13,6,15,11,13,12
1530,7,8,14,7,8,15,10,13,10,8
1540,13,9,5,13,6,5,11,7,8,8
1550,10,14,8,15,11,14,11,9,12,8
1560,14,9,10,10,7,9,14,18,13,16
1570,9,9,6,12,7,14,12,7,10,6
1580,14,10,12,10,14,9,21,9,9,13
1590,11,11,12,9,15,18,14,14,13,14
1600,17,13,12,13,19,7,8,8,7,17
1610,4,13,15,12,11,18,13,14,9,10
1620,11,9,15,17,14,16,14,10,14,17
