SPECTRUM,DATE,TIME,LIVE,REAL
20230622_x-8z-12_08MeV_newGe_newMCA_Co-01-00.csv,23-06-22,12:54:20,367.16,368.86
RSV1,RSV2,RSV3,RSV4,RSV5,RSV6,RSV7,RSV8,RSV9,RSV10
1,2,3,4,5,6,7,8,9,10
PHA NO.,SEGMENT NO.,SIZE
01,00,4096

                                                               
CH,0,1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0
50,0,287,404,296,292,274,293,283,277,295
60,297,257,241,259,245,222,236,232,237,268
70,240,210,243,223,229,262,239,224,197,228
80,206,202,224,212,191,208,231,208,187,221
90,314,207,198,187,190,199,176,198,186,196
100,213,215,218,204,196,173,183,188,175,212
110,170,215,204,200,230,209,214,210,209,219
120,215,216,210,195,219,220,209,222,240,211
130,235,234,255,248,239,260,252,298,281,299
140,265,256,280,252,207,212,204,205,222,221
150,178,215,209,196,198,184,185,194,193,170
160,177,175,172,198,196,186,164,137,122,117
170,127,122,149,1808,972,90,84,94,87,80
180,76,59,63,64,56,46,51,45,51,41
190,46,35,49,35,39,46,139,2174,116,25
200,16,19,18,18,17,14,22,11,21,28
210,20,7,19,21,26,35,467,29,7,7
220,11,15,7,16,10,14,10,9,7,4
230,8,7,9,7,10,10,11,9,6,10
240,1,14,4,13,9,2,8,9,2,8
250,6,6,4,9,5,5,7,7,9,3
260,9,33,3,8,6,3,4,5,4,3
270,3,3,4,4,9,5,1,6,4,4
280,4,6,6,4,4,6,7,8,11,5
290,5,1,5,4,8,6,5,6,5,4
300,1,7,6,5,8,3,0,6,5,3
310,5,6,9,3,4,4,8,2,7,5
320,2,6,5,3,6,5,7,6,5,4
330,8,5,4,6,2,3,8,8,4,4
340,5,8,6,7,4,4,5,5,3,5
350,0,5,3,2,2,2,2,1,3,2
360,3,0,4,3,2,2,4,2,2,0
370,3,14,2,1,1,0,0,2,1,2
380,0,1,0,0,1,0,1,32,6,0
390,0,0,0,1,0,1,0,1,0,0
400,1,0,0,0,1,0,0,0,1,1
410,2,0,2,1,0,1,0,0,1,0
420,0,0,1,1,0,0,2,0,0,0
430,0,0,0,0,0,1,1,0,1,0
440,1,0,0,0,0,0,0,0,2,0
450,1,2,0,1,0,0,0,0,0,0
460,0,0,0,0,0,0,0,0,0,1
470,0,1,0,1,1,2,0,0,1,1
480,0,0,0,1,0,0,1,1,1,0
490,0,2,0,1,2,0,0,0,0,0
500,0,3,0,0,2,1,1,0,1,0
510,0,0,0,0,0,1,1,0,1,0
520,0,0,0,0,0,1,1,1,2,0
530,0,0,0,2,2,1,2,2,1,0
540,1,2,0,1,0,1,0,1,4,3
550,1,0,2,1,1,0,0,1,0,0
560,0,0,1,0,1,0,3,0,0,1
570,0,0,0,1,0,3,0,0,0,0
580,0,1,1,1,1,3,0,3,1,1
590,0,0,1,2,0,2,0,0,0,2
600,0,1,2,1,1,0,0,1,0,1
610,1,2,0,1,2,0,1,2,1,1
620,0,2,1,1,0,0,1,2,2,2
630,2,1,0,0,1,2,0,3,1,1
640,2,0,0,1,2,0,0,1,1,3
650,1,0,1,0,2,1,1,4,2,1
660,2,0,2,3,1,1,3,1,2,1
670,4,1,1,0,1,0,0,2,0,0
680,1,0,1,1,1,1,2,3,2,0
690,3,1,3,2,0,2,0,0,1,2
700,0,0,1,3,3,4,1,2,0,1
710,0,0,3,2,2,1,1,0,0,0
720,2,1,1,2,1,1,3,3,4,2
730,4,1,0,3,1,0,1,1,1,0
740,0,1,0,0,0,0,1,0,2,1
750,1,1,4,2,2,0,2,2,2,5
760,1,1,3,0,3,0,4,3,2,3
770,0,1,3,2,1,1,1,2,0,3
780,2,2,2,0,3,3,1,4,1,3
790,0,1,4,0,3,1,4,4,1,3
800,1,1,3,2,0,0,0,0,1,1
810,2,5,3,2,2,0,3,2,5,2
820,2,4,2,1,2,1,0,3,0,4
830,3,3,6,0,1,2,3,1,1,0
840,1,3,2,3,1,1,3,2,4,2
850,3,0,1,2,1,1,2,1,4,5
860,1,4,2,4,6,2,0,1,3,3
870,1,3,3,5,2,0,2,2,1,2
880,7,3,4,5,4,4,4,3,3,2
890,4,1,2,6,6,2,1,3,4,4
900,1,3,3,3,4,4,4,5,3,6
910,7,0,2,10,5,2,6,5,2,5
920,3,4,2,1,2,4,5,2,1,3
930,4,4,4,1,3,4,6,3,6,3
940,2,4,3,3,2,5,4,4,5,2
950,7,1,2,2,8,1,7,2,3,4
960,2,4,2,2,1,7,3,3,4,9
970,6,3,9,3,7,5,2,5,3,5
980,3,0,3,8,4,3,2,2,11,9
990,7,6,2,7,9,0,6,3,2,5
1000,2,5,2,7,7,9,6,4,5,4
1010,3,6,7,9,5,7,6,4,10,4
1020,6,5,6,6,7,5,12,6,8,5
1030,8,1,6,5,4,8,6,6,7,6
1040,6,6,5,4,4,9,5,6,9,12
1050,9,5,7,5,4,5,9,11,2,5
1060,4,10,12,10,7,8,9,7,9,3
1070,6,12,7,7,10,12,13,5,9,7
1080,6,11,9,10,10,4,6,7,9,10
1090,9,10,7,10,11,9,6,11,4,11
1100,8,10,10,7,6,13,11,14,3,6
1110,13,12,8,14,13,14,11,10,9,9
1120,14,6,11,9,18,9,15,18,8,14
1130,17,12,20,10,13,17,15,17,8,22
1140,15,12,20,14,24,18,17,17,15,17
1150,13,17,15,19,15,20,15,12,14,17
1160,18,21,17,25,25,14,25,13,27,17
1170,26,18,19,20,21,27,17,28,24,21
1180,27,28,19,34,28,27,33,29,27,23
1190,31,24,28,28,27,37,33,24,23,38
1200,28,18,21,27,26,32,27,28,27,33
1210,37,39,41,60,88,77,98,122,156,187
1220,220,189,147,115,54,21,1,1,1,0
1230,1,2,1,1,2,0,0,0,1,1
1240,0,0,0,0,2,0,0,0,0,0
1250,1,0,1,1,0,2,0,0,0,0
1260,0,0,0,0,0,0,0,0,0,1
1270,0,0,0,0,0,0,0,0,1,0
1280,0,0,0,0,0,0,0,0,0,0
1290,0,0,0,0,0,0,0,0,0,0
1300,1,0,0,0,0,0,0,0,0,0
1310,0,0,0,0,0,0,0,0,0,1
1320,0,0,0,0,0,0,0,0,0,0
1330,1,0,0,0,0,0,0,0,0,0
1340,0,0,0,0,0,0,0,0,0,0
1350,0,0,0,0,0,0,0,0,0,0
1360,0,0,0,0,0,0,0,0,1,0
1370,0,0,0,0,0,0,0,0,0,0
1380,0,0,0,0,0,0,0,0,0,0
1390,0,0,0,0,0,0,0,0,0,1
1400,0,0,0,0,0,0,0,0,0,0
1410,0,0,0,0,0,0,0,0,0,0
1420,0,0,0,0,0,0,0,0,0,0
1430,0,0,0,0,0,0,0,0,0,0
1440,0,0,0,0,0,0,0,0,0,0
1450,0,0,0,0,0,0,0,0,0,0
1460,0,0,0,0,0,1,0,0,0,0
1470,0,0,0,0,0,0,0,0,0,0
1480,0,0,0,0,0,0,0,1,0,0
1490,0,0,0,0,0,0,0,0,0,0
1500,0,0,0,0,0,1,0,0,0,0
1510,0,0,0,0,0,0,0,0,0,0
1520,0,0,0,0,0,0,0,0,0,0
1530,0,0,0,0,0,0,0,0,0,0
1540,0,0,0,0,0,0,0,0,0,0
1550,0,0,0,0,0,0,0,0,0,0
1560,0,0,0,1,0,1,0,0,0,0
1570,0,0,0,0,0,0,0,0,1,0
1580,0,0,0,0,0,0,0,0,0,0
1590,0,0,0,0,0,0,0,0,0,0
1600,0,0,0,0,0,0,0,0,0,0
1610,0,0,0,0,0,0,0,0,0,0
1620,0,0,0,0,0,0,0,0,0,0
