SPECTRUM,DATE,TIME,LIVE,REAL
202306222205_newGe_newMCA_Ni-01-00.csv,23-06-22,19:08:47,10336.68,10559.46
RSV1,RSV2,RSV3,RSV4,RSV5,RSV6,RSV7,RSV8,RSV9,RSV10
1,2,3,4,5,6,7,8,9,10
PHA NO.,SEGMENT NO.,SIZE
01,00,4096

                                                               
CH,0,1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0
50,0,63584,82595,78861,74895,72378,68957,71687,66971,63152
60,61360,59218,59669,57592,56339,53194,52134,52942,61761,53468
70,47705,48345,46659,46727,44466,65515,45431,39586,40479,39800
80,38033,36285,35970,35408,34855,34363,35105,34511,35821,35449
90,34262,32593,30265,29747,29555,29399,27368,27886,26956,25792
100,25295,24304,25779,26626,25982,24391,24039,25825,22074,22009
110,21679,20677,20271,21377,21128,19482,19645,19127,18911,18997
120,18854,18248,17829,18798,19666,24187,17588,17038,17279,17917
130,18813,16797,17032,15698,16387,16440,15467,15520,15666,15164
140,15613,15071,15126,15124,14638,13798,13765,13349,13381,14057
150,13295,13206,12617,12335,12864,12401,12359,12150,11972,12103
160,11806,11754,12543,12200,11293,11790,11017,11275,10778,10337
170,10597,10398,10376,27896,17472,10015,9781,10466,10456,9273
180,9818,9597,9000,9456,8333,8171,8460,8088,7878,8508
190,7803,8028,8232,7824,8793,7666,8889,29298,7557,6726
200,6729,6616,6587,6459,6687,6551,6414,6446,6545,6327
210,6055,6303,8011,6343,6318,8369,16044,6186,5713,5509
220,5350,5495,5795,5460,5550,5537,5420,5432,5284,5132
230,5031,5038,4896,5092,4990,5140,6971,4875,4772,5000
240,4837,4813,4771,4705,4656,4637,4608,4580,4957,4582
250,4593,4558,4517,5855,4879,4688,4639,4564,4429,4568
260,4432,5003,4556,4397,4202,4312,4149,4202,4354,4203
270,4212,4115,4103,4111,4196,4053,4106,3975,4158,4114
280,4051,4141,4022,4071,4037,4258,4103,4035,4249,4306
290,4105,4294,4139,4073,3907,4043,3669,3631,3650,3534
300,3366,3594,3297,3164,3158,3160,3039,3002,2953,2873
310,2968,2910,2822,2662,2791,2765,2483,2517,2642,2522
320,2538,2390,2485,2533,2618,2560,2591,2703,3931,21883
330,3541,2294,2239,2146,2110,2090,2126,2029,2011,2057
340,1973,1983,1937,2078,2065,1947,1931,1924,1855,1866
350,1844,1775,1807,1745,1842,2055,1745,1691,1810,1683
360,1789,1603,1727,1628,1617,1586,1645,1683,1493,1485
370,1607,1605,1501,1669,1571,1447,1594,1557,1720,1464
380,1454,1437,1394,1372,1405,1427,1410,2111,1432,1332
390,1428,1419,1357,1341,1306,1397,1289,1275,1369,1237
400,1364,1205,1244,1231,1184,1158,1260,1186,1286,1139
410,1158,1170,1256,1335,1158,1146,1153,1141,1146,1087
420,1129,1294,1104,1072,1173,1154,1010,1046,1097,1119
430,1034,1042,1069,993,984,1004,1090,1048,999,1019
440,1014,1010,921,963,906,986,929,940,1011,921
450,1017,1011,960,964,994,897,896,933,839,864
460,924,860,855,877,857,884,859,837,809,842
470,874,860,934,778,889,818,814,851,789,764
480,785,763,835,833,910,732,757,769,776,799
490,769,752,772,730,736,741,743,703,777,816
500,793,732,763,712,749,658,765,719,727,686
510,725,678,729,681,617,644,650,664,652,670
520,679,650,718,635,663,633,698,696,647,719
530,660,640,631,661,629,609,642,625,623,618
540,634,576,591,659,703,691,675,636,638,614
550,609,632,594,614,641,576,569,620,602,621
560,641,592,599,598,556,588,581,544,578,609
570,559,550,529,561,531,565,571,563,544,589
580,591,584,623,563,574,557,567,519,548,551
590,534,546,531,566,511,498,504,547,533,522
600,583,493,504,521,506,449,490,583,515,512
610,520,505,545,519,503,498,497,499,529,476
620,471,490,498,484,468,478,521,549,495,480
630,519,456,445,504,454,558,542,454,476,485
640,477,453,479,495,496,462,527,435,489,450
650,487,520,498,503,480,481,518,467,484,515
660,505,522,497,451,444,414,507,437,535,430
670,428,445,424,446,431,460,416,444,432,427
680,450,427,417,438,467,434,465,427,421,436
690,405,471,498,452,432,441,453,414,466,454
700,420,428,426,420,445,458,400,448,420,416
710,549,594,481,507,439,438,456,458,429,481
720,531,390,402,438,445,437,441,438,441,433
730,470,443,433,492,461,421,445,431,400,424
740,436,422,466,416,433,406,431,428,418,418
750,440,431,468,556,420,448,478,473,416,445
760,419,422,423,475,419,418,412,476,512,422
770,448,407,386,418,417,435,444,409,424,434
780,420,461,419,419,430,481,645,540,476,465
790,454,417,431,422,442,408,402,424,419,418
800,424,443,388,429,421,440,471,413,410,463
810,401,384,401,414,443,419,433,409,443,428
820,436,343,386,460,560,461,379,414,457,520
830,434,403,403,431,416,404,398,412,437,378
840,394,401,412,436,547,410,397,404,424,384
850,393,389,357,394,378,350,429,412,376,394
860,466,818,1128,417,419,454,429,410,418,435
870,428,430,404,411,432,446,416,454,421,413
880,385,446,439,430,378,457,402,410,369,390
890,438,396,435,429,406,391,424,399,391,456
900,574,426,386,391,442,583,417,397,428,432
910,429,393,422,417,414,363,399,379,361,411
920,401,361,362,365,363,391,409,399,388,350
930,384,392,368,383,367,396,480,1057,953,410
940,352,348,375,415,354,382,388,399,386,338
950,379,358,358,354,355,363,379,324,404,354
960,386,398,401,407,417,576,444,424,360,386
970,393,390,397,349,387,429,504,379,377,393
980,380,440,418,397,363,372,392,371,387,403
990,404,335,371,372,378,398,386,380,345,383
1000,360,371,309,386,362,357,425,756,587,341
1010,397,380,437,990,723,372,365,365,342,373
1020,372,385,421,382,391,353,371,381,380,338
1030,396,381,388,304,387,390,346,357,366,362
1040,405,743,441,373,353,357,341,350,368,372
1050,376,411,549,418,408,443,441,425,387,346
1060,346,337,369,348,378,431,378,322,359,388
1070,367,371,350,332,370,351,361,371,383,415
1080,343,386,488,983,553,339,358,365,374,401
1090,372,357,383,387,368,373,386,443,379,407
1100,367,366,363,373,350,337,318,320,340,382
1110,378,383,522,1215,704,408,409,667,440,383
1120,381,363,383,346,413,358,374,501,577,398
1130,395,412,411,430,381,414,376,399,379,408
1140,386,430,402,376,367,406,373,361,405,356
1150,414,395,397,404,432,411,417,424,507,832
1160,428,419,415,401,409,396,376,343,361,345
1170,392,361,336,396,333,342,336,329,309,332
1180,399,688,2052,969,411,429,407,458,773,1604
1190,652,387,402,396,408,411,434,391,390,388
1200,421,398,429,517,505,435,446,395,414,405
1210,433,394,419,414,368,408,397,408,393,392
1220,406,388,402,424,396,431,438,433,430,418
1230,415,447,373,369,365,349,332,347,338,296
1240,303,310,260,263,250,236,253,199,229,238
1250,212,233,209,230,238,248,290,1034,2591,632
1260,247,224,213,249,416,961,248,201,187,187
1270,176,186,222,179,163,184,177,182,168,158
1280,175,194,183,180,165,170,186,189,196,162
1290,173,164,166,171,180,161,142,176,139,149
1300,133,148,130,129,141,113,129,114,126,113
1310,98,99,86,84,79,72,65,71,52,51
1320,47,47,34,29,41,39,36,34,44,46
1330,42,52,79,590,1451,116,13,9,10,12
1340,13,9,6,5,5,9,9,6,5,9
1350,12,6,8,9,4,4,2,2,3,7
1360,6,5,5,6,12,6,3,3,6,6
1370,5,1,6,8,1,1,6,0,8,5
1380,1,3,7,3,4,3,3,2,1,2
1390,0,3,4,4,3,3,3,8,2,0
1400,2,2,2,4,1,1,3,6,3,1
1410,2,1,2,1,1,3,2,1,2,4
1420,2,1,5,2,3,3,3,1,3,3
1430,0,1,3,4,1,4,3,3,3,1
1440,2,4,3,2,1,2,3,2,0,0
1450,0,1,0,4,4,1,0,0,0,0
