SPECTRUM,DATE,TIME,LIVE,REAL
20230414_15MeV_Co60_cable_changed-01-00.csv,23-04-14,15:54:27,170.14,170.86
RSV1,RSV2,RSV3,RSV4,RSV5,RSV6,RSV7,RSV8,RSV9,RSV10
1,2,3,4,5,6,7,8,9,10
PHA NO.,SEGMENT NO.,SIZE
01,00,4096

                                                               
CH,0,1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0
50,0,128,193,160,187,197,180,180,148,140
60,131,138,131,106,122,141,114,121,101,125
70,114,106,120,107,86,84,81,87,105,91
80,81,78,84,94,75,80,74,68,74,72
90,61,58,73,68,74,65,75,62,67,60
100,67,87,65,65,55,66,57,66,49,41
110,62,61,77,54,51,48,41,57,60,57
120,50,52,58,59,65,63,63,67,60,40
130,56,39,47,54,39,44,50,67,50,38
140,50,32,34,44,52,41,47,46,46,30
150,36,46,48,45,45,46,50,57,38,26
160,47,35,52,42,56,46,50,48,51,47
170,50,39,57,45,56,52,67,63,49,55
180,66,59,48,44,39,65,55,62,57,59
190,52,54,66,65,65,58,61,52,65,60
200,45,57,61,56,41,55,41,52,46,37
210,37,42,50,55,37,40,46,45,44,45
220,46,33,45,41,57,47,47,59,46,40
230,41,40,42,49,46,49,30,40,109,95
240,74,68,109,77,82,169,134,106,45,25
250,23,29,22,31,26,19,27,23,19,27
260,18,20,23,23,10,14,13,12,17,15
270,55,65,50,60,47,77,76,52,77,126
280,100,81,16,9,16,5,10,12,11,13
290,10,10,14,10,14,10,20,20,20,21
300,14,18,46,36,16,29,31,28,22,10
310,12,9,7,11,27,20,17,14,8,7
320,7,5,6,11,10,1,10,3,4,10
330,8,5,11,25,30,22,19,8,32,54
340,17,6,4,14,15,8,3,4,4,7
350,6,4,5,4,2,2,7,8,8,10
360,7,2,8,1,7,5,6,3,2,6
370,1,5,6,1,1,1,5,4,11,18
380,14,11,8,13,30,40,12,1,2,3
390,3,6,2,0,1,4,1,3,3,1
400,3,2,1,3,1,0,1,4,3,4
410,1,2,2,2,0,4,9,4,5,4
420,1,8,16,9,1,4,5,0,1,1
430,0,2,0,2,1,2,0,2,1,0
440,2,1,0,0,0,0,0,3,0,3
450,1,3,1,0,0,3,0,1,0,4
460,3,2,0,0,3,1,1,0,2,0
470,0,0,1,1,1,1,0,2,0,2
480,0,0,1,2,0,3,0,1,0,0
490,3,2,1,0,2,1,0,1,3,0
500,1,1,0,3,0,1,1,1,0,2
510,2,1,0,0,1,1,1,2,2,1
520,0,0,1,1,0,0,0,3,0,0
530,2,0,2,1,1,0,0,1,0,1
540,2,0,1,1,0,0,2,1,1,1
550,0,0,0,0,0,0,0,0,0,0
560,0,0,0,0,0,0,1,1,0,0
570,0,0,0,0,0,0,1,0,0,0
580,0,1,0,1,0,0,0,0,0,0
590,0,0,0,1,0,0,0,0,1,0
600,0,0,0,0,0,0,0,0,0,0
610,1,0,0,0,0,0,0,0,0,0
620,0,0,0,0,1,0,0,0,1,1
630,0,0,0,0,0,0,0,1,0,1
640,0,0,0,0,0,1,0,1,0,0
650,0,0,0,0,0,0,0,1,0,0
660,0,1,0,0,0,0,0,0,1,1
670,0,0,0,0,0,0,0,0,0,0
680,0,0,0,0,0,0,0,0,0,0
690,0,0,0,1,0,0,0,0,0,0
700,1,0,0,0,1,0,0,0,0,0
710,0,0,0,0,0,0,0,0,0,0
720,0,0,0,0,0,0,0,0,0,0
730,0,0,0,0,0,0,0,0,0,0
740,0,0,0,0,0,0,0,1,0,0
750,0,0,0,0,0,0,1,0,0,0
760,0,0,0,0,0,0,0,0,0,0
770,0,0,0,0,0,0,0,1,0,0
780,0,0,0,0,0,0,0,0,0,0
790,0,0,0,0,0,0,0,0,0,0
800,0,0,0,0,0,0,0,0,0,0
810,0,0,0,1,0,0,0,0,0,0
820,0,0,0,0,0,0,0,0,0,0
830,0,0,0,0,0,0,0,0,0,0
840,0,0,0,0,0,0,0,0,0,0
850,0,0,0,0,0,0,0,0,0,0
860,0,0,0,0,0,0,0,0,0,1
870,0,0,0,0,0,0,0,0,0,0
880,0,0,0,0,0,0,0,0,0,0
890,0,0,0,0,0,0,0,0,0,0
900,0,0,0,0,0,0,0,0,0,0
910,0,0,0,0,0,0,0,0,0,0
920,0,0,0,0,0,0,0,0,1,0
930,0,0,0,0,0,0,0,0,0,0
940,0,0,0,0,0,0,0,0,0,0
950,0,0,0,0,0,0,0,0,0,0
960,0,0,0,0,0,0,0,0,0,0
970,0,0,0,0,0,0,0,0,0,0
980,0,0,0,0,0,0,0,0,0,0
990,0,0,0,0,0,0,0,0,0,0
1000,0,1,0,0,0,0,0,0,0,0
1010,0,0,0,0,0,0,0,0,0,0
1020,0,0,0,0,0,0,0,0,0,0
1030,0,0,0,0,0,0,0,0,0,0
1040,0,0,0,0,0,0,0,0,0,0
1050,0,0,0,0,0,0,0,0,0,0
1060,0,0,0,0,0,0,0,0,0,0
1070,0,0,0,0,0,0,0,0,0,0
1080,0,0,0,0,0,0,0,0,0,0
1090,0,0,0,0,0,0,0,0,0,0
1100,0,0,0,0,0,0,0,0,0,0
1110,0,0,0,0,0,0,0,0,0,0
1120,0,0,0,0,0,0,0,1,0,0
1130,0,0,0,0,0,0,0,0,0,0
1140,0,0,0,0,0,0,0,0,0,0
1150,0,0,0,0,0,0,0,1,0,0
1160,0,0,0,0,0,0,1,0,0,0
1170,0,0,0,0,0,0,0,0,0,0
1180,0,0,0,0,0,0,0,0,0,0
1190,0,0,0,0,0,0,0,0,0,0
1200,0,0,0,0,0,0,0,1,0,0
1210,0,0,0,0,0,0,0,0,0,0
1220,0,0,0,0,0,0,0,0,0,0
1230,0,1,0,0,0,0,0,0,0,0
1240,0,0,0,0,0,0,0,0,0,0
1250,0,0,0,0,0,1,0,0,0,0
1260,0,0,0,0,0,0,0,0,0,0
1270,1,0,0,0,0,0,0,0,0,1
1280,0,0,0,0,0,0,0,0,0,0
1290,0,0,0,0,0,0,0,0,0,0
1300,0,0,0,1,0,0,0,0,0,0
1310,0,0,0,0,0,0,0,0,0,0
1320,1,1,0,0,0,0,0,0,0,0
1330,0,1,0,0,0,0,0,0,0,0
1340,0,0,0,0,1,0,0,0,0,0
1350,0,0,0,0,0,0,0,0,0,0
1360,0,0,0,0,0,0,0,0,0,0
1370,0,1,0,0,0,0,0,0,0,0
1380,0,0,0,0,0,0,0,0,0,0
1390,0,0,0,0,0,0,0,0,0,0
1400,0,0,0,0,0,0,0,0,0,0
1410,1,0,1,0,0,0,0,0,0,0
1420,0,0,0,0,0,0,0,0,0,0
1430,0,0,0,0,0,0,0,0,0,0
1440,0,0,0,0,0,0,0,0,0,0
1450,0,0,0,0,0,0,0,0,0,0
1460,0,0,0,0,0,0,0,0,0,0
1470,0,0,0,0,0,0,0,0,1,0
1480,0,1,0,0,0,0,0,0,0,0
1490,0,0,0,0,1,1,0,0,0,0
1500,0,0,0,0,0,0,0,2,0,0
1510,0,0,0,0,0,0,0,0,0,0
1520,0,1,0,0,0,0,0,0,0,0
1530,0,1,0,0,0,0,0,0,0,0
1540,0,0,0,0,0,0,0,0,0,0
1550,0,0,0,0,0,0,0,0,1,0
1560,0,0,0,0,0,0,0,0,0,0
1570,1,0,0,0,0,0,0,0,0,0
1580,0,0,0,0,0,0,0,0,0,0
1590,0,0,0,0,0,0,0,1,0,0
1600,0,0,0,0,0,0,0,0,1,0
1610,0,0,0,0,0,2,0,0,0,0
1620,0,0,1,0,1,0,0,0,1,0
