SPECTRUM,DATE,TIME,LIVE,REAL
SPC0120230414-01-00.csv,23-04-14,14:48:29,563.02,565.82
RSV1,RSV2,RSV3,RSV4,RSV5,RSV6,RSV7,RSV8,RSV9,RSV10
1,2,3,4,5,6,7,8,9,10
PHA NO.,SEGMENT NO.,SIZE
01,00,4096

                                                               
CH,0,1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0
50,0,440,538,516,524,535,471,497,441,486
60,472,457,401,402,374,364,371,377,373,325
70,348,391,394,307,292,282,272,274,252,241
80,269,249,275,251,233,262,252,224,238,221
90,188,226,197,203,221,227,205,212,209,203
100,197,193,191,194,202,206,191,189,179,181
110,185,188,163,168,174,165,180,174,194,204
120,207,173,194,212,198,228,205,170,186,159
130,186,180,170,178,176,188,163,173,179,201
140,171,170,183,169,199,168,184,170,174,174
150,177,174,174,204,194,182,188,182,180,162
160,174,181,185,147,195,186,190,178,166,156
170,186,183,203,175,174,184,187,199,186,179
180,203,207,189,193,171,211,188,207,230,224
190,478,247,220,216,224,219,227,223,198,198
200,165,180,170,175,162,161,157,167,161,143
210,154,144,138,140,136,172,328,180,140,151
220,160,133,138,165,142,143,178,158,153,143
230,137,116,118,95,111,98,190,343,459,240
240,384,504,540,203,188,192,201,172,88,71
250,66,68,71,48,53,60,46,41,42,39
260,44,54,34,32,39,47,43,27,107,147
270,355,101,301,208,519,356,99,114,120,118
280,167,89,27,13,14,14,25,13,16,19
290,22,12,16,12,42,57,95,57,57,69
300,83,158,45,42,33,24,24,46,26,17
310,7,9,10,6,6,9,7,11,8,6
320,8,5,6,13,7,13,6,8,10,8
330,5,16,5,10,8,6,11,4,1,7
340,3,7,8,6,9,6,9,6,5,3
350,3,8,7,7,6,4,9,16,16,3
360,5,8,8,19,13,5,7,6,2,12
370,10,9,8,5,10,5,7,6,6,4
380,4,3,5,10,5,5,3,2,5,7
390,5,4,5,4,5,5,5,9,10,7
400,8,5,4,3,5,3,3,4,1,4
410,6,5,4,6,5,0,4,4,0,1
420,4,1,3,3,11,7,3,1,5,7
430,5,4,5,4,3,2,3,5,7,2
440,3,6,6,3,3,7,5,5,3,1
450,4,2,4,7,7,2,3,7,2,1
460,6,1,7,3,2,4,4,2,1,4
470,2,5,5,5,0,5,2,4,4,2
480,3,1,3,4,4,4,1,2,6,1
490,2,4,3,2,4,0,1,2,1,2
500,3,4,1,1,3,2,1,2,6,4
510,2,3,3,3,0,4,5,2,1,0
520,2,1,3,3,1,1,2,1,3,3
530,1,10,2,2,2,6,0,5,9,6
540,6,1,3,3,4,1,3,3,3,3
550,3,0,3,0,0,1,0,0,0,0
560,0,0,0,2,1,0,1,1,0,0
570,0,1,2,0,0,2,0,1,0,1
580,1,3,1,2,0,1,1,0,0,0
590,0,0,1,1,0,0,0,1,3,1
600,1,1,1,0,1,2,0,0,0,0
610,0,1,0,0,0,0,2,1,2,0
620,1,0,0,0,0,2,0,1,1,1
630,0,3,0,0,2,1,2,0,0,1
640,0,1,2,0,1,1,1,0,1,1
650,0,1,3,1,4,1,0,0,2,0
660,0,1,2,1,1,0,0,0,0,1
670,2,1,2,1,1,1,1,0,0,1
680,0,1,0,0,1,0,0,0,0,0
690,1,1,1,6,0,1,0,1,1,1
700,2,2,1,0,0,1,0,0,2,0
710,4,1,0,2,1,2,2,1,0,2
720,2,0,1,0,1,1,2,1,2,1
730,1,1,1,2,1,0,1,2,2,2
740,1,0,0,2,1,1,0,2,2,0
750,1,1,0,4,1,3,0,1,0,2
760,1,0,3,1,2,1,1,3,1,1
770,1,0,3,2,2,4,1,1,0,2
780,3,1,3,1,2,2,0,2,0,4
790,1,1,0,1,2,1,3,0,1,3
800,0,0,2,2,1,0,2,0,1,1
810,0,0,1,4,2,2,2,4,1,2
820,1,0,0,0,1,1,3,2,0,2
830,1,2,1,2,1,2,2,2,1,1
840,1,0,1,2,3,2,2,2,3,1
850,4,0,3,2,2,1,3,1,0,4
860,2,1,2,3,4,1,0,2,1,4
870,2,3,1,1,0,1,0,2,2,3
880,1,0,3,2,3,1,0,3,2,2
890,1,2,2,0,4,4,1,3,0,2
900,4,1,1,1,0,4,0,2,6,0
910,2,5,0,3,1,0,1,2,3,2
920,5,2,2,2,0,1,1,3,2,2
930,1,1,3,2,2,3,0,3,1,1
940,2,2,3,2,1,2,4,2,1,2
950,3,3,2,3,1,1,1,2,1,5
960,8,4,2,1,0,4,0,1,0,4
970,3,3,0,1,1,0,5,3,0,1
980,4,4,3,2,3,1,4,1,1,1
990,2,3,3,2,3,2,2,1,4,7
1000,2,0,4,2,5,2,2,1,0,2
1010,0,2,1,3,2,3,7,6,6,5
1020,1,2,1,1,3,4,5,3,2,3
1030,4,1,2,3,3,2,6,1,2,4
1040,5,0,2,6,4,5,3,5,3,4
1050,5,7,1,2,1,4,5,2,3,2
1060,1,3,6,2,2,3,3,3,4,1
1070,2,2,2,6,4,5,0,3,6,5
1080,6,2,5,5,2,2,3,5,4,5
1090,3,5,5,5,1,7,3,2,9,0
1100,4,6,2,2,4,4,6,3,1,3
1110,2,4,2,6,6,4,3,2,9,2
1120,6,4,6,2,6,5,7,2,10,5
1130,2,2,3,2,6,5,4,5,4,9
1140,2,3,5,7,3,6,6,7,1,2
1150,10,1,3,3,2,4,5,1,4,5
1160,8,4,1,4,5,5,7,5,4,8
1170,3,4,6,6,7,5,6,5,5,8
1180,5,6,6,5,13,6,5,4,2,7
1190,5,5,5,6,7,3,5,6,6,2
1200,8,6,6,8,2,3,3,6,4,2
1210,10,4,6,4,5,7,10,6,9,4
1220,6,4,3,4,12,9,8,9,7,7
1230,7,4,12,9,7,5,4,2,8,9
1240,8,4,5,7,5,3,6,7,6,10
1250,5,7,6,7,10,7,5,7,15,11
1260,7,4,12,8,6,17,15,7,11,10
1270,10,8,12,7,8,11,14,12,4,11
1280,8,9,13,12,10,11,11,4,12,9
1290,9,15,10,6,10,11,12,11,11,21
1300,6,13,11,12,9,16,10,13,14,12
1310,11,8,19,16,11,10,11,17,14,11
1320,12,8,9,11,17,16,17,18,26,25
1330,30,27,34,53,61,44,39,35,28,10
1340,7,10,11,12,8,7,7,6,9,6
1350,7,18,6,11,11,12,8,9,6,8
1360,9,15,16,5,11,9,11,9,9,9
1370,13,9,7,9,10,6,13,13,6,12
1380,8,6,14,10,15,10,7,6,10,13
1390,9,12,13,13,7,14,13,10,13,12
1400,17,6,7,7,6,5,10,15,5,11
1410,6,9,7,8,8,5,7,7,8,8
1420,4,5,9,8,9,6,9,9,8,4
1430,4,5,11,6,6,6,12,21,14,12
1440,11,6,6,6,7,6,9,10,5,9
1450,8,8,9,12,3,10,10,9,10,7
1460,9,15,6,15,8,7,12,7,11,12
1470,8,7,9,13,11,14,11,13,10,11
1480,10,10,7,16,8,5,9,17,15,10
1490,15,5,13,9,12,14,10,15,10,19
1500,8,9,10,15,18,14,8,16,8,11
1510,14,12,11,14,14,13,19,7,13,18
1520,16,11,12,10,12,11,10,14,23,14
1530,11,18,16,11,13,11,21,20,10,11
1540,10,13,15,15,12,15,19,19,13,19
1550,22,15,12,22,10,23,21,15,16,24
1560,12,17,16,20,14,18,15,12,20,15
1570,19,19,26,11,13,14,21,18,16,21
1580,21,25,23,28,13,22,20,20,27,20
1590,19,32,22,18,20,20,22,21,27,17
1600,24,14,27,29,24,24,20,31,19,14
1610,30,30,33,37,23,29,28,29,23,33
1620,29,25,34,34,34,22,28,21,31,44
1630,37,29,26,29,35,30,34,28,37,28
