SPECTRUM,DATE,TIME,LIVE,REAL
202305241323_15MeV_Co-01-00.csv,23-05-24,12:56:03,1629.44,1635.64
RSV1,RSV2,RSV3,RSV4,RSV5,RSV6,RSV7,RSV8,RSV9,RSV10
1,2,3,4,5,6,7,8,9,10
PHA NO.,SEGMENT NO.,SIZE
01,00,4096

                                                               
CH,0,1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0
50,0,1203,1566,1218,1132,1123,1031,1015,1045,975
60,991,955,941,934,903,834,785,848,818,777
70,718,761,759,736,712,800,739,665,681,651
80,618,661,646,650,634,652,818,615,671,719
90,1052,597,609,539,594,599,560,582,596,585
100,568,570,561,553,595,537,556,571,572,625
110,546,556,520,592,557,574,603,539,558,593
120,609,560,599,567,614,621,628,689,628,610
130,626,646,661,660,783,744,688,735,765,710
140,825,721,714,710,609,593,616,584,614,598
150,552,586,512,506,502,531,538,558,499,522
160,538,534,525,556,535,556,502,400,417,388
170,380,387,458,5913,1349,287,301,264,282,240
180,275,216,268,263,188,143,168,172,137,164
190,146,153,143,138,157,149,930,5172,126,71
200,78,72,70,103,75,66,46,79,87,59
210,61,62,52,67,75,347,1913,42,27,27
220,29,27,29,40,23,30,28,23,29,26
230,32,20,26,23,34,48,25,30,22,21
240,31,28,22,16,15,17,24,12,21,21
250,16,13,18,13,20,29,36,15,16,18
260,34,125,10,18,12,16,15,18,10,17
270,12,12,16,26,17,10,15,21,16,16
280,17,19,6,18,18,23,18,11,15,17
290,15,17,20,11,9,15,9,17,10,13
300,8,14,12,14,11,10,17,10,16,19
310,17,37,18,19,11,11,10,16,3,11
320,21,15,6,7,9,13,43,20,6,6
330,8,10,18,11,10,15,13,11,12,14
340,12,11,12,12,13,9,16,9,17,16
350,13,12,8,8,14,4,7,10,6,10
360,6,4,12,6,5,4,6,4,7,2
370,11,25,2,1,0,1,2,2,3,1
380,4,3,2,2,2,6,34,133,0,0
390,1,0,2,1,0,0,3,0,0,0
400,0,0,1,1,0,0,1,1,2,0
410,0,1,0,1,0,1,1,1,1,1
420,1,0,0,0,0,3,1,1,0,1
430,0,1,1,1,0,1,1,0,1,0
440,0,1,0,2,1,1,0,0,0,0
450,1,0,0,0,0,0,0,0,1,2
460,0,0,0,0,0,0,2,1,2,1
470,1,0,0,0,0,0,0,2,1,1
480,1,1,0,0,0,1,3,1,0,1
490,0,2,1,1,1,1,2,4,1,0
500,0,3,0,2,0,0,0,0,2,0
510,0,1,0,0,0,0,2,1,1,0
520,0,1,2,1,1,0,0,2,2,0
530,0,3,0,0,3,1,0,0,2,2
540,1,2,2,1,1,1,0,2,3,2
550,2,1,1,1,0,1,2,0,3,3
560,0,0,4,1,1,0,1,1,3,1
570,3,2,2,5,3,1,1,0,3,2
580,2,3,3,1,1,2,3,3,2,2
590,3,5,4,5,0,0,2,5,3,3
600,4,3,3,1,3,4,2,4,4,2
610,2,1,1,3,5,5,5,3,1,5
620,4,5,5,4,2,2,4,4,2,2
630,2,1,0,1,0,2,1,6,3,5
640,6,1,2,5,2,3,4,1,3,1
650,11,5,3,5,1,4,3,4,3,4
660,3,2,2,5,3,5,3,4,8,7
670,6,2,5,5,2,3,3,6,5,6
680,6,2,7,2,9,7,7,4,4,8
690,8,5,4,8,8,8,1,4,4,7
700,8,8,7,8,3,3,7,6,5,9
710,2,4,3,8,8,6,4,9,3,7
720,9,3,4,5,3,10,3,5,6,4
730,12,7,2,6,2,4,7,1,5,8
740,6,11,12,10,6,8,6,8,10,6
750,10,10,6,1,8,12,6,6,15,5
760,8,8,5,7,10,11,5,10,7,8
770,13,8,10,4,10,13,11,8,7,7
780,5,4,6,2,9,8,12,6,7,8
790,9,17,12,6,10,2,10,6,5,14
800,12,7,12,6,8,12,12,10,9,8
810,5,13,11,11,11,12,11,5,8,10
820,9,11,10,10,7,6,12,9,10,16
830,7,7,12,7,8,13,5,5,11,7
840,8,9,18,17,11,7,14,6,8,18
850,11,11,7,10,11,12,8,9,7,6
860,9,9,14,12,8,15,8,5,7,16
870,14,7,6,7,10,13,9,9,13,6
880,12,13,10,15,15,12,10,14,14,10
890,9,17,13,9,8,11,15,15,5,10
900,12,17,12,10,8,11,7,13,9,8
910,10,14,12,9,15,12,12,8,16,12
920,13,12,9,10,10,16,6,8,11,16
930,10,8,8,14,7,5,12,6,4,13
940,5,16,13,10,13,14,8,6,11,13
950,6,12,12,10,7,9,11,14,20,12
960,14,10,9,12,13,7,5,9,9,8
970,11,20,14,13,11,12,14,13,6,11
980,11,15,16,21,13,9,12,17,10,12
990,7,6,11,11,14,12,16,10,9,16
1000,10,10,20,12,17,6,10,13,10,14
1010,10,10,12,8,9,13,12,9,17,9
1020,5,8,7,15,13,8,11,8,9,12
1030,10,18,14,12,13,9,9,15,16,20
1040,16,12,11,15,11,17,4,12,15,15
1050,9,9,18,8,19,9,12,19,9,8
1060,11,12,12,7,13,15,7,13,10,17
1070,9,10,13,15,17,15,9,13,10,9
1080,10,13,10,11,14,11,8,16,9,21
1090,14,7,12,12,5,10,9,15,11,13
1100,12,14,9,14,17,6,7,14,13,10
1110,9,8,15,12,11,21,14,9,8,11
1120,11,19,16,13,14,7,8,19,11,10
1130,7,8,17,16,17,11,11,13,9,12
1140,11,14,7,11,14,9,17,11,13,12
1150,13,11,16,14,14,14,18,16,10,9
1160,12,11,10,20,12,13,12,12,13,19
1170,15,12,10,9,10,11,10,9,19,14
1180,17,9,14,14,15,5,14,9,11,11
1190,13,10,13,9,20,14,10,9,18,16
1200,8,16,17,17,14,16,10,14,18,10
1210,11,14,10,16,20,10,19,9,7,13
1220,11,15,14,14,13,12,12,8,21,4
1230,19,18,12,15,9,14,10,20,14,17
1240,13,10,9,14,11,12,10,14,13,11
1250,14,10,16,12,11,7,15,18,14,18
1260,7,11,18,18,14,14,12,8,9,9
1270,11,16,23,14,9,13,6,14,16,17
1280,11,13,12,7,18,12,13,8,15,17
1290,14,18,10,13,18,19,16,14,13,8
1300,14,12,13,9,9,13,7,10,10,11
1310,11,15,10,15,14,18,19,9,14,13
1320,10,18,17,17,14,17,14,14,22,8
1330,12,12,17,10,7,22,16,16,11,14
1340,22,13,13,16,14,6,14,16,22,14
1350,10,6,9,10,13,12,8,6,14,8
1360,8,13,9,16,13,9,19,12,13,12
1370,10,9,13,13,14,17,9,17,14,13
1380,13,7,16,11,18,16,9,7,8,7
1390,13,20,13,15,21,12,12,14,20,13
1400,10,17,17,13,17,8,10,15,13,8
1410,11,14,9,23,8,13,21,26,17,12
1420,26,19,15,9,16,18,13,9,11,20
1430,12,17,15,19,21,11,22,14,16,12
1440,17,20,17,12,21,15,17,24,8,14
1450,15,15,19,20,18,11,19,14,15,16
1460,9,17,14,16,13,18,25,13,7,9
1470,14,12,17,22,19,12,16,12,11,16
1480,15,14,15,24,20,14,19,20,16,18
1490,12,13,13,14,13,9,16,23,13,15
1500,6,13,11,15,15,10,11,7,17,9
1510,11,21,20,11,18,23,12,11,10,12
1520,13,13,11,20,11,11,15,13,18,16
1530,13,17,20,9,15,14,14,11,19,16
1540,9,16,23,15,9,17,25,11,21,16
1550,23,18,17,13,8,17,22,13,12,12
1560,21,22,11,16,19,19,16,20,20,19
1570,10,14,21,17,10,18,14,18,12,9
1580,13,17,16,15,19,17,13,19,20,14
1590,12,19,15,12,17,19,24,13,13,12
1600,12,19,13,20,11,13,12,11,12,20
1610,10,17,14,14,14,12,13,11,18,20
1620,13,17,7,19,13,21,15,17,9,19
