SPECTRUM,DATE,TIME,LIVE,REAL
20230524_15MeV_Co60-01-00.csv,23-05-24,10:44:40,1336.26,1342.56
RSV1,RSV2,RSV3,RSV4,RSV5,RSV6,RSV7,RSV8,RSV9,RSV10
1,2,3,4,5,6,7,8,9,10
PHA NO.,SEGMENT NO.,SIZE
01,00,4096

                                                               
CH,0,1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0
50,0,1020,1305,952,938,897,886,910,798,828
60,780,833,826,782,695,714,669,683,734,638
70,642,626,584,580,603,737,645,510,571,537
80,517,572,549,522,501,542,651,496,556,667
90,873,459,487,459,475,459,451,458,464,484
100,471,460,433,467,420,447,479,483,458,449
110,474,470,450,541,490,482,503,460,457,490
120,538,549,481,492,560,504,495,560,532,558
130,566,568,530,530,690,647,644,617,616,623
140,636,560,583,612,457,479,477,498,454,452
150,467,438,477,492,466,451,440,429,477,446
160,452,436,460,472,441,478,393,300,315,346
170,307,333,427,4994,897,222,233,231,217,207
180,215,194,185,199,147,134,126,131,138,122
190,136,134,90,117,125,125,1106,4060,94,63
200,52,40,52,58,70,52,33,55,68,56
210,45,55,50,65,38,405,1386,51,22,25
220,28,31,25,41,26,29,20,31,31,23
230,19,18,18,21,33,37,24,9,18,13
240,24,22,16,13,16,21,19,16,23,15
250,17,17,17,10,7,20,12,9,8,9
260,45,87,9,9,19,20,13,11,5,9
270,10,10,20,27,9,14,12,6,9,9
280,15,10,14,14,10,11,10,12,10,7
290,12,12,12,16,10,13,15,6,11,8
300,10,8,9,13,6,10,13,7,13,11
310,9,28,8,22,11,12,12,8,8,10
320,9,6,8,7,8,12,41,13,9,7
330,9,15,7,14,17,9,12,6,10,16
340,10,11,7,6,8,9,11,13,10,11
350,12,11,13,5,8,7,4,3,6,5
360,5,6,17,5,6,2,1,5,6,1
370,17,15,3,4,1,1,1,2,3,0
380,1,3,2,0,1,1,48,94,0,0
390,0,0,0,1,0,0,0,0,0,1
400,0,0,0,0,0,0,1,0,0,0
410,0,0,0,0,0,1,1,0,0,0
420,0,0,0,0,0,0,0,0,1,1
430,0,0,0,0,0,0,0,0,0,0
440,0,0,0,0,0,0,0,0,0,1
450,0,0,0,0,0,0,0,0,0,0
460,0,0,0,1,0,0,1,0,0,1
470,0,0,0,0,0,0,0,0,0,0
480,0,0,0,0,1,0,0,0,0,0
490,0,0,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0,0,0
510,0,0,0,0,0,0,0,0,0,0
520,0,0,0,0,0,0,0,0,0,0
530,1,0,1,0,0,0,0,0,0,0
540,0,0,0,0,0,0,0,0,0,0
550,0,0,0,0,0,1,0,0,0,0
560,0,0,0,0,0,0,0,1,0,0
570,0,0,0,0,0,0,0,0,0,1
580,0,0,0,0,0,0,1,0,0,0
590,0,0,0,0,0,0,0,1,0,0
600,0,0,0,0,0,0,1,0,0,0
610,0,0,1,0,0,0,1,0,0,0
620,0,1,0,0,0,1,0,0,1,0
630,0,0,0,0,0,0,0,0,0,0
640,0,0,0,0,0,1,0,0,0,0
650,0,0,0,0,0,0,0,1,0,0
660,0,0,0,0,1,0,2,1,1,0
670,0,0,0,0,0,0,0,0,0,0
680,0,0,0,0,0,0,0,0,0,0
690,0,0,0,0,0,1,1,0,0,0
700,0,0,0,0,0,0,0,1,0,0
710,0,0,0,0,0,0,0,0,1,0
720,0,0,0,0,0,0,1,0,0,1
730,0,0,0,0,1,0,0,0,0,1
740,1,0,1,0,0,0,1,0,0,0
750,0,0,2,1,0,0,1,0,0,0
760,0,1,1,0,1,0,0,1,0,0
770,0,0,1,0,0,2,1,0,0,1
780,0,0,1,0,0,0,0,0,0,1
790,0,0,0,1,0,0,0,1,1,0
800,2,0,0,0,1,1,0,0,1,0
810,1,0,0,0,0,0,0,0,0,0
820,2,1,2,0,0,0,1,0,1,0
830,1,2,0,0,0,0,0,0,0,1
840,0,1,1,0,0,1,0,0,1,1
850,0,2,0,1,0,0,0,0,0,3
860,1,1,0,1,0,0,1,0,1,0
870,0,0,0,2,1,2,2,1,1,0
880,1,0,1,0,0,1,0,0,1,0
890,2,0,0,1,0,0,1,0,2,1
900,1,1,3,2,2,1,0,1,0,0
910,1,0,0,0,0,3,0,1,1,1
920,1,0,0,0,0,0,1,2,1,1
930,1,1,0,1,4,0,0,1,1,0
940,0,0,0,0,0,1,2,0,0,0
950,0,1,2,1,0,1,0,1,2,1
960,1,0,0,0,0,0,0,2,3,1
970,0,0,0,1,1,2,0,1,0,0
980,1,2,1,3,0,1,1,2,2,1
990,1,0,1,0,2,2,0,2,1,0
1000,3,2,0,0,1,2,0,0,0,1
1010,4,1,1,1,1,3,0,4,2,0
1020,1,0,3,1,0,2,0,0,1,0
1030,0,1,0,2,0,3,0,2,1,1
1040,1,2,0,3,1,2,0,1,1,2
1050,1,4,1,0,2,6,1,0,2,2
1060,1,2,3,0,2,1,4,1,0,3
1070,0,1,2,2,2,2,4,2,1,1
1080,2,3,1,2,2,1,1,2,1,2
1090,0,1,2,0,1,0,2,1,0,1
1100,1,0,3,0,1,1,1,1,1,2
1110,2,1,0,1,1,2,2,1,2,2
1120,1,0,0,0,0,0,1,1,2,0
1130,2,1,0,1,2,2,3,1,6,1
1140,1,2,4,0,1,1,0,2,1,0
1150,2,3,2,1,3,2,0,0,0,1
1160,2,0,3,0,2,0,1,3,1,2
1170,1,0,3,3,1,2,2,0,1,2
1180,1,0,2,4,1,1,0,1,0,1
1190,3,1,3,1,0,3,4,2,0,1
1200,1,0,0,0,1,1,0,2,4,2
1210,2,2,1,0,3,1,0,1,2,1
1220,1,1,3,1,1,4,2,2,2,1
1230,1,2,0,0,1,1,2,1,3,4
1240,1,3,1,3,1,2,2,0,4,0
1250,1,1,1,3,1,3,2,2,2,0
1260,5,2,3,1,3,1,3,0,1,2
1270,2,2,3,2,3,0,3,2,3,2
1280,3,3,2,2,1,1,2,1,0,2
1290,2,1,0,1,1,1,0,2,2,0
1300,1,1,1,1,0,5,4,1,1,0
1310,4,4,1,0,2,2,2,1,2,4
1320,1,0,0,1,0,2,1,3,3,4
1330,0,2,0,2,2,1,2,1,5,1
1340,2,0,0,2,2,0,2,0,1,4
1350,2,2,1,2,1,0,2,1,1,2
1360,0,2,2,3,3,1,1,1,3,1
1370,2,2,1,1,0,2,1,3,2,3
1380,1,3,0,3,1,2,4,2,2,1
1390,1,2,2,3,0,2,4,0,0,2
1400,2,2,0,0,0,3,1,2,2,1
1410,1,2,3,1,0,1,0,0,2,1
1420,3,2,0,2,2,4,0,0,0,1
1430,1,1,1,1,0,2,7,4,0,4
1440,2,2,3,3,2,2,5,2,3,2
1450,2,3,2,2,1,4,5,2,2,2
1460,0,1,0,2,5,4,4,2,2,0
1470,1,5,3,0,4,2,2,2,1,2
1480,3,1,0,2,3,3,1,1,0,2
1490,2,2,2,2,3,7,0,3,0,2
1500,3,4,1,3,1,2,0,6,1,2
1510,3,5,4,0,0,1,3,3,1,3
1520,2,1,2,3,3,1,2,5,2,1
1530,3,1,2,2,1,4,1,1,2,2
1540,1,1,2,3,5,2,1,3,1,2
1550,1,2,1,4,5,2,0,1,0,4
1560,3,3,0,3,0,2,2,4,1,3
1570,2,1,2,3,0,2,0,1,3,2
1580,3,2,2,4,1,2,6,2,8,2
1590,3,0,4,3,4,1,1,3,1,6
1600,5,1,0,0,4,2,2,3,2,3
1610,3,2,3,1,1,3,3,0,3,2
1620,1,2,2,0,1,1,1,4,3,5
