SPECTRUM,DATE,TIME,LIVE,REAL
20230524_15MeV_Co60_rateAdj-01-00.csv,23-05-24,11:16:49,2128.5,2137.52
RSV1,RSV2,RSV3,RSV4,RSV5,RSV6,RSV7,RSV8,RSV9,RSV10
1,2,3,4,5,6,7,8,9,10
PHA NO.,SEGMENT NO.,SIZE
01,00,4096

                                                               
CH,0,1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0
50,0,1626,2126,1556,1538,1573,1533,1479,1451,1383
60,1364,1302,1234,1189,1202,1197,1109,1126,1173,1099
70,1062,1045,995,1033,961,1140,932,932,887,972
80,921,890,824,831,805,929,1032,845,774,951
90,1354,814,786,791,780,865,801,794,719,743
100,821,818,779,758,817,785,783,875,768,779
110,791,804,769,843,764,743,801,832,815,819
120,808,914,814,848,870,820,833,912,844,859
130,885,972,892,947,1112,1034,1006,1005,1062,991
140,1097,1124,1038,1042,886,844,831,789,757,771
150,800,840,730,715,713,728,732,740,798,725
160,730,775,793,722,802,785,652,568,562,526
170,563,549,575,7995,2375,393,415,384,377,355
180,359,342,311,346,270,242,200,221,205,245
190,175,207,176,189,189,210,1068,7804,202,101
200,95,90,81,108,101,71,82,100,122,83
210,88,77,98,78,106,362,2514,92,41,31
220,42,30,40,67,46,24,46,32,36,29
230,46,29,36,32,45,55,42,21,26,32
240,33,31,30,21,17,27,25,22,26,26
250,18,11,26,22,23,36,50,16,33,20
260,40,147,23,18,19,21,23,20,30,20
270,20,22,23,48,19,10,14,20,21,17
280,22,19,14,21,23,15,27,25,23,19
290,18,22,18,20,16,12,17,23,16,19
300,20,19,10,15,15,23,11,20,11,31
310,18,56,20,27,23,15,17,14,22,17
320,17,15,11,16,19,16,55,24,14,12
330,11,14,15,12,11,10,24,17,23,20
340,15,16,11,21,14,16,11,16,17,16
350,13,18,16,16,12,11,11,14,15,8
360,9,9,19,9,7,3,8,7,6,4
370,7,49,7,1,4,3,1,1,1,1
380,3,7,6,1,7,4,38,191,6,0
390,1,1,1,0,0,1,0,0,2,0
400,1,0,0,1,0,0,1,0,0,0
410,0,1,1,0,0,2,1,1,0,0
420,0,1,1,0,1,1,0,0,1,1
430,0,1,0,1,1,0,0,1,0,0
440,0,0,1,0,0,0,0,1,0,0
450,1,0,0,0,1,0,2,0,1,0
460,1,0,1,1,1,1,1,1,1,1
470,1,2,0,1,1,0,0,1,0,0
480,0,0,0,0,0,0,0,0,1,2
490,1,1,0,0,2,0,1,1,0,0
500,0,2,0,1,0,2,0,1,1,2
510,0,0,0,0,1,1,2,1,1,0
520,0,0,0,0,0,0,0,1,0,0
530,0,0,0,0,0,0,1,1,1,0
540,1,2,0,1,1,1,0,0,0,0
550,1,2,1,1,1,1,1,2,2,0
560,0,0,0,2,1,0,1,2,0,0
570,1,0,3,0,0,1,1,2,0,0
580,2,3,2,1,0,1,0,0,0,1
590,1,3,2,0,1,0,0,0,0,1
600,1,1,0,2,0,1,1,0,0,3
610,0,1,0,0,0,0,0,1,4,1
620,1,1,1,2,1,0,0,1,0,1
630,1,0,0,1,0,3,2,1,3,4
640,0,0,1,1,0,1,0,1,1,1
650,3,0,0,1,2,2,0,0,0,1
660,1,1,3,1,1,1,0,2,2,0
670,1,1,1,1,0,1,0,0,0,2
680,1,0,0,1,1,2,3,0,1,1
690,3,2,2,1,0,2,1,0,0,2
700,0,1,1,2,2,2,1,2,2,0
710,1,0,1,1,1,0,2,1,1,0
720,0,1,1,1,0,4,2,1,1,1
730,0,3,1,1,2,0,0,3,0,2
740,2,1,2,2,1,1,1,1,2,3
750,0,2,1,1,1,3,2,1,0,2
760,1,5,3,4,6,2,0,4,0,1
770,3,0,4,3,2,0,1,0,0,2
780,0,2,2,1,3,2,2,3,4,3
790,1,2,0,0,1,3,2,2,3,4
800,2,2,2,2,2,2,1,1,0,1
810,1,2,2,0,1,4,3,1,0,1
820,1,1,5,3,2,1,4,1,1,1
830,2,1,0,0,1,1,1,2,2,1
840,2,1,1,2,3,0,3,1,1,2
850,0,1,4,1,3,2,3,2,3,1
860,0,3,1,2,2,1,1,0,1,0
870,2,0,0,1,0,3,4,4,3,1
880,3,1,2,3,2,2,3,5,3,2
890,0,1,1,1,3,0,4,3,3,0
900,4,1,1,3,4,2,3,2,2,2
910,0,1,3,1,1,3,4,4,1,3
920,1,1,5,3,2,1,1,3,2,4
930,0,2,1,3,1,4,3,3,2,1
940,2,2,3,2,3,2,2,0,2,4
950,2,2,4,1,3,7,1,4,2,2
960,3,4,2,2,1,1,1,4,0,0
970,2,3,4,1,4,3,2,2,1,0
980,1,2,4,2,1,2,2,2,2,5
990,1,1,4,3,4,2,3,1,4,2
1000,6,6,1,3,4,2,4,1,4,1
1010,1,8,5,6,2,4,0,0,2,0
1020,3,4,2,6,3,2,4,2,5,1
1030,1,2,4,2,5,4,1,2,0,2
1040,2,3,5,2,3,3,3,3,1,3
1050,4,4,2,5,1,2,2,5,5,1
1060,6,5,4,1,5,4,5,7,2,3
1070,5,5,2,6,4,2,4,6,0,3
1080,4,2,6,5,1,4,2,1,6,4
1090,2,3,4,2,3,4,3,0,2,4
1100,4,4,2,2,5,4,5,2,6,4
1110,2,6,4,9,3,5,3,2,5,4
1120,7,3,1,2,8,3,3,7,5,5
1130,5,0,2,2,3,3,4,4,4,4
1140,4,3,5,6,4,2,3,3,3,3
1150,6,1,2,8,3,6,8,3,5,6
1160,4,8,1,3,4,7,5,3,4,10
1170,3,5,3,8,5,5,5,3,5,4
1180,9,4,6,6,3,4,5,5,9,5
1190,2,6,2,3,6,3,6,4,5,10
1200,6,4,3,6,8,3,4,4,3,4
1210,3,5,3,7,10,3,5,2,6,5
1220,3,3,9,9,1,5,7,8,4,3
1230,4,3,4,6,9,8,3,6,6,6
1240,3,3,5,3,3,4,3,5,6,12
1250,3,3,6,5,10,2,4,8,7,6
1260,7,8,5,5,4,6,4,2,5,6
1270,7,3,6,5,3,3,7,8,7,3
1280,4,6,10,5,3,7,5,5,9,5
1290,5,4,4,3,4,8,9,9,4,4
1300,3,9,8,6,12,9,8,7,7,11
1310,5,8,4,6,6,4,7,8,5,4
1320,5,7,4,8,5,7,10,5,8,5
1330,8,7,6,7,9,6,5,5,7,6
1340,10,5,6,5,4,5,4,3,8,8
1350,5,9,6,7,10,3,7,3,5,5
1360,7,7,5,9,5,5,10,5,8,5
1370,5,8,6,3,8,5,5,5,8,3
1380,7,8,5,9,9,7,6,8,9,12
1390,10,4,5,1,7,6,8,7,6,9
1400,7,9,9,6,9,11,3,5,6,11
1410,6,9,9,7,10,8,11,12,8,4
1420,5,8,5,6,9,8,8,10,9,11
1430,9,8,7,10,7,8,12,7,10,8
1440,9,8,8,12,13,8,7,5,6,6
1450,5,11,10,6,11,12,6,9,10,7
1460,5,11,9,14,5,3,10,8,7,4
1470,15,8,4,4,12,13,15,6,6,4
1480,8,9,10,8,8,7,10,7,10,4
1490,9,11,8,12,8,8,11,9,8,11
1500,7,14,8,9,9,12,17,7,5,10
1510,14,12,11,7,13,10,12,11,7,13
1520,7,11,11,8,6,4,5,10,13,15
1530,7,10,7,10,6,11,7,16,13,11
1540,14,13,7,8,9,7,10,14,11,13
1550,8,8,10,13,15,10,11,19,16,13
1560,16,11,14,11,10,8,15,11,17,6
1570,16,12,10,7,9,9,8,8,11,11
1580,14,7,10,9,10,14,10,9,11,13
1590,11,13,19,12,19,12,11,12,13,10
1600,15,15,15,12,11,19,13,12,15,21
1610,6,9,10,9,14,7,10,12,13,19
