SPECTRUM,DATE,TIME,LIVE,REAL
20230524_OldGe_NewMCP_8MeV_Co-01-00.csv,23-05-24,14:56:46,3745.2,3763.6
RSV1,RSV2,RSV3,RSV4,RSV5,RSV6,RSV7,RSV8,RSV9,RSV10
1,2,3,4,5,6,7,8,9,10
PHA NO.,SEGMENT NO.,SIZE
01,00,4096

                                                               
CH,0,1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0
50,0,2489,3342,3855,3811,3059,2742,2624,2551,2492
60,2421,2382,2427,2315,2254,2159,2138,2104,2118,1821
70,2023,1955,1911,1832,1874,1723,1718,1805,1935,1737
80,1626,1634,1624,1583,1605,1479,1525,1498,1500,1803
90,1615,1475,1579,2373,1867,1416,1381,1318,1326,1356
100,1367,1387,1372,1285,1294,1291,1363,1319,1297,1290
110,1324,1381,1309,1278,1320,1346,1338,1358,1397,1297
120,1383,1435,1472,1391,1355,1400,1458,1445,1400,1413
130,1367,1422,1525,1521,1492,1521,1484,1481,1612,1750
140,1904,1726,1693,1663,1775,1714,1769,1728,1702,1568
150,1329,1258,1328,1332,1357,1282,1300,1289,1258,1268
160,1225,1248,1246,1191,1265,1257,1212,1262,1219,1292
170,1258,1360,1273,1049,963,914,891,856,1042,4016
180,11119,3881,881,707,682,714,642,636,576,594
190,629,502,403,387,398,370,358,357,336,318
200,294,327,290,1042,7036,6998,901,206,177,162
210,154,218,214,164,154,176,199,137,131,141
220,140,123,149,721,3577,2101,204,92,59,83
230,69,88,97,84,77,53,74,68,73,66
240,67,67,80,75,106,98,44,40,54,79
250,77,77,57,36,39,50,47,43,46,52
260,42,38,52,36,39,65,82,51,27,43
270,108,252,107,48,44,33,31,47,34,31
280,37,39,42,45,72,47,38,29,42,34
290,36,33,49,40,32,39,35,34,37,33
300,43,26,36,38,28,35,36,28,41,32
310,28,21,36,38,26,33,36,37,29,30
320,28,37,42,64,56,35,37,38,41,24
330,38,30,28,25,37,27,33,37,64,81
340,32,38,27,41,32,31,38,34,25,41
350,34,24,31,29,26,30,30,23,29,28
360,39,22,29,43,33,23,32,23,28,18
370,21,29,18,19,14,22,25,33,13,14
380,14,21,16,13,13,61,26,5,7,5
390,11,5,12,6,8,9,6,7,10,12
400,15,140,305,62,10,3,4,5,5,2
410,2,7,5,2,5,1,5,3,5,3
420,1,0,4,6,4,5,4,4,8,1
430,3,6,5,5,4,4,5,4,4,5
440,9,3,5,7,6,3,3,4,2,2
450,5,3,5,4,1,6,6,5,3,3
460,3,0,5,0,8,1,3,2,5,3
470,4,3,5,5,0,3,5,5,2,3
480,3,0,5,6,0,4,2,4,6,10
490,4,2,6,5,4,6,4,4,6,2
500,8,5,0,9,2,2,4,6,6,3
510,5,4,6,3,6,5,3,4,6,7
520,9,8,4,4,4,6,2,4,4,6
530,4,5,2,4,10,1,4,3,1,4
540,1,5,5,8,11,5,13,6,10,4
550,6,5,5,3,4,8,6,5,2,4
560,5,6,5,9,4,9,3,6,1,5
570,8,9,7,6,9,3,7,7,4,11
580,11,1,4,5,8,9,9,4,5,7
590,7,7,9,6,8,6,3,8,5,6
600,10,11,10,6,6,9,12,6,7,10
610,12,8,8,5,3,10,8,7,4,4
620,12,10,4,10,8,9,8,5,12,17
630,14,4,5,7,13,11,8,5,3,11
640,10,7,9,6,12,4,6,4,12,10
650,6,6,9,17,4,9,5,6,8,10
660,6,15,13,10,17,13,7,14,2,12
670,11,8,8,11,6,7,15,5,7,8
680,10,6,10,7,11,7,7,11,9,12
690,14,14,10,8,10,10,10,5,10,8
700,14,7,13,15,5,9,11,11,11,12
710,9,12,12,11,14,16,6,10,3,10
720,14,10,8,9,11,6,10,9,17,7
730,10,10,9,12,12,11,14,12,8,6
740,11,16,12,11,13,12,7,17,7,12
750,9,12,12,5,19,8,11,11,11,17
760,16,13,11,10,14,13,13,16,16,16
770,16,12,16,8,18,11,15,20,11,16
780,20,15,10,11,18,13,19,14,19,9
790,12,18,11,16,13,15,16,14,14,12
800,9,23,16,15,18,18,14,10,19,14
810,11,9,19,12,18,10,16,11,20,17
820,13,18,13,14,19,20,20,17,13,18
830,14,13,15,18,20,24,13,12,22,13
840,17,12,20,21,17,11,14,12,12,17
850,12,27,19,18,23,19,20,32,12,11
860,16,22,22,12,19,11,20,22,20,21
870,23,10,20,19,24,18,19,16,27,15
880,24,22,15,21,23,18,28,19,26,16
890,14,21,21,20,20,24,15,27,27,26
900,27,31,26,20,20,22,17,17,23,27
910,20,20,22,26,27,32,21,30,22,20
920,20,35,27,12,22,23,33,23,26,24
930,28,24,30,22,17,21,28,22,22,30
940,28,35,25,14,29,31,26,38,26,30
950,37,25,22,40,43,27,32,33,29,28
960,26,35,29,28,31,23,25,26,40,33
970,33,28,33,28,30,34,27,26,39,31
980,26,31,39,29,26,36,24,46,25,19
990,31,34,48,29,38,34,41,38,36,45
1000,38,37,40,40,28,36,33,39,32,28
1010,31,38,31,31,42,29,34,41,36,35
1020,35,43,50,37,48,58,41,38,41,48
1030,36,42,41,47,45,39,47,42,44,43
1040,51,34,58,32,41,43,33,37,46,43
1050,34,44,41,59,46,38,53,49,38,44
1060,47,42,71,43,51,53,63,47,47,56
1070,40,52,55,57,50,50,54,62,63,61
1080,46,55,59,49,52,49,62,57,54,59
1090,59,61,56,65,53,66,50,62,71,57
1100,81,71,71,71,67,77,70,56,74,65
1110,67,73,74,62,60,89,79,63,67,72
1120,62,81,63,76,67,67,69,83,88,86
1130,86,84,83,86,104,79,80,79,81,102
1140,98,80,81,88,95,108,86,85,92,90
1150,100,100,96,85,94,93,99,71,126,104
1160,94,141,107,108,116,111,106,98,102,118
1170,121,104,131,124,125,116,129,129,132,112
1180,157,126,141,130,132,159,162,148,150,143
1190,146,149,166,165,129,143,172,174,151,161
1200,165,161,144,172,190,160,199,159,163,182
1210,208,192,183,208,192,200,214,201,218,209
1220,200,223,223,219,241,250,251,233,251,273
1230,252,286,249,284,308,238,257,231,259,261
1240,274,254,246,255,242,227,202,243,246,250
1250,256,305,326,375,379,452,527,674,821,1026
1260,1324,1701,1902,2059,1963,1607,1074,590,282,113
1270,44,13,8,5,7,12,11,12,9,6
1280,6,8,12,6,2,8,7,5,7,4
1290,10,7,8,3,7,4,6,5,2,2
1300,4,2,3,2,2,3,7,7,1,0
1310,3,2,3,1,2,0,1,1,2,1
1320,4,3,2,3,2,1,4,2,1,4
1330,2,4,2,2,1,2,3,1,0,1
1340,1,0,2,1,1,1,0,2,2,1
1350,0,0,0,2,2,2,1,1,0,2
1360,2,2,2,1,2,5,1,2,2,1
1370,3,1,1,1,2,0,2,0,1,0
1380,1,0,0,0,2,3,2,2,0,2
1390,1,0,4,3,2,0,1,1,0,2
1400,0,3,0,2,2,0,1,2,2,5
1410,1,0,1,2,4,1,1,0,0,1
1420,0,2,0,5,2,6,0,3,5,2
1430,2,2,0,1,1,0,4,4,1,2
1440,2,3,1,0,2,2,0,4,1,3
1450,3,4,3,0,4,4,2,4,5,1
1460,4,1,0,1,0,2,2,3,5,0
1470,5,2,3,1,2,2,2,5,4,6
1480,0,3,2,1,3,1,5,3,4,1
1490,0,2,3,1,1,1,4,0,5,3
1500,4,1,0,2,4,1,1,4,2,0
1510,2,2,4,4,2,2,4,5,1,4
1520,0,4,1,4,3,3,2,1,3,0
1530,1,0,4,2,1,1,3,1,0,2
1540,1,4,5,4,1,2,5,5,3,3
1550,4,2,2,6,1,7,6,2,2,7
1560,3,3,2,0,1,4,2,2,2,4
